"STE_CODE16","age_group","sex","year_range","usual_consumption_selected_sugar_sweetened_diet_drinks","n","p"
2,"14-17","female","2017-2018","more_than_1_to_less_than_2_cups",9999999,"9999999"
2,"14-17","female","2017-2018","2_metric_cups_or_more",9999999,"9999999"
3,"2-3","female","2017-2018","did_not_consume",57300,"NULL"
3,"2-3","female","2017-2018","1_metric_cup_or_less",9700,"NULL"
3,"2-3","female","2017-2018","more_than_1_to_less_than_2_cups",9999999,"9999999"
3,"2-3","female","2017-2018","2_metric_cups_or_more",9999999,"9999999"
3,"4-8","female","2017-2018","did_not_consume",110900,"0.73"
3,"4-8","female","2017-2018","1_metric_cup_or_less",38600,"0.25"
3,"4-8","female","2017-2018","more_than_1_to_less_than_2_cups",9999999,"9999999"
3,"4-8","female","2017-2018","2_metric_cups_or_more",9999999,"9999999"
3,"9-11","female","2017-2018","did_not_consume",54600,"NULL"
3,"9-11","female","2017-2018","1_metric_cup_or_less",38900,"NULL"
3,"9-11","female","2017-2018","more_than_1_to_less_than_2_cups",9999999,"9999999"
3,"9-11","female","2017-2018","2_metric_cups_or_more",9999999,"9999999"
3,"12-13","female","2017-2018","did_not_consume",21000,"NULL"
3,"12-13","female","2017-2018","1_metric_cup_or_less",36400,"NULL"
3,"12-13","female","2017-2018","more_than_1_to_less_than_2_cups",9999999,"9999999"
3,"12-13","female","2017-2018","2_metric_cups_or_more",9999999,"9999999"
3,"14-17","female","2017-2018","did_not_consume",64600,"NULL"
3,"14-17","female","2017-2018","1_metric_cup_or_less",35900,"0.3"
3,"14-17","female","2017-2018","more_than_1_to_less_than_2_cups",9999999,"9999999"
3,"14-17","female","2017-2018","2_metric_cups_or_more",7500,"0.06"
4,"2-3","female","2017-2018","did_not_consume",14800,"NULL"
4,"2-3","female","2017-2018","1_metric_cup_or_less",9999999,"9999999"
4,"2-3","female","2017-2018","more_than_1_to_less_than_2_cups",9999999,"9999999"
4,"2-3","female","2017-2018","2_metric_cups_or_more",9999999,"9999999"
4,"4-8","female","2017-2018","did_not_consume",42300,"NULL"
4,"4-8","female","2017-2018","1_metric_cup_or_less",16800,"NULL"
4,"4-8","female","2017-2018","more_than_1_to_less_than_2_cups",9999999,"9999999"
4,"4-8","female","2017-2018","2_metric_cups_or_more",9999999,"9999999"
4,"9-11","female","2017-2018","did_not_consume",10200,"NULL"
4,"9-11","female","2017-2018","1_metric_cup_or_less",17800,"NULL"
4,"9-11","female","2017-2018","more_than_1_to_less_than_2_cups",9999999,"9999999"
4,"9-11","female","2017-2018","2_metric_cups_or_more",9999999,"9999999"
4,"12-13","female","2017-2018","did_not_consume",9999999,"9999999"
4,"12-13","female","2017-2018","1_metric_cup_or_less",8200,"NULL"
4,"12-13","female","2017-2018","more_than_1_to_less_than_2_cups",9999999,"9999999"
4,"12-13","female","2017-2018","2_metric_cups_or_more",9999999,"9999999"
4,"14-17","female","2017-2018","did_not_consume",20900,"NULL"
4,"14-17","female","2017-2018","1_metric_cup_or_less",19200,"NULL"
4,"14-17","female","2017-2018","more_than_1_to_less_than_2_cups",9999999,"9999999"
4,"14-17","female","2017-2018","2_metric_cups_or_more",9999999,"9999999"
5,"2-3","female","2017-2018","did_not_consume",15200,"NULL"
5,"2-3","female","2017-2018","1_metric_cup_or_less",9999999,"9999999"
5,"2-3","female","2017-2018","more_than_1_to_less_than_2_cups",9999999,"9999999"
5,"2-3","female","2017-2018","2_metric_cups_or_more",9999999,"9999999"
5,"4-8","female","2017-2018","did_not_consume",62000,"NULL"
5,"4-8","female","2017-2018","1_metric_cup_or_less",26400,"NULL"
5,"4-8","female","2017-2018","more_than_1_to_less_than_2_cups",9999999,"9999999"
5,"4-8","female","2017-2018","2_metric_cups_or_more",9999999,"9999999"
5,"9-11","female","2017-2018","did_not_consume",29400,"NULL"
5,"9-11","female","2017-2018","1_metric_cup_or_less",9700,"NULL"
5,"9-11","female","2017-2018","more_than_1_to_less_than_2_cups",9999999,"9999999"
5,"9-11","female","2017-2018","2_metric_cups_or_more",9999999,"9999999"
5,"12-13","female","2017-2018","did_not_consume",22500,"NULL"
5,"12-13","female","2017-2018","1_metric_cup_or_less",11300,"NULL"
5,"12-13","female","2017-2018","more_than_1_to_less_than_2_cups",9999999,"9999999"
5,"12-13","female","2017-2018","2_metric_cups_or_more",9999999,"9999999"
5,"14-17","female","2017-2018","did_not_consume",27300,"NULL"
5,"14-17","female","2017-2018","1_metric_cup_or_less",18700,"NULL"
5,"14-17","female","2017-2018","more_than_1_to_less_than_2_cups",9999999,"9999999"
5,"14-17","female","2017-2018","2_metric_cups_or_more",4300,"0.08"
6,"2-3","female","2017-2018","did_not_consume",6800,"1"
6,"2-3","female","2017-2018","1_metric_cup_or_less",9999999,"9999999"
6,"2-3","female","2017-2018","more_than_1_to_less_than_2_cups",9999999,"9999999"
6,"2-3","female","2017-2018","2_metric_cups_or_more",9999999,"9999999"
6,"4-8","female","2017-2018","did_not_consume",8700,"NULL"
6,"4-8","female","2017-2018","1_metric_cup_or_less",7200,"NULL"
6,"4-8","female","2017-2018","more_than_1_to_less_than_2_cups",9999999,"9999999"
6,"4-8","female","2017-2018","2_metric_cups_or_more",9999999,"9999999"
6,"9-11","female","2017-2018","did_not_consume",4800,"NULL"
6,"9-11","female","2017-2018","1_metric_cup_or_less",3100,"NULL"
6,"9-11","female","2017-2018","more_than_1_to_less_than_2_cups",9999999,"9999999"
6,"9-11","female","2017-2018","2_metric_cups_or_more",9999999,"9999999"
6,"12-13","female","2017-2018","did_not_consume",3400,"NULL"
6,"12-13","female","2017-2018","1_metric_cup_or_less",9999999,"9999999"
6,"12-13","female","2017-2018","more_than_1_to_less_than_2_cups",9999999,"9999999"
6,"12-13","female","2017-2018","2_metric_cups_or_more",9999999,"9999999"
6,"14-17","female","2017-2018","did_not_consume",8700,"NULL"
6,"14-17","female","2017-2018","1_metric_cup_or_less",2400,"NULL"
6,"14-17","female","2017-2018","more_than_1_to_less_than_2_cups",2300,"NULL"
6,"14-17","female","2017-2018","2_metric_cups_or_more",9999999,"9999999"
7,"2-3","female","2017-2018","did_not_consume",2600,"NULL"
7,"2-3","female","2017-2018","1_metric_cup_or_less",9999999,"9999999"
7,"2-3","female","2017-2018","more_than_1_to_less_than_2_cups",9999999,"9999999"
7,"2-3","female","2017-2018","2_metric_cups_or_more",9999999,"9999999"
7,"4-8","female","2017-2018","did_not_consume",4000,"NULL"
7,"4-8","female","2017-2018","1_metric_cup_or_less",2600,"NULL"
7,"4-8","female","2017-2018","more_than_1_to_less_than_2_cups",9999999,"9999999"
7,"4-8","female","2017-2018","2_metric_cups_or_more",9999999,"9999999"
7,"9-11","female","2017-2018","did_not_consume",1700,"NULL"
7,"9-11","female","2017-2018","1_metric_cup_or_less",1500,"NULL"
7,"9-11","female","2017-2018","more_than_1_to_less_than_2_cups",9999999,"9999999"
7,"9-11","female","2017-2018","2_metric_cups_or_more",9999999,"9999999"
7,"12-13","female","2017-2018","did_not_consume",900,"NULL"
7,"12-13","female","2017-2018","1_metric_cup_or_less",900,"NULL"
7,"12-13","female","2017-2018","more_than_1_to_less_than_2_cups",9999999,"9999999"
7,"12-13","female","2017-2018","2_metric_cups_or_more",9999999,"9999999"
7,"14-17","female","2017-2018","did_not_consume",1900,"NULL"
7,"14-17","female","2017-2018","1_metric_cup_or_less",1500,"NULL"
7,"14-17","female","2017-2018","more_than_1_to_less_than_2_cups",9999999,"9999999"
7,"14-17","female","2017-2018","2_metric_cups_or_more",9999999,"9999999"
8,"2-3","female","2017-2018","did_not_consume",4100,"NULL"
8,"2-3","female","2017-2018","1_metric_cup_or_less",9999999,"9999999"
8,"2-3","female","2017-2018","more_than_1_to_less_than_2_cups",9999999,"9999999"
8,"2-3","female","2017-2018","2_metric_cups_or_more",9999999,"9999999"
