"STE_CODE16","age_group","sex","year_range","usual_consumption_selected_sugar_sweetened_diet_drinks","n","uncertainty"
5,"12-13","female","2017-2018","1_metric_cup_or_less",11300,1
5,"12-13","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
5,"12-13","female","2017-2018","2_metric_cups_or_more",0,0
5,"14-17","female","2017-2018","did_not_consume",27300,0
5,"14-17","female","2017-2018","1_metric_cup_or_less",18700,0
5,"14-17","female","2017-2018","more_than_1_to_less_than_2_cups",2800,2
5,"14-17","female","2017-2018","2_metric_cups_or_more",4300,1
6,"2-3","female","2017-2018","did_not_consume",6800,0
6,"2-3","female","2017-2018","1_metric_cup_or_less",0,0
6,"2-3","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
6,"2-3","female","2017-2018","2_metric_cups_or_more",0,0
6,"4-8","female","2017-2018","did_not_consume",8700,0
6,"4-8","female","2017-2018","1_metric_cup_or_less",7200,0
6,"4-8","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
6,"4-8","female","2017-2018","2_metric_cups_or_more",0,0
6,"9-11","female","2017-2018","did_not_consume",4800,0
6,"9-11","female","2017-2018","1_metric_cup_or_less",3100,1
6,"9-11","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
6,"9-11","female","2017-2018","2_metric_cups_or_more",0,0
6,"12-13","female","2017-2018","did_not_consume",3400,1
6,"12-13","female","2017-2018","1_metric_cup_or_less",1200,2
6,"12-13","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
6,"12-13","female","2017-2018","2_metric_cups_or_more",0,0
6,"14-17","female","2017-2018","did_not_consume",8700,0
6,"14-17","female","2017-2018","1_metric_cup_or_less",2400,1
6,"14-17","female","2017-2018","more_than_1_to_less_than_2_cups",2300,1
6,"14-17","female","2017-2018","2_metric_cups_or_more",0,0
7,"2-3","female","2017-2018","did_not_consume",2600,0
7,"2-3","female","2017-2018","1_metric_cup_or_less",300,2
7,"2-3","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
7,"2-3","female","2017-2018","2_metric_cups_or_more",0,0
7,"4-8","female","2017-2018","did_not_consume",4000,0
7,"4-8","female","2017-2018","1_metric_cup_or_less",2600,0
7,"4-8","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
7,"4-8","female","2017-2018","2_metric_cups_or_more",400,2
7,"9-11","female","2017-2018","did_not_consume",1700,1
7,"9-11","female","2017-2018","1_metric_cup_or_less",1500,1
7,"9-11","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
