"STE_CODE16","age_group","sex","year_range","usual_consumption_selected_sugar_sweetened_diet_drinks","p","uncertainty"
7,"9-11","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
7,"9-11","female","2017-2018","2_metric_cups_or_more",0.26,1
7,"12-13","female","2017-2018","did_not_consume",0.39,1
7,"12-13","female","2017-2018","1_metric_cup_or_less",0.39,1
7,"12-13","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
7,"12-13","female","2017-2018","2_metric_cups_or_more",0.09,1
7,"14-17","female","2017-2018","did_not_consume",0.6,1
7,"14-17","female","2017-2018","1_metric_cup_or_less",0.42,1
7,"14-17","female","2017-2018","more_than_1_to_less_than_2_cups",0.11,1
7,"14-17","female","2017-2018","2_metric_cups_or_more",0.06,1
8,"2-3","female","2017-2018","did_not_consume",1,1
8,"2-3","female","2017-2018","1_metric_cup_or_less",0,0
8,"2-3","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
8,"2-3","female","2017-2018","2_metric_cups_or_more",0,0
8,"4-8","female","2017-2018","did_not_consume",0.78,1
8,"4-8","female","2017-2018","1_metric_cup_or_less",0.27,1
8,"4-8","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
8,"4-8","female","2017-2018","2_metric_cups_or_more",0,0
8,"9-11","female","2017-2018","did_not_consume",0.5,1
8,"9-11","female","2017-2018","1_metric_cup_or_less",0.4,1
8,"9-11","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
8,"9-11","female","2017-2018","2_metric_cups_or_more",0,0
8,"12-13","female","2017-2018","did_not_consume",0.8,1
8,"12-13","female","2017-2018","1_metric_cup_or_less",0.2,1
8,"12-13","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
8,"12-13","female","2017-2018","2_metric_cups_or_more",0,0
8,"14-17","female","2017-2018","did_not_consume",0.5,1
8,"14-17","female","2017-2018","1_metric_cup_or_less",0.35,1
8,"14-17","female","2017-2018","more_than_1_to_less_than_2_cups",0.15,1
8,"14-17","female","2017-2018","2_metric_cups_or_more",0,0
