"LGA_CODE21","calendar_year","sex","age_group","n_births"
"12350",2016,"all","0-0",128
"12380",2016,"all","0-0",3968
"12390",2016,"all","0-0",749
"12700",2016,"all","0-0",79
"12730",2016,"all","0-0",93
"12750",2016,"all","0-0",277
"12850",2016,"all","0-0",2493
"12870",2016,"all","0-0",126
"12900",2016,"all","0-0",114
"12930",2016,"all","0-0",1912
"12950",2016,"all","0-0",42
"13010",2016,"all","0-0",70
"13310",2016,"all","0-0",331
"13340",2016,"all","0-0",106
"13450",2016,"all","0-0",318
"13550",2016,"all","0-0",156
"13660",2016,"all","0-0",57
"13800",2016,"all","0-0",786
"13850",2016,"all","0-0",29
"13910",2016,"all","0-0",193
"14000",2016,"all","0-0",1471
"14100",2016,"all","0-0",116
"14170",2016,"all","0-0",2513
"14220",2016,"all","0-0",209
"14300",2016,"all","0-0",64
"14350",2016,"all","0-0",325
"14400",2016,"all","0-0",199
"14500",2016,"all","0-0",1040
"14550",2016,"all","0-0",78
"14600",2016,"all","0-0",91
"14650",2016,"all","0-0",2281
"14700",2016,"all","0-0",546
"14750",2016,"all","0-0",137
"14850",2016,"all","0-0",457
"14870",2016,"all","0-0",229
"14900",2016,"all","0-0",3230
"14920",2016,"all","0-0",74
"14950",2016,"all","0-0",45
"15050",2016,"all","0-0",1045
"15240",2016,"all","0-0",707
"15270",2016,"all","0-0",268
"15300",2016,"all","0-0",218
"15350",2016,"all","0-0",337
"15520",2016,"all","0-0",120
"15560",2016,"all","0-0",41
"15650",2016,"all","0-0",263
"15700",2016,"all","0-0",167
"15750",2016,"all","0-0",187
"15800",2016,"all","0-0",77
"15850",2016,"all","0-0",71
"15900",2016,"all","0-0",1931
"15950",2016,"all","0-0",1175
"15990",2016,"all","0-0",3221
"16100",2016,"all","0-0",57
"16150",2016,"all","0-0",599
"16200",2016,"all","0-0",182
"16260",2016,"all","0-0",3601
"16350",2016,"all","0-0",3024
"16380",2016,"all","0-0",678
"16400",2016,"all","0-0",654
"16490",2016,"all","0-0",702
"16550",2016,"all","0-0",1896
"16610",2016,"all","0-0",253
"16700",2016,"all","0-0",1589
"16900",2016,"all","0-0",805
"16950",2016,"all","0-0",937
"17000",2016,"all","0-0",297
"17040",2016,"all","0-0",168
"17080",2016,"all","0-0",151
"17100",2016,"all","0-0",540
"17150",2016,"all","0-0",2641
"17200",2016,"all","0-0",2392
"17310",2016,"all","0-0",733
"17350",2016,"all","0-0",66
"17400",2016,"all","0-0",54
"17420",2016,"all","0-0",1660
"17550",2016,"all","0-0",885
"17620",2016,"all","0-0",156
"17640",2016,"all","0-0",88
"17650",2016,"all","0-0",43
"17750",2016,"all","0-0",826
"17850",2016,"all","0-0",27
"17900",2016,"all","0-0",91
"17950",2016,"all","0-0",47
"18020",2016,"all","0-0",100
"18050",2016,"all","0-0",1122
"18100",2016,"all","0-0",36
"18200",2016,"all","0-0",98
"18250",2016,"all","0-0",989
"18350",2016,"all","0-0",421
"18400",2016,"all","0-0",545
"18450",2016,"all","0-0",2431
"18500",2016,"all","0-0",651
"18710",2016,"all","0-0",185
"19399",2016,"all","0-0",17
"10050",2017,"all","0-0",690
"10180",2017,"all","0-0",331
"10250",2017,"all","0-0",382
"10300",2017,"all","0-0",45
"10470",2017,"all","0-0",497
"10500",2017,"all","0-0",2313
"10550",2017,"all","0-0",292
"10600",2017,"all","0-0",112
"10650",2017,"all","0-0",78
"10750",2017,"all","0-0",5546
"10800",2017,"all","0-0",50
"10850",2017,"all","0-0",81
"10900",2017,"all","0-0",747
"10950",2017,"all","0-0",26
"11150",2017,"all","0-0",38
"11200",2017,"all","0-0",24
"11250",2017,"all","0-0",199
"11300",2017,"all","0-0",393
"11350",2017,"all","0-0",351
"11400",2017,"all","0-0",128
"11450",2017,"all","0-0",1374
"11500",2017,"all","0-0",2408
"11520",2017,"all","0-0",1292
"11570",2017,"all","0-0",5600
"11600",2017,"all","0-0",37
"11650",2017,"all","0-0",3714
"11700",2017,"all","0-0",18
"11720",2017,"all","0-0",738
"11730",2017,"all","0-0",512
"11750",2017,"all","0-0",73
"11800",2017,"all","0-0",814
"12000",2017,"all","0-0",34
"12150",2017,"all","0-0",71
"12160",2017,"all","0-0",95
"12350",2017,"all","0-0",142
"12380",2017,"all","0-0",4056
"12390",2017,"all","0-0",825
"12700",2017,"all","0-0",95
"12730",2017,"all","0-0",94
"12750",2017,"all","0-0",323
"12850",2017,"all","0-0",2496
"12870",2017,"all","0-0",120
"12900",2017,"all","0-0",122
"12930",2017,"all","0-0",1846
"12950",2017,"all","0-0",52
"13010",2017,"all","0-0",84
"13310",2017,"all","0-0",327
"13340",2017,"all","0-0",130
"13450",2017,"all","0-0",408
"13550",2017,"all","0-0",183
"13660",2017,"all","0-0",64
"13800",2017,"all","0-0",856
"13850",2017,"all","0-0",31
"13910",2017,"all","0-0",233
"14000",2017,"all","0-0",1487
"14100",2017,"all","0-0",134
"14170",2017,"all","0-0",2517
"14220",2017,"all","0-0",214
"14300",2017,"all","0-0",68
"14350",2017,"all","0-0",342
"14400",2017,"all","0-0",188
"14500",2017,"all","0-0",925
"14550",2017,"all","0-0",84
"14600",2017,"all","0-0",99
"14650",2017,"all","0-0",2252
"14700",2017,"all","0-0",534
"14750",2017,"all","0-0",171
"14850",2017,"all","0-0",444
"14870",2017,"all","0-0",210
"14900",2017,"all","0-0",3313
"14920",2017,"all","0-0",73
