"SA2_CODE16","age_group","sex","calendar_year","n_children_attending_preschool"
"108051171","3-6",NA,"2016",0
"109011172","3-6","male","2016",254
"109011172","3-6","female","2016",231
"109011172","3-6",NA,"2016",0
"109011173","3-6","male","2016",108
"109011173","3-6","female","2016",103
"109011173","3-6",NA,"2016",0
"109011174","3-6","male","2016",122
"109011174","3-6","female","2016",113
"109011174","3-6",NA,"2016",0
"109011175","3-6","male","2016",151
"109011175","3-6","female","2016",126
"109011175","3-6",NA,"2016",0
"109011176","3-6","male","2016",161
"109011176","3-6","female","2016",158
"109011176","3-6",NA,"2016",0
"109021177","3-6","male","2016",28
"109021177","3-6","female","2016",27
"109021177","3-6",NA,"2016",0
"109021178","3-6","male","2016",83
"109021178","3-6","female","2016",70
"109021178","3-6",NA,"2016",0
"109021179","3-6","male","2016",38
"109021179","3-6","female","2016",31
"109021179","3-6",NA,"2016",0
"109031180","3-6","male","2016",82
"109031180","3-6","female","2016",58
"109031180","3-6",NA,"2016",0
"109031181","3-6","male","2016",81
"109031181","3-6","female","2016",61
"109031181","3-6",NA,"2016",0
"109031182","3-6","male","2016",108
"109031182","3-6","female","2016",75
"109031182","3-6",NA,"2016",0
"109031183","3-6","male","2016",65
"109031183","3-6","female","2016",67
"109031183","3-6",NA,"2016",0
"109031184","3-6","male","2016",70
"109031184","3-6","female","2016",69
"109031184","3-6",NA,"2016",0
"109031185","3-6","male","2016",109
"109031185","3-6","female","2016",122
"109031185","3-6",NA,"2016",0
"110011186","3-6","male","2016",267
"110011186","3-6","female","2016",218
"110011186","3-6",NA,"2016",0
"110011187","3-6","male","2016",59
"110011187","3-6","female","2016",33
"110011187","3-6",NA,"2016",0
"110011188","3-6","male","2016",68
"110011188","3-6","female","2016",60
"110011188","3-6",NA,"2016",0
"110011189","3-6","male","2016",34
"110011189","3-6","female","2016",37
"110011189","3-6",NA,"2016",0
"110021190","3-6","male","2016",76
"110021190","3-6","female","2016",75
"110021190","3-6",NA,"2016",0
"110021191","3-6","male","2016",152
"110021191","3-6","female","2016",139
"110021191","3-6",NA,"2016",0
"110021192","3-6","male","2016",69
"110021192","3-6","female","2016",42
"110021192","3-6",NA,"2016",0
"110021193","3-6","male","2016",69
"110021193","3-6","female","2016",56
"110021193","3-6",NA,"2016",0
"110021194","3-6","male","2016",67
"110021194","3-6","female","2016",41
"110021194","3-6",NA,"2016",0
"110031195","3-6","male","2016",139
"110031195","3-6","female","2016",143
"110031195","3-6",NA,"2016",0
"110031196","3-6","male","2016",79
"110031196","3-6","female","2016",51
"110031196","3-6",NA,"2016",0
"110031197","3-6","male","2016",92
"110031197","3-6","female","2016",101
"110031197","3-6",NA,"2016",0
"110031198","3-6","male","2016",61
"110031198","3-6","female","2016",69
"110031198","3-6",NA,"2016",0
"110041199","3-6","male","2016",129
"110041199","3-6","female","2016",139
"110041199","3-6",NA,"2016",0
"110041200","3-6","male","2016",46
"110041200","3-6","female","2016",45
"110041200","3-6",NA,"2016",0
"110041201","3-6","male","2016",100
"110041201","3-6","female","2016",102
"110041201","3-6",NA,"2016",0
"110041202","3-6","male","2016",241
"110041202","3-6","female","2016",227
"110041202","3-6",NA,"2016",0
"110041203","3-6","male","2016",194
"110041203","3-6","female","2016",181
"110041203","3-6",NA,"2016",0
"110041204","3-6","male","2016",68
"110041204","3-6","female","2016",82
"110041204","3-6",NA,"2016",0
"110041205","3-6","male","2016",222
"110041205","3-6","female","2016",174
"110041205","3-6",NA,"2016",0
"111011206","3-6","male","2016",253
"111011206","3-6","female","2016",213
"111011206","3-6",NA,"2016",0
"111011207","3-6","male","2016",50
"111011207","3-6","female","2016",37
"111011207","3-6",NA,"2016",0
