"SA3_CODE16","sex","age_group","student_grade_level","calendar_year","domain","naplan_score_acara","state_avg_naplan_score_acara"
10903,"all","8-9","Year 3",2014,"Writing",393.1,404.57
10903,"all","8-9","Year 3",2015,"Writing",409.2,418.6
10903,"all","8-9","Year 3",2016,"Writing",412.4,420.59
10903,"all","8-9","Year 3",2017,"Writing",410,416.26
10903,"all","8-9","Year 3",2018,"Writing",401,409.96
10903,"all","8-9","Year 3",2019,"Writing",413.6,425.14
10903,"all","8-9","Year 3",2021,"Writing",419.6,428.85
11001,"all","8-9","Year 3",2011,"Writing",417.1,425.12
11001,"all","8-9","Year 3",2012,"Writing",404.6,420.34
11001,"all","8-9","Year 3",2013,"Writing",400.6,417.62
11001,"all","8-9","Year 3",2014,"Writing",383.6,404.57
11001,"all","8-9","Year 3",2015,"Writing",397.6,418.6
11001,"all","8-9","Year 3",2016,"Writing",414.9,420.59
11001,"all","8-9","Year 3",2017,"Writing",410.8,416.26
11001,"all","8-9","Year 3",2018,"Writing",393.7,409.96
11001,"all","8-9","Year 3",2019,"Writing",410.5,425.14
11001,"all","8-9","Year 3",2021,"Writing",403.2,428.85
11002,"all","8-9","Year 3",2011,"Writing",400.6,425.12
11002,"all","8-9","Year 3",2012,"Writing",388.7,420.34
11002,"all","8-9","Year 3",2013,"Writing",378.6,417.62
11002,"all","8-9","Year 3",2014,"Writing",370.9,404.57
11002,"all","8-9","Year 3",2015,"Writing",385.5,418.6
11002,"all","8-9","Year 3",2016,"Writing",398.9,420.59
11002,"all","8-9","Year 3",2017,"Writing",391.8,416.26
11002,"all","8-9","Year 3",2018,"Writing",371.8,409.96
11002,"all","8-9","Year 3",2019,"Writing",395,425.14
11002,"all","8-9","Year 3",2021,"Writing",396.7,428.85
11003,"all","8-9","Year 3",2011,"Writing",389.7,425.12
11003,"all","8-9","Year 3",2012,"Writing",375.6,420.34
11003,"all","8-9","Year 3",2013,"Writing",376.5,417.62
11003,"all","8-9","Year 3",2014,"Writing",373.1,404.57
11003,"all","8-9","Year 3",2015,"Writing",391.3,418.6
11003,"all","8-9","Year 3",2016,"Writing",391.6,420.59
11003,"all","8-9","Year 3",2017,"Writing",372.4,416.26
11003,"all","8-9","Year 3",2018,"Writing",379.4,409.96
11003,"all","8-9","Year 3",2019,"Writing",403.6,425.14
11003,"all","8-9","Year 3",2021,"Writing",385.8,428.85
11004,"all","8-9","Year 3",2011,"Writing",399.1,425.12
11004,"all","8-9","Year 3",2012,"Writing",400,420.34
11004,"all","8-9","Year 3",2013,"Writing",396,417.62
11004,"all","8-9","Year 3",2014,"Writing",381.9,404.57
11004,"all","8-9","Year 3",2015,"Writing",400.9,418.6
11004,"all","8-9","Year 3",2016,"Writing",404.5,420.59
11004,"all","8-9","Year 3",2017,"Writing",403.3,416.26
11004,"all","8-9","Year 3",2018,"Writing",392.6,409.96
11004,"all","8-9","Year 3",2019,"Writing",408.4,425.14
11004,"all","8-9","Year 3",2021,"Writing",411.4,428.85
11101,"all","8-9","Year 3",2011,"Writing",424.5,425.12
11101,"all","8-9","Year 3",2012,"Writing",420.3,420.34
11101,"all","8-9","Year 3",2013,"Writing",416.3,417.62
11101,"all","8-9","Year 3",2014,"Writing",406.4,404.57
11101,"all","8-9","Year 3",2015,"Writing",421,418.6
11101,"all","8-9","Year 3",2016,"Writing",420.2,420.59
11101,"all","8-9","Year 3",2017,"Writing",416.4,416.26
11101,"all","8-9","Year 3",2018,"Writing",413.6,409.96
11101,"all","8-9","Year 3",2019,"Writing",432.1,425.14
11101,"all","8-9","Year 3",2021,"Writing",432.3,428.85
11102,"all","8-9","Year 3",2011,"Writing",413.5,425.12
11102,"all","8-9","Year 3",2012,"Writing",409.7,420.34
11102,"all","8-9","Year 3",2013,"Writing",406,417.62
11102,"all","8-9","Year 3",2014,"Writing",391.2,404.57
11102,"all","8-9","Year 3",2015,"Writing",406.6,418.6
11102,"all","8-9","Year 3",2016,"Writing",410.9,420.59
11102,"all","8-9","Year 3",2017,"Writing",406.2,416.26
11102,"all","8-9","Year 3",2018,"Writing",398.7,409.96
11102,"all","8-9","Year 3",2019,"Writing",416.3,425.14
11102,"all","8-9","Year 3",2021,"Writing",413.1,428.85
11103,"all","8-9","Year 3",2011,"Writing",432.5,425.12
11103,"all","8-9","Year 3",2012,"Writing",422.1,420.34
11103,"all","8-9","Year 3",2013,"Writing",416.9,417.62
11103,"all","8-9","Year 3",2014,"Writing",409.7,404.57
11103,"all","8-9","Year 3",2015,"Writing",421.8,418.6
11103,"all","8-9","Year 3",2016,"Writing",423.8,420.59
11103,"all","8-9","Year 3",2017,"Writing",419.4,416.26
11103,"all","8-9","Year 3",2018,"Writing",414.8,409.96
11103,"all","8-9","Year 3",2019,"Writing",430,425.14
11103,"all","8-9","Year 3",2021,"Writing",435.2,428.85
11201,"all","8-9","Year 3",2011,"Writing",415.4,425.12
11201,"all","8-9","Year 3",2012,"Writing",411.6,420.34
11201,"all","8-9","Year 3",2013,"Writing",411.2,417.62
11201,"all","8-9","Year 3",2014,"Writing",403.2,404.57
11201,"all","8-9","Year 3",2015,"Writing",419.8,418.6
11201,"all","8-9","Year 3",2016,"Writing",415.8,420.59
11201,"all","8-9","Year 3",2017,"Writing",410,416.26
11201,"all","8-9","Year 3",2018,"Writing",406.2,409.96
11201,"all","8-9","Year 3",2019,"Writing",427.9,425.14
11201,"all","8-9","Year 3",2021,"Writing",428.6,428.85
11202,"all","8-9","Year 3",2011,"Writing",402.3,425.12
11202,"all","8-9","Year 3",2012,"Writing",383.5,420.34
11202,"all","8-9","Year 3",2013,"Writing",387,417.62
11202,"all","8-9","Year 3",2014,"Writing",373.1,404.57
11202,"all","8-9","Year 3",2015,"Writing",389.9,418.6
11202,"all","8-9","Year 3",2016,"Writing",398.5,420.59
11202,"all","8-9","Year 3",2017,"Writing",386.5,416.26
11202,"all","8-9","Year 3",2018,"Writing",385,409.96
11202,"all","8-9","Year 3",2019,"Writing",402.8,425.14
11202,"all","8-9","Year 3",2021,"Writing",411.7,428.85
11203,"all","8-9","Year 3",2011,"Writing",425.3,425.12
11203,"all","8-9","Year 3",2012,"Writing",422.3,420.34
11203,"all","8-9","Year 3",2013,"Writing",421.5,417.62
11203,"all","8-9","Year 3",2014,"Writing",406.4,404.57
11203,"all","8-9","Year 3",2015,"Writing",421.4,418.6
11203,"all","8-9","Year 3",2016,"Writing",417.9,420.59
11203,"all","8-9","Year 3",2017,"Writing",413,416.26
11203,"all","8-9","Year 3",2018,"Writing",404.9,409.96
11203,"all","8-9","Year 3",2019,"Writing",425.9,425.14
11203,"all","8-9","Year 3",2021,"Writing",425.2,428.85
