Australian Bureau of Statistics

"2006 Census - Counting Persons, Place of Usual Residence"
"Statistical Local Area (SLA)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"


"Statistical Local Area (SLA)",
"Gr. Bendigo (C) - S'saye",6542,
"C. Goldfields (S) - M'borough",7369,
"C. Goldfields (S) Bal",4959,
"Gr. Bendigo (C) - Pt B",11314,
"Loddon (S) - North",3188,
"Loddon (S) - South",4650,
"Mount Alexander (S) - C'maine",7146,
"Mount Alexander (S) Bal",9918,
"Macedon Ranges (S) - Kyneton",8236,
"Macedon Ranges (S) - Romsey",10864,
"Macedon Ranges (S) Bal",19262,
"Gr. Shepparton (C) - Pt A",44598,
"Campaspe (S) - Echuca",12364,
"Campaspe (S) - Kyabram",12075,
"Campaspe (S) - Rochester",8082,
"Campaspe (S) - South",3692,
"Gr. Shepparton (C) - Pt B East",3716,
"Gr. Shepparton (C) - Pt B West",8770,
"Moira (S) - East",8762,
"Moira (S) - West",18323,
"Benalla (RC) - Benalla",9130,
"Benalla (RC) Bal",4397,
"Mansfield (S)",7192,
"Strathbogie (S)",9296,
"Mount Buller Alpine Resort",248,
"Mount Stirling Alpine Resort",0,
"Mitchell (S) - North",10617,
"Mitchell (S) - South",20308,
"Murrindindi (S) - East",6156,
"Murrindindi (S) - West",7514,
"Lake Mountain Alpine Resort",0,
"Indigo (S) - Pt A",11164,
"Towong (S) - Pt A",2396,
"Wodonga (RC)",33006,
"Indigo (S) - Pt B",3634,
"Wangaratta (RC) - Central",16058,
"Wangaratta (RC) - North",4658,
"Wangaratta (RC) - South",5677,
"Alpine (S) - East",7434,
"Alpine (S) - West",4566,
"Towong (S) - Pt B",3627,
"Falls Creek Alpine Resort",252,
"Mount Hotham Alpine Resort",115,
"E. Gippsland (S) - Bairnsdale",25366,
"E. Gippsland (S) - Orbost",8302,
"E. Gippsland (S) - South-West",3804,
"E. Gippsland (S) Bal",2567,
"Wellington (S) - Alberton",5471,
"Wellington (S) - Avon",3890,
"Wellington (S) - Maffra",10065,
"Wellington (S) - Rosedale",7307,
"Wellington (S) - Sale",13335,
"Baw Baw (S) - Pt A",4149,
"Latrobe (C) - Moe",17980,
"Latrobe (C) - Morwell",21561,
"Latrobe (C) - Traralgon",27221,
"Latrobe (C) Bal",2565,
"Baw Baw (S) - Pt B East",3837,
"Baw Baw (S) - Pt B West",29194,
"Yarra Ranges (S) - Pt B",591,
"Mount Baw Baw Alpine Resort",10,
"Bass Coast (S) - Phillip Is.",8136,
"Bass Coast (S) Bal",18405,
"South Gippsland (S) - Central",12320,
"South Gippsland (S) - East",5637,
"South Gippsland (S) - West",7782,
"French Island",92,
"Bass Strait Islands",0,
"VIC Off-Shore Areas & Migratory",51,
"VIC No Usual Address",6394,
"Bowen Hills",1583,
"City - Inner - QLD",2719,
"City - Remainder - QLD",4477,
"Dutton Park",1363,
"Fortitude Valley",5385,
"Herston",1796,
"Highgate Hill",5428,
"Kangaroo Point",6868,
"Kelvin Grove",4382,
"Milton",1728,
"New Farm",10941,
"Newstead",4821,
"Paddington",7622,
"Red Hill - QLD",5270,
"South Brisbane",4281,
"Spring Hill",5235,
"West End - Inner Brisbane SSD",6210,
"Woolloongabba",3916,
"Albion",2424,
"Alderley",5072,
"Ascot",4844,
"Ashgrove",11905,
"Bardon",9112,
"Chelmer",2561,
"Clayfield",9532,
"Corinda",4456,
"Enoggera",6338,
"Graceville",4096,
"Grange",4040,
"Hamilton",4367,
"Hendra",4113,
"Indooroopilly",10732,
"Kedron",11724,
"Lutwyche",2677,
"Newmarket",4214,
"Nundah",8285,
"St Lucia",10610,
"Sherwood",4766,
"Stafford",5515,
"Stafford Heights",6786,
"Taringa",7489,
"Toowong",14960,
"Wilston",3652,
"Windsor",6164,
"Wooloowin",5486,
"Anstead",1102,
"Aspley",11841,
"Bald Hills",7076,
"Banyo",4869,
"Bellbowrie",5210,
"Boondall",8545,
"Bracken Ridge",14617,
"Bridgeman Downs",6882,
"Brighton",8596,
"Brookfield (incl. Brisbane Forest Park)",4466,
"Carseldine",6673,
"Chapel Hill",9984,
"Chermside",6350,
"Chermside West",5952,
"Darra-Sumner",4053,
"Deagon",3106,
"Doolandella-Forest Lake",17506,
"Durack - QLD",6119,
"Ellen Grove",5235,
"Everton Park",7717,
"Ferny Grove",5488,
"Fig Tree Pocket",3262,
"Geebung",4104,
"Inala",13166,
"Jamboree Heights",3279,
"Jindalee",4988,
"Karana Downs-Lake Manchester",5710,
"Kenmore",8206,
"Kenmore Hills",2518,
"Keperra",7029,
"McDowall",6902,
"Middle Park",4050,
"Mitchelton",7034,
"Moggill",2149,
"Mount Ommaney",2202,
"Northgate",3837,
"Nudgee",2464,
"Oxley - QLD",6378,
"Pinjarra Hills",413,
"Pinkenba-Eagle Farm",339,
"Pullenvale",3150,
"Richlands",827,
"Riverhills",3956,
"Sandgate",6504,
"Seventeen Mile Rocks",8644,
"Taigum-Fitzgibbon",7652,
"The Gap",15666,
"Upper Kedron",2706,
"Virginia",1843,
"Wacol",4451,
"Wavell Heights",8758,
"Westlake",4681,
"Zillmere",7465,
"Annerley",9567,
"Balmoral",3643,
"Bulimba",5106,
"Camp Hill",9825,
"Cannon Hill",5354,
"Carindale",13278,
"Carina",9201,
"Carina Heights",5764,
"Coorparoo",13796,
"East Brisbane",5232,
"Fairfield",2584,
"Greenslopes",8088,
"Hawthorne",4310,
"Holland Park",7488,
"Holland Park West",5521,
"Moorooka",9194,
"Morningside",8663,
"Norman Park",6753,
"Tarragindi",9439,
"Yeerongpilly",2413,
"Yeronga",5356,
"Acacia Ridge",6862,
"Algester",8168,
"Archerfield",582,
"Belmont-Mackenzie",4709,
"Burbank",1153,
"Calamvale",10179,
"Chandler-Capalaba West",1399,
"Coopers Plains",4090,
"Eight Mile Plains",12022,
"Gumdale-Ransome",1531,
"Hemmant-Lytton",2696,
"Kuraby",6742,
"Lota",2979,
"MacGregor - QLD",5315,
"Manly",3815,
"Manly West",10014,
"Mansfield",10204,
"Moreton Island",248,
"Mount Gravatt",3087,
"Mount Gravatt East",10247,
"Murarrie",2222,
"Nathan",1380,
"Pallara-Heathwood-Larapinta",1522,
"Parkinson-Drewvale",11861,
"Robertson",4752,
"Rochedale",1170,
"Rocklea",1501,
"Runcorn",12476,
"Salisbury",5524,
"Stretton-Karawatha",3806,
"Sunnybank",7850,
"Sunnybank Hills",16110,
"Tingalpa",8888,
"Upper Mount Gravatt",7911,
"Wakerley",3903,
"Willawong",230,
"Wishart",10268,
"Wynnum",11719,
"Wynnum West",10755,
"Beaudesert (S) - Pt A",41133,
"Bribie Island",15914,
"Burpengary-Narangba",22607,
"Caboolture (S) - Central",18272,
"Caboolture (S) - East",15537,
"Caboolture (S) - Hinterland",6011,
"Caboolture (S) - Midwest",13955,
"Deception Bay",20362,
"Morayfield",19816,
"Ipswich (C) - Central",69952,
"Ipswich (C) - East",50388,
"Ipswich (C) - North",7874,
"Ipswich (C) - South-West",4253,
"Ipswich (C) - West",7718,
"Browns Plains",28262,
"Carbrook-Cornubia",3581,
"Daisy Hill-Priestdale",4186,
"Greenbank-Boronia Heights",8177,
"Kingston - QLD",12831,
"Loganholme",13377,
"Loganlea",8332,
"Marsden",19304,
"Rochedale South",14930,
"Shailer Park",11220,
"Slacks Creek",11057,
"Springwood",6008,
"Tanah Merah",964,
"Underwood",4517,
"Waterford West",5491,
"Woodridge",18450,
"Logan (C) Bal",2565,
"Albany Creek",15941,
"Bray Park",8819,
"Central Pine West",17799,
"Dakabin-Kallangur-M. Downs",24027,
"Griffin-Mango Hill",10255,
"Hills District",20508,
"Lawnton",5644,
"Petrie",8567,
"Strathpine-Brendale",11267,
"Pine Rivers (S) Bal",18311,
"Clontarf",7725,
"Margate-Woody Point",10358,
"Redcliffe-Scarborough",18821,
"Rothwell-Kippa-Ring",14278,
"Alexandra Hills",16989,
"Birkdale",13993,
"Capalaba",17096,
"Cleveland",13585,
"Ormiston",5386,
"Redland Bay",10886,
"Sheldon-Mt Cotton",4872,
"Thorneside",3465,
"Thornlands",10518,
"Victoria Point",13753,
"Wellington Point",10176,
"Redland (S) Bal",6910,
"Beenleigh",7814,
"Bethania-Waterford",5627,
"Eagleby",8833,
"Edens Landing-Holmview",5732,
"Jacobs Well-Alberton",2939,
"Mt Warren Park",5639,
"Ormeau-Yatala",10737,
"Wolffdene-Bahrs Scrub",4677,
"Biggera Waters-Labrador",20777,
"Bilinga-Tugun",6255,
"Broadbeach-Mermaid Beach",9541,
"Broadbeach Waters",7379,
"Bundall",4103,
"Burleigh Heads",7608,
"Burleigh Waters",12725,
"Coolangatta",4871,
"Currumbin",2646,
"Main Beach-South Stradbroke",3327,
"Mermaid Wtrs-Clear Is. Wtrs",15742,
"Miami",6171,
"Palm Beach",13492,
"Paradise Point-Runaway Bay",16125,
"Southport",24098,
"Surfers Paradise",18505,
"Ashmore-Benowa",18781,
"Carrara-Merrimac",16379,
"Coombabah",9306,
"Currumbin Valley-Tallebudgera",6387,
"Currumbin Waters",9639,
"Elanora",11677,
"Helensvale",14771,
"Hope Island",5394,
"Kingsholme-Upper Coomera",14733,
"Molendinar",5605,
"Mudgeeraba-Reedy Creek",20512,
"Nerang",23630,
