Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"SA2 (UR)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"


"SA2 (UR)",
"209041432",8336,
"209041433",10886,
"209041434",16459,
"209041435",12051,
"209041436",12002,
"209041437",9060,
"210011226",7562,
"210011227",0,
"210011228",8505,
"210011229",26148,
"210011230",6921,
"210011231",9430,
"210021232",12827,
"210021233",3382,
"210021234",4006,
"210021235",9359,
"210031236",7681,
"210031237",13766,
"210031239",23447,
"210031438",22108,
"210031439",2900,
"210031440",5603,
"210041240",12709,
"210041241",26653,
"210051242",13305,
"210051243",16123,
"210051245",17606,
"210051246",16295,
"210051247",14841,
"210051248",184,
"210051249",21812,
"210051250",6462,
"210051441",8385,
"210051442",11522,
"210051443",16286,
"210051444",14151,
"210051445",3388,
"211011251",12078,
"211011254",15087,
"211011255",6582,
"211011256",15222,
"211011257",8004,
"211011258",10573,
"211011259",13923,
"211011260",17808,
"211011446",22093,
"211011447",13894,
"211011448",14623,
"211011449",4271,
"211021261",15941,
"211021262",10047,
"211031263",11776,
"211031265",17984,
"211031266",17144,
"211031267",20263,
"211031268",9521,
"211031450",15185,
"211031451",13352,
"211031452",4715,
"211041269",10623,
"211041270",16148,
"211041271",11880,
"211041272",10447,
"211041273",11680,
"211051274",10016,
"211051275",9872,
"211051276",13703,
"211051277",9180,
"211051278",18721,
"211051279",5637,
"211051280",6803,
"211051281",22057,
"211051282",9709,
"211051283",9698,
"211051284",9610,
"211051285",7598,
"211051286",16158,
"212011287",13025,
"212011288",8640,
"212011289",18001,
"212011290",7479,
"212011291",18604,
"212011292",28541,
"212021293",22896,
"212021294",25800,
"212021295",11305,
"212021297",10761,
"212021299",7758,
"212021453",11896,
"212021454",13359,
"212021455",13408,
"212021456",13948,
"212031300",20091,
"212031301",25691,
"212031302",20113,
"212031303",8817,
"212031304",15056,
"212031305",25532,
"212031306",15227,
"212031308",7742,
"212031457",13124,
"212031458",16782,
"212041309",11653,
"212041310",12640,
"212041311",30676,
"212041312",22435,
"212041313",10286,
"212041314",25984,
"212041316",7488,
"212041317",21775,
"212041318",12646,
"212041459",12426,
"212041460",18633,
"212051319",18299,
"212051320",22407,
"212051321",21085,
"212051322",19242,
"212051323",15275,
"212051324",18336,
"212051325",19370,
"212051326",21291,
"212051327",19752,
"213011328",7836,
"213011329",9662,
"213011330",26252,
"213011331",8342,
"213011332",13185,
"213011333",13836,
"213011334",20091,
"213011335",17219,
"213011336",9772,
"213011337",11699,
"213011338",18589,
"213011339",12008,
"213011340",17337,
"213021341",12685,
"213021342",19159,
"213021343",14004,
"213021344",17574,
"213021345",5122,
"213021346",15455,
"213031347",18232,
"213031348",16340,
"213031349",12221,
"213031350",9237,
"213031351",11457,
"213031352",14801,
"213041353",20345,
"213041355",20214,
"213041356",18903,
