Australian Bureau of Statistics

"2006 Census - Counting Persons, Place of Usual Residence"
"Statistical Local Area (SLA)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"


"Statistical Local Area (SLA)",
"350102078",4702,
"350102200",9525,
"350102500",3463,
"350102600",254,
"350102740",150,
"350102800",10191,
"350102900",6362,
"350103030",317,
"350103100",849,
"350103650",215,
"350103700",5422,
"350103830",782,
"350103840",309,
"350103930",416,
"350104150",18251,
"350104420",1023,
"350104430",200,
"350104570",550,
"350104740",251,
"350104830",242,
"350104850",18211,
"350104970",480,
"350105670",838,
"350105730",346,
"350106070",597,
"350106100",167,
"350106470",338,
"350106480",239,
"350106570",164,
"350106950",3233,
"350107090",76,
"350107110",230,
"350107170",246,
"350107300",2832,
"350107570",326,
"350107600",2375,
"350107650",301,
"355051950",497,
"355052250",1937,
"355052450",3135,
"355052770",1083,
"355053200",1788,
"355054800",893,
"355055250",1032,
"355055300",19660,
"355056300",900,
"355058809",5,
"385019779",99,
"399999499",12806,
"405052030",18911,
"405055681",20136,
"405055683",24498,
"405055684",3365,
"405055686",9018,
"405055688",12999,
"405055891",31061,
"405055894",19319,
"405057141",26857,
"405057143",24122,
"405057144",21965,
"405057146",34861,
"405057148",10617,
"405057701",25186,
"405057704",11826,
"405057705",26997,
"405057708",31962,
"405101061",29959,
"405101064",21325,
"405101065",23632,
"405101068",25624,
"405105895",27507,
"405105896",14687,
"405105897",10354,
"405108411",23992,
"405108414",28170,
"405108899",0,
"405150070",16658,
"405150121",12480,
"405150124",10066,
"405150701",21071,
"405150704",20886,
"405150911",26962,
"405150914",19200,
"405155291",15992,
"405155294",17737,
"405156510",19293,
"405157981",19234,
"405157984",16765,
"405158260",6962,
"405202601",19171,
"405202604",14129,
"405204061",32524,
"405204064",24945,
"405204065",21230,
"405204341",24034,
"405204344",15384,
"405204345",22432,
"405205341",13732,
"405205342",11297,
"405205343",23046,
"405205344",17215,
"405205345",24943,
"405205346",25125,
"405205347",34379,
"410050311",7881,
"410050314",7983,
"410050315",4686,
"410053650",12362,
"410053920",7904,
"410102750",4258,
"410150125",6646,
"410150128",8665,
"410154551",18159,
"410154554",8281,
"410200221",11507,
"410200224",9204,
"410208050",12013,
"410208750",4151,
"415050430",2544,
"415051560",11445,
"415058831",7332,
"415058834",3859,
"415058969",0,
"415101140",8144,
"415102110",4181,
"415108130",6369,
"420050521",4129,
"420050524",6803,
"420053791",7125,
"420053794",4476,
