Australian Bureau of Statistics

"2011 Census - Counting Persons, Place of Usual Residence"
"SA2"
"Counting: Persons, Place of Usual Residence"

Filters:
"Default Summation","Persons, Place of Usual Residence"


"SA2",
"307021179",8070,
"307021180",7340,
"307021181",3117,
"307021182",5292,
"307021183",16542,
"307031184",4531,
"307031185",4092,
"307031186",4392,
"307031187",5384,
"307031188",5492,
"307031189",14609,
"308011190",7550,
"308011191",8891,
"308011192",13219,
"308021193",5534,
"308021194",8567,
"308021195",5884,
"308021196",9655,
"308021197",50,
"308021198",11043,
"308021199",6313,
"308021200",10386,
"308021201",4151,
"308021202",0,
"308021203",5550,
"308021204",5200,
"308031205",7244,
"308031206",1878,
"308031207",4542,
"308031208",9244,
"308031209",4490,
"308031210",8868,
"308031211",5059,
"308031212",3013,
"308031213",8833,
"308031214",5368,
"308031215",6490,
"308031216",6162,
"308031217",3637,
"308031218",3127,
"308031219",4023,
"308031220",2688,
"308031221",9,
"308031222",8284,
"308031223",16372,
"309011224",7534,
"309011225",8026,
"309011226",13869,
"309011227",10335,
"309011228",11790,
"309011229",6363,
"309021230",5193,
"309021231",10420,
"309021232",8881,
"309021233",11644,
"309021234",13957,
"309031235",9574,
"309031236",6338,
"309031237",9776,
"309031238",16401,
"309031239",8611,
"309031240",8910,
"309041241",4000,
"309041242",13138,
"309051243",6818,
"309051244",17386,
"309051245",6873,
"309061246",11568,
"309061247",8473,
"309061248",18827,
"309061249",16375,
"309061250",7425,
"309071251",8793,
"309071252",15987,
"309071253",8586,
"309071254",3308,
"309071255",15893,
"309071256",14371,
"309071257",3210,
"309071258",23921,
"309081259",3984,
"309081260",6320,
"309081261",20523,
"309081262",14365,
"309091263",11587,
"309091264",6211,
"309091265",8438,
"309091266",28317,
"309101267",7977,
"309101268",4189,
"309101269",3495,
"309101270",19667,
"310011271",4379,
"310011272",6546,
"310011273",25353,
"310011274",15432,
"310011275",6917,
"310011276",4936,
"310021277",10937,
"310021278",4777,
"310021279",0,
"310021280",17541,
"310021281",12023,
"310021282",11671,
"310031283",9245,
"310031284",7852,
"310031285",5915,
"310031286",6678,
"310031287",16848,
"310031288",4299,
"310031289",4790,
"310031290",5952,
"310031291",6713,
"310031292",6325,
"310031293",14216,
"310031294",2844,
"310031295",3243,
"310041296",8463,
"310041297",9036,
"310041298",3,
"310041299",7750,
"310041300",9254,
"310041301",0,
"310041302",14975,
"310041303",6616,
"310041304",10255,
"311011305",12379,
"311021306",8245,
"311021307",11972,
"311021308",6572,
