Australian Bureau of Statistics

"2006 Census - Counting Persons, Place of Usual Residence"
"Local Government Area (LGA)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"


"Local Government Area (LGA)",
"Warroo (S)",1035,
"Warwick (S)",21534,
"Weipa (T)",2832,
"Whitsunday (S)",16954,
"Winton (S)",1382,
"Wondai (S)",4401,
"Woocoo (S)",3439,
"Woorabinda (S)",848,
"Wujal Wujal (S)",326,
"Yarrabah (S)",2375,
"Yorke (IC)",301,
"QLD Unincorporated",106,
"QLD No Usual Address",12806,
"Adelaide (C)",16658,
"Adelaide Hills (DC)",37860,
"Alexandrina (DC)",20713,
"Anangu Pitjantjatjara (AC)",2235,
"Barossa (DC)",20550,
"Barunga West (DC)",2544,
"Berri and Barmera (DC)",10935,
"Burnside (C)",41955,
"Campbelltown (C) - SA",46159,
"Ceduna (DC)",3574,
"Charles Sturt (C)",100533,
"Clare and Gilbert Valleys (DC)",8144,
"Cleve (DC)",1899,
"Coober Pedy (DC)",1911,
"Copper Coast (DC)",11445,
"Elliston (DC)",1132,
"Flinders Ranges (DC)",1727,
"Franklin Harbour (DC)",1273,
"Gawler (T)",18911,
"Goyder (DC)",4181,
"Grant (DC)",7871,
"Holdfast Bay (C)",33301,
"Kangaroo Island (DC)",4258,
"Karoonda East Murray (DC)",1163,
"Kimba (DC)",1114,
"Kingston (DC)",2327,
"Le Hunte (DC)",1312,
"Light (RegC)",12362,
"Lower Eyre Peninsula (DC)",4404,
"Loxton Waikerie (DC)",11607,
"Mallala (DC)",7904,
"Maralinga Tjarutja (AC)",105,
"Marion (C)",78703,
"Mid Murray (DC)",8039,
"Mitcham (C)",61849,
"Mount Barker (DC)",26435,
"Mount Gambier (C)",23493,
"Mount Remarkable (DC)",2843,
"Murray Bridge (RC)",17678,
"Naracoorte and Lucindale (DC)",8082,
"Northern Areas (DC)",4649,
"Norwood Payneham St Peters (C)",33729,
"Onkaparinga (C)",149733,
"Orroroo/Carrieton (DC)",936,
"Peterborough (DC)",1904,
"Playford (C)",70013,
"Port Adelaide Enfield (C)",102929,
"Port Augusta (C)",13875,
"Port Lincoln (C)",13604,
"Port Pirie City and Dists (M)",17139,
"Prospect (C)",19293,
"Renmark Paringa (DC)",9452,
"Robe (DC)",1702,
"Roxby Downs (M)",4056,
"Salisbury (C)",118424,
"Southern Mallee (DC)",2138,
"Streaky Bay (DC)",2021,
"Tatiara (DC)",6865,
"Tea Tree Gully (C)",95973,
"The Coorong (DC)",5666,
"Tumby Bay (DC)",2538,
"Unley (C)",35999,
"Victor Harbor (C)",12013,
"Wakefield (DC)",6369,
"Walkerville (M)",6962,
"Wattle Range (DC)",11888,
"West Torrens (C)",52159,
"Whyalla (C)",21417,
"Yankalilla (DC)",4151,
"Yorke Peninsula (DC)",11192,
"SA Unincorporated",3752,
"SA No Usual Address",2618,
"Albany (C)",31573,
"Armadale (C)",50537,
"Ashburton (S)",6080,
"Augusta-Margaret River (S)",10350,
"Bassendean (T)",13463,
"Bayswater (C)",55803,
"Belmont (C)",30334,
"Beverley (S)",1563,
"Boddington (S)",1380,
"Boyup Brook (S)",1482,
"Bridgetown-Greenbushes (S)",3953,
"Brookton (S)",983,
"Broome (S)",13061,
"Broomehill (S)",480,
"Bruce Rock (S)",951,
"Bunbury (C)",29700,
"Busselton (S)",25358,
"Cambridge (T)",23754,
"Canning (C)",77303,
"Capel (S)",10209,
"Carnamah (S)",747,
"Carnarvon (S)",5684,
"Chapman Valley (S)",915,
"Chittering (S)",3517,
"Claremont (T)",8942,
"Cockburn (C)",74471,
"Collie (S)",8613,
"Coolgardie (S)",3800,
"Coorow (S)",1201,
"Corrigin (S)",1142,
"Cottesloe (T)",7256,
"Cranbrook (S)",1061,
"Cuballing (S)",785,
"Cue (S)",321,
"Cunderdin (S)",1247,
"Dalwallinu (S)",1368,
"Dandaragan (S)",2885,
"Dardanup (S)",10339,
"Denmark (S)",4509,
"Derby-West Kimberley (S)",6504,
"Donnybrook-Balingup (S)",4735,
"Dowerin (S)",703,
"Dumbleyung (S)",629,
"Dundas (S)",1068,
"East Fremantle (T)",6700,
"East Pilbara (S)",6546,
"Esperance (S)",12963,
"Exmouth (S)",2062,
"Fremantle (C)",24834,
"Geraldton (C)",18914,
"Gingin (S)",4316,
"Gnowangerup (S)",1365,
"Goomalling (S)",936,
"Gosnells (C)",91582,
"Greenough (S)",14037,
"Halls Creek (S)",3135,
"Harvey (S)",19556,
"Irwin (S)",3052,
"Jerramungup (S)",1126,
"Joondalup (C)",149675,
"Kalamunda (S)",49534,
"Kalgoorlie/Boulder (C)",28423,
"Katanning (S)",4208,
"Kellerberrin (S)",1182,
"Kent (S)",578,
"Kojonup (S)",2153,
"Kondinin (S)",968,
"Koorda (S)",432,
"Kulin (S)",881,
"Kwinana (T)",23198,
"Lake Grace (S)",1458,
"Laverton (S)",726,
"Leonora (S)",1409,
"Mandurah (C)",55817,
"Manjimup (S)",9257,
"Meekatharra (S)",1134,
"Melville (C)",93000,
"Menzies (S)",217,
"Merredin (S)",3244,
"Mingenew (S)",471,
"Moora (S)",2412,
"Morawa (S)",823,
