Australian Bureau of Statistics

"2006 Census - Counting Persons, Place of Usual Residence"
"Local Government Area (LGA)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"


"Local Government Area (LGA)",
"LGA55460",3244,
"LGA55530",471,
"LGA55600",2412,
"LGA55670",823,
"LGA55740",8248,
"LGA55810",458,
"LGA55880",613,
"LGA55950",580,
"LGA56020",908,
"LGA56090",35093,
"LGA56160",110,
"LGA56230",11973,
"LGA56300",1190,
"LGA56370",904,
"LGA56440",4238,
"LGA56510",831,
"LGA56580",20336,
"LGA56620",1336,
"LGA56650",6006,
"LGA56720",3793,
"LGA56790",3207,
"LGA56860",245,
"LGA56930",1579,
"LGA57000",532,
"LGA57080",11573,
"LGA57140",1169,
"LGA57210",4483,
"LGA57280",11960,
"LGA57350",1019,
"LGA57420",1952,
"LGA57490",84306,
"LGA57560",16419,
"LGA57630",117,
"LGA57700",12893,
"LGA57770",855,
"LGA57840",38361,
"LGA57910",176867,
"LGA57980",16380,
"LGA58050",93276,
"LGA58120",659,
"LGA58190",389,
"LGA58260",665,
"LGA58330",4110,
"LGA58400",392,
"LGA58470",288,
"LGA58510",27959,
"LGA58540",905,
"LGA58570",26876,
"LGA58610",1842,
"LGA58680",354,
"LGA58760",110941,
"LGA58820",3448,
"LGA58890",856,
"LGA59030",210,
"LGA59100",716,
"LGA59170",864,
"LGA59250",680,
"LGA59310",1385,
"LGA59380",402,
"LGA59450",562,
"LGA59520",6594,
"LGA59590",242,
"LGA59660",1413,
"LGA59730",3117,
"LGA59399",339,
"LGA59499",5986,
"LGA60210",6068,
"LGA60410",14122,
"LGA60610",19056,
"LGA60810",20664,
"LGA61010",2244,
"LGA61210",7956,
"LGA61410",49638,
"LGA61510",9478,
"LGA61610",24015,
"LGA61810",6996,
"LGA62010",859,
"LGA62210",6529,
"LGA62410",4188,
"LGA62610",43414,
"LGA62810",47698,
"LGA63010",14001,
"LGA63210",5759,
"LGA63410",1641,
"LGA63610",30836,
"LGA63810",8630,
"LGA64010",62221,
