"SA3_CODE16","sex","age_group","calendar_year","number_of_enrolment","rate_of_enrolment"
10603,"male","18-24",2010,478,0.6
10603,"male","18-24",2011,483,0.6
10603,"male","18-24",2012,461,0.6
10603,"male","18-24",2013,478,0.6
10603,"male","18-24",2014,466,0.6
10603,"male","18-24",2015,1986,0.5
10603,"male","18-24",2016,2412,0.6
10603,"male","18-24",2017,2507,0.6
10603,"male","18-24",2018,2431,0.6
10603,"male","18-24",2019,2527,0.6
10603,"male","18-24",2020,2338,0.5
10603,"male","18-24",2021,2392,0.6
10603,"male","18-24",2022,2564,0.6
10604,"female","18-24",2015,1003,0.6
10604,"female","18-24",2016,1130,0.5
10604,"female","18-24",2017,1103,0.5
10604,"female","18-24",2018,1088,0.5
10604,"female","18-24",2019,1085,0.5
10604,"female","18-24",2020,1035,0.5
10604,"female","18-24",2021,1020,0.5
10604,"female","18-24",2022,1033,0.5
10604,"male","18-24",2015,978,0.5
10604,"male","18-24",2016,1133,0.6
10604,"male","18-24",2017,1159,0.6
10604,"male","18-24",2018,1165,0.6
10604,"male","18-24",2019,1135,0.6
10604,"male","18-24",2020,1045,0.6
10604,"male","18-24",2021,1060,0.6
10604,"male","18-24",2022,1069,0.6
10701,"female","18-24",2015,1668,0.5
10701,"female","18-24",2016,1926,0.5
10701,"female","18-24",2017,1976,0.5
10701,"female","18-24",2018,1971,0.5
10701,"female","18-24",2019,3097,0.5
10701,"female","18-24",2020,2869,0.5
10701,"female","18-24",2021,2878,0.6
10701,"female","18-24",2022,2985,0.5
10701,"male","18-24",2015,1702,0.6
10701,"male","18-24",2016,1987,0.6
10701,"male","18-24",2017,2046,0.6
10701,"male","18-24",2018,1994,0.6
10701,"male","18-24",2019,3135,0.6
10701,"male","18-24",2020,2971,0.6
10701,"male","18-24",2021,2861,0.5
10701,"male","18-24",2022,3053,0.6
10702,"female","18-24",2018,0,0
10702,"female","18-24",2019,0,0
10702,"female","18-24",2021,0,0
10702,"female","18-24",2022,0,0
10702,"male","18-24",2018,0,0
10702,"male","18-24",2019,0,0
10702,"male","18-24",2021,0,0
10702,"male","18-24",2022,3,1
10703,"female","18-24",2015,3208,0.6
10703,"female","18-24",2016,3626,0.5
