"STE_CODE16","sex","age_group","calendar_year","type_of_road_user","n_fatally_injured_in_road_accident"
"6","male","17-25",2014,"passenger",1
"6","male","17-25",2015,"driver",2
"6","male","17-25",2015,"other",5
"6","male","17-25",2016,"driver",1
"6","male","17-25",2016,"other",4
"6","male","17-25",2017,"driver",1
"6","male","17-25",2017,"other",1
"6","male","17-25",2017,"passenger",1
"6","male","17-25",2018,"driver",2
"6","male","17-25",2018,"other",5
"6","male","17-25",2018,"passenger",3
"6","male","17-25",2019,"driver",3
"6","male","17-25",2019,"other",3
"6","male","17-25",2019,"passenger",1
"6","male","17-25",2020,"driver",1
"6","male","17-25",2020,"passenger",1
"6","male","17-25",2021,"driver",4
"6","male","17-25",2021,"other",1
"6","male","17-25",2021,"passenger",1
"6","male","17-25",2022,"driver",3
"6","male","17-25",2022,"other",1
"6","male","17-25",2022,"passenger",2
"7","female","17-25",2008,"driver",1
"7","female","17-25",2008,"passenger",2
"7","female","17-25",2009,"driver",1
"7","female","17-25",2009,"passenger",1
"7","female","17-25",2010,"other",1
"7","female","17-25",2010,"passenger",2
"7","female","17-25",2011,"driver",1
"7","female","17-25",2011,"passenger",2
"7","female","17-25",2012,"other",1
"7","female","17-25",2013,"driver",1
"7","female","17-25",2013,"passenger",1
"7","female","17-25",2014,"driver",1
"7","female","17-25",2015,"driver",1
"7","female","17-25",2015,"passenger",1
"7","female","17-25",2016,"passenger",1
"7","female","17-25",2017,"passenger",1
"7","female","17-25",2018,"driver",1
"7","female","17-25",2018,"other",2
"7","female","17-25",2018,"passenger",2
"7","female","17-25",2020,"driver",1
"7","female","17-25",2020,"passenger",1
"7","female","17-25",2022,"other",3
"7","female","17-25",2022,"passenger",1
"7","male","17-25",2008,"driver",8
"7","male","17-25",2008,"other",3
"7","male","17-25",2008,"passenger",3
"7","male","17-25",2009,"driver",6
"7","male","17-25",2009,"passenger",1
"7","male","17-25",2010,"driver",7
"7","male","17-25",2010,"other",2
"7","male","17-25",2010,"passenger",1
"7","male","17-25",2011,"driver",6
"7","male","17-25",2011,"other",3
"7","male","17-25",2011,"passenger",1
"7","male","17-25",2012,"driver",1
"7","male","17-25",2012,"other",2
"7","male","17-25",2012,"passenger",1
"7","male","17-25",2013,"driver",2
"7","male","17-25",2013,"other",2
"7","male","17-25",2014,"driver",1
"7","male","17-25",2014,"other",3
"7","male","17-25",2014,"passenger",1
"7","male","17-25",2015,"driver",3
"7","male","17-25",2015,"other",3
"7","male","17-25",2015,"passenger",3
"7","male","17-25",2016,"driver",3
"7","male","17-25",2016,"other",1
"7","male","17-25",2016,"passenger",2
"7","male","17-25",2017,"driver",6
"7","male","17-25",2017,"other",1
"7","male","17-25",2018,"driver",1
"7","male","17-25",2018,"other",1
"7","male","17-25",2019,"driver",2
"7","male","17-25",2019,"other",1
"7","male","17-25",2019,"passenger",3
"7","male","17-25",2020,"driver",3
"7","male","17-25",2020,"passenger",4
"7","male","17-25",2021,"other",1
"7","male","17-25",2022,"driver",5
"7","male","17-25",2022,"other",2
"7","male","17-25",2022,"passenger",3
"8","female","17-25",2009,"passenger",1
"8","female","17-25",2022,"driver",1
"8","female","17-25",2022,"other",1
"8","male","17-25",2008,"driver",1
"8","male","17-25",2008,"passenger",1
"8","male","17-25",2009,"driver",1
"8","male","17-25",2009,"passenger",1
"8","male","17-25",2010,"driver",2
"8","male","17-25",2010,"other",2
"8","male","17-25",2011,"other",1
"8","male","17-25",2012,"other",1
"8","male","17-25",2013,"other",1
"8","male","17-25",2013,"passenger",1
"8","male","17-25",2014,"driver",2
"8","male","17-25",2014,"other",1
"8","male","17-25",2014,"passenger",1
"8","male","17-25",2015,"driver",2
"8","male","17-25",2015,"other",1
"8","male","17-25",2016,"driver",2
"8","male","17-25",2016,"other",2
"8","male","17-25",2017,"driver",1
"8","male","17-25",2017,"other",1
"8","male","17-25",2018,"passenger",1
"8","male","17-25",2020,"driver",1
"8","male","17-25",2021,"driver",2
"8","male","17-25",2021,"passenger",1
"8","male","17-25",2022,"driver",3
"8","male","17-25",2022,"passenger",1
