"SA4_CODE16","sex","age_group","year_range","rolling_average_fatally_injured_in_road_accident"
"301","all","0-16","2016-2020","0"
"301","all","0-16","2017-2021","0.2"
"301","all","0-16","2018-2022","0.4"
"302","all","0-16","2008-2012","0"
"302","all","0-16","2009-2013","0"
"302","all","0-16","2010-2014","0"
"302","all","0-16","2011-2015","0"
"302","all","0-16","2012-2016","0"
"302","all","0-16","2013-2017","0"
"302","all","0-16","2014-2018","0.2"
"302","all","0-16","2015-2019","0.2"
"302","all","0-16","2016-2020","0.2"
"302","all","0-16","2017-2021","0.2"
"302","all","0-16","2018-2022","0.2"
"306","all","0-16","2008-2012","0"
"306","all","0-16","2009-2013","0"
"306","all","0-16","2010-2014","0"
"306","all","0-16","2011-2015","0"
"306","all","0-16","2012-2016","0"
"306","all","0-16","2013-2017","0"
"306","all","0-16","2014-2018","0"
"306","all","0-16","2015-2019","0.2"
"306","all","0-16","2016-2020","0.2"
"306","all","0-16","2017-2021","0.2"
"306","all","0-16","2018-2022","0.4"
"307","all","0-16","2008-2012","0"
"307","all","0-16","2009-2013","0"
"307","all","0-16","2010-2014","0"
"307","all","0-16","2011-2015","0"
"307","all","0-16","2012-2016","0"
"307","all","0-16","2013-2017","0"
"307","all","0-16","2014-2018","0.8"
"307","all","0-16","2015-2019","1"
"307","all","0-16","2016-2020","1.4"
"307","all","0-16","2017-2021","2.2"
"307","all","0-16","2018-2022","2.8"
"308","all","0-16","2008-2012","0"
"308","all","0-16","2009-2013","0"
"308","all","0-16","2010-2014","0"
"308","all","0-16","2011-2015","0"
"308","all","0-16","2012-2016","0"
"308","all","0-16","2013-2017","0"
"308","all","0-16","2014-2018","0"
"308","all","0-16","2015-2019","0.6"
"308","all","0-16","2016-2020","0.8"
"308","all","0-16","2017-2021","1.2"
"308","all","0-16","2018-2022","1.6"
"309","all","0-16","2008-2012","0"
"309","all","0-16","2009-2013","0"
"309","all","0-16","2010-2014","0"
"309","all","0-16","2011-2015","0"
"309","all","0-16","2012-2016","0"
"309","all","0-16","2013-2017","0"
"309","all","0-16","2014-2018","0.4"
"309","all","0-16","2015-2019","0.6"
"309","all","0-16","2016-2020","0.8"
"309","all","0-16","2017-2021","0.8"
"309","all","0-16","2018-2022","0.8"
"310","all","0-16","2008-2012","0"
"310","all","0-16","2009-2013","0"
"310","all","0-16","2010-2014","0"
"310","all","0-16","2011-2015","0"
"310","all","0-16","2012-2016","0"
"310","all","0-16","2013-2017","0"
"310","all","0-16","2014-2018","0.2"
"310","all","0-16","2015-2019","0.8"
"310","all","0-16","2016-2020","1.4"
"310","all","0-16","2017-2021","1.6"
"310","all","0-16","2018-2022","1.6"
"311","all","0-16","2008-2012","0"
"311","all","0-16","2009-2013","0"
