"SA4_CODE16","sex","age_group","calendar_year","type_of_road_user","n_fatally_injured_in_road_accident"
315,"male","17-25",2018,"driver",1
315,"male","17-25",2018,"other",2
315,"male","17-25",2019,"driver",2
315,"male","17-25",2020,"driver",1
315,"male","17-25",2020,"other",2
315,"male","17-25",2022,"passenger",1
316,"female","17-25",2018,"passenger",1
316,"female","17-25",2020,"passenger",1
316,"female","17-25",2022,"driver",1
316,"male","17-25",2018,"driver",1
316,"male","17-25",2018,"other",1
316,"male","17-25",2018,"passenger",1
316,"male","17-25",2019,"other",1
316,"male","17-25",2020,"driver",2
316,"male","17-25",2021,"driver",2
316,"male","17-25",2021,"other",5
316,"male","17-25",2021,"passenger",1
316,"male","17-25",2022,"driver",3
316,"male","17-25",2022,"other",1
316,"male","17-25",2022,"passenger",1
317,"male","17-25",2020,"driver",1
317,"male","17-25",2020,"other",1
317,"male","17-25",2021,"passenger",1
317,"male","17-25",2022,"driver",1
318,"female","17-25",2020,"other",1
318,"female","17-25",2020,"passenger",2
318,"female","17-25",2021,"other",1
318,"female","17-25",2022,"driver",1
318,"male","17-25",2018,"driver",2
318,"male","17-25",2018,"other",1
318,"male","17-25",2018,"passenger",1
318,"male","17-25",2019,"driver",5
318,"male","17-25",2019,"passenger",1
318,"male","17-25",2020,"driver",3
318,"male","17-25",2021,"other",3
318,"male","17-25",2022,"driver",2
318,"male","17-25",2022,"passenger",1
319,"female","17-25",2018,"driver",1
319,"female","17-25",2018,"passenger",1
319,"female","17-25",2020,"passenger",1
319,"female","17-25",2021,"passenger",1
319,"male","17-25",2018,"driver",6
319,"male","17-25",2018,"other",1
319,"male","17-25",2019,"driver",1
319,"male","17-25",2019,"other",2
319,"male","17-25",2019,"passenger",1
319,"male","17-25",2020,"driver",5
319,"male","17-25",2020,"passenger",1
319,"male","17-25",2021,"driver",2
319,"male","17-25",2021,"passenger",1
319,"male","17-25",2022,"driver",4
319,"male","17-25",2022,"passenger",2
401,"female","17-25",2015,"driver",2
401,"female","17-25",2016,"driver",1
401,"male","17-25",2014,"driver",1
401,"male","17-25",2015,"driver",2
401,"male","17-25",2015,"other",3
401,"male","17-25",2017,"driver",2
401,"male","17-25",2017,"other",1
401,"male","17-25",2019,"other",1
401,"male","17-25",2020,"driver",1
401,"male","17-25",2020,"other",1
401,"male","17-25",2021,"driver",2
401,"male","17-25",2021,"other",1
401,"male","17-25",2022,"driver",3
401,"male","17-25",2022,"passenger",1
402,"female","17-25",2014,"driver",1
402,"female","17-25",2018,"driver",1
402,"female","17-25",2019,"passenger",1
402,"female","17-25",2020,"passenger",1
402,"female","17-25",2022,"driver",1
402,"male","17-25",2014,"other",1
402,"male","17-25",2015,"passenger",1
402,"male","17-25",2016,"other",1
402,"male","17-25",2017,"driver",3
402,"male","17-25",2017,"other",1
402,"male","17-25",2017,"passenger",1
402,"male","17-25",2018,"driver",2
402,"male","17-25",2018,"other",1
402,"male","17-25",2018,"passenger",1
402,"male","17-25",2019,"driver",1
402,"male","17-25",2019,"other",3
402,"male","17-25",2020,"driver",3
402,"male","17-25",2020,"other",4
402,"male","17-25",2020,"passenger",1
402,"male","17-25",2021,"driver",1
402,"male","17-25",2021,"other",2
402,"male","17-25",2022,"driver",1
402,"male","17-25",2022,"other",2
