"SA2_NAME","3_yr_olds_preschool_attendance_2014","4_yr_olds_preschool_attendance_2014","5_yr_olds_preschool_attendance_2014","3_yr_olds_preschool_attendance_2015","4_yr_olds_preschool_attendance_2015","5_yr_olds_preschool_attendanc_2015","6_yr_olds_preschool_attendance_2015","3_yr_olds_preschool_attendance_2016","4_yr_olds_preschool_attendance_2016","5_yr_olds_preschool_attendance_2016","6_yr_olds_preschool_attendance_2016","3_yr_olds_preschool_attendance_2017","4_yr_olds_preschool_attendance_2017","5_yr_olds_preschool_attendance_2017","6_yr_olds_preschool_attendance_2017","3_yr_olds_preschool_attendance_2018","4_yr_olds_preschool_attendance_2018","5_yr_olds_preschool_attendance_2018","6_yr_olds_preschool_attendance_2018","3_yr_olds_preschool_attendance_2019","4_yr_olds_preschool_attendance_2019","5_yr_olds_preschool_attendance_2019","6_yr_olds_preschool_attendance_2019","3_yr_olds_preschool_attendance_2020","4_yr_olds_preschool_attendance_2020","5_yr_olds_preschool_attendance_2020","6_yr_olds_preschool_attendance_2020","3_yr_olds_preschool_attendance_2021","4_yr_olds_preschool_attendance_2021","5_yr_olds_preschool_attendance_2021","6_yr_olds_preschool_attendance_2021"
"Statistical area level 2 (SA2) of child",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clermont",0,0,0,0,69,0,0,0,47,0,0,0,53,0,0,0,203,6,0,0,237,6,0,0,249,5,0,0,267,9,0
"Collinsville",0,66,0,0,0,0,0,0,35,0,0,0,0,0,0,0,114,7,0,0,115,4,0,0,128,3,0,0,128,3,0
"Moranbah",0,181,3,0,195,5,0,0,196,0,0,0,155,0,0,0,31,0,0,0,28,0,0,0,35,0,0,0,28,0,0
"Andergrove - Beaconsfield",0,168,3,0,226,6,0,0,196,3,0,0,216,5,0,0,111,0,0,0,100,6,0,0,104,10,0,0,95,5,0
"East Mackay",0,33,0,0,55,0,0,0,30,0,0,0,43,0,0,0,49,3,0,0,36,0,0,0,44,0,0,0,38,3,0
"Eimeo - Rural View",0,166,3,0,228,0,0,0,211,3,0,0,203,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eungella Hinterland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,12,0,0,207,15,0,0,202,6,0,0,216,10,0
"Mackay",0,114,0,0,43,0,0,0,35,0,0,0,27,0,0,0,193,16,0,0,172,11,0,0,174,9,0,0,176,3,0
"Mackay Harbour",0,0,0,0,7,0,0,0,0,0,0,0,4,0,0,0,119,3,0,0,103,7,0,0,130,3,0,0,136,7,0
"Mount Pleasant - Glenella",0,119,5,0,191,3,0,0,112,0,0,0,129,9,0,0,179,5,0,0,143,3,0,0,166,11,0,0,154,4,0
"North Mackay",0,68,0,0,69,0,0,0,73,0,0,0,73,7,0,0,95,8,0,0,110,9,0,0,96,5,0,0,81,3,0
"Ooralea - Bakers Creek",0,67,5,0,73,0,0,0,75,5,0,0,73,0,0,0,92,5,0,0,105,4,0,0,94,3,0,0,83,7,0
"Pioneer Valley",0,116,0,0,133,0,0,0,189,3,0,0,173,3,0,0,76,4,0,0,58,4,0,0,64,5,0,0,51,0,0
"Sarina",0,138,4,0,165,0,0,0,187,14,0,0,126,0,0,0,207,7,0,0,225,7,0,0,173,11,0,0,167,11,0
"Seaforth - Calen",0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,4,0,0,46,0,0,0,43,0,0,0,41,3,0
"Shoal Point - Bucasia",0,81,0,0,95,0,0,0,81,0,0,0,96,3,0,0,70,6,0,0,65,8,0,0,95,5,0,0,84,3,0
"Slade Point",0,45,0,0,54,0,0,0,37,0,0,0,43,0,0,0,64,3,0,0,55,0,0,0,80,3,0,0,50,0,0
"South Mackay",0,68,0,0,84,0,0,0,63,6,0,0,73,3,0,0,117,3,0,0,122,6,0,0,99,3,0,0,110,4,0
"Walkerston - Eton",0,114,0,0,128,0,0,0,89,0,0,0,115,4,0,0,77,0,0,0,76,3,0,0,74,3,0,0,63,3,0
"West Mackay",0,75,0,0,74,0,0,0,62,3,0,0,62,0,0,0,223,11,0,0,224,8,0,0,174,15,0,0,173,12,0
"Airlie - Whitsundays",0,0,0,0,163,5,0,0,177,10,0,0,147,5,0,0,111,3,0,0,159,10,0,0,178,13,0,0,185,7,0
"Cape Conway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,33,3,0,0,32,0,0,0,28,3,0
"Proserpine",0,104,0,0,95,4,0,0,83,3,0,0,85,3,0,0,253,12,0,0,282,9,0,0,307,8,0,0,303,12,0
