SA1_MAINCODE_2011,CED_CODE_2021,CED_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
50605114034,509,Hasluck,1,Good,Good,0
50605114035,509,Hasluck,1,Good,Good,0
50605114101,503,Canning,1,Good,Good,0
50605114102,503,Canning,1,Good,Good,0
50605114103,509,Hasluck,1,Good,Good,0
50605114104,509,Hasluck,1,Good,Good,0
50605114105,509,Hasluck,1,Good,Good,0
50605114106,509,Hasluck,1,Good,Good,0
50605114107,509,Hasluck,1,Good,Good,0
50605114108,509,Hasluck,1,Good,Good,0
50605114109,509,Hasluck,1,Good,Good,0
50605114110,509,Hasluck,1,Good,Good,0
50605114111,509,Hasluck,1,Good,Good,0
50605114112,509,Hasluck,1,Good,Good,0
50605114113,509,Hasluck,1,Good,Good,0
50605114114,509,Hasluck,1,Good,Good,0
50605114115,509,Hasluck,1,Good,Good,0
50605114116,503,Canning,1,Good,Good,0
50605114117,509,Hasluck,1,Good,Good,0
50605114118,509,Hasluck,1,Good,Good,0
50605114119,509,Hasluck,1,Good,Good,0
50605114120,509,Hasluck,1,Good,Good,0
50605114121,509,Hasluck,1,Good,Good,0
50605114122,509,Hasluck,1,Good,Good,0
50605114123,509,Hasluck,0.0707469,Good,Good,0
50605114123,503,Canning,0.9292531,Good,Good,0
50605114124,509,Hasluck,1,Good,Good,0
50605114125,509,Hasluck,1,Good,Good,0
50605114126,509,Hasluck,1,Good,Good,0
50605114127,509,Hasluck,1,Good,Good,0
50605114128,509,Hasluck,1,Good,Good,0
50605114129,503,Canning,1,Good,Good,0
50605114130,503,Canning,1,Good,Good,0
50605114131,509,Hasluck,1,Good,Good,0
50605114132,509,Hasluck,1,Good,Good,0
50605114133,509,Hasluck,1,Good,Good,0
50606114201,503,Canning,1,Good,Good,0
50606114202,503,Canning,1,Good,Good,0
50606114203,503,Canning,1,Good,Good,0
50606114204,503,Canning,1,Good,Good,0
50606114205,503,Canning,1,Good,Good,0
50606114206,503,Canning,1,Good,Good,0
50606114207,503,Canning,1,Good,Good,0
50606114208,503,Canning,1,Good,Good,0
50606114209,503,Canning,1,Good,Good,0
50606114210,503,Canning,1,Good,Good,0
50606114211,503,Canning,1,Good,Good,0
50606114212,503,Canning,1,Good,Good,0
50606114213,503,Canning,1,Good,Good,0
50606114301,503,Canning,1,Good,Good,0
50606114302,503,Canning,1,Good,Good,0
50606114303,503,Canning,1,Good,Good,0
50606114304,503,Canning,1,Good,Good,0
50606114305,503,Canning,1,Good,Good,0
50606114306,503,Canning,1,Good,Good,0
50606114307,503,Canning,1,Good,Good,0
50606114308,503,Canning,1,Good,Good,0
50606114309,503,Canning,1,Good,Good,0
50606114310,503,Canning,1,Good,Good,0
50606114311,503,Canning,1,Good,Good,0
50606114312,503,Canning,1,Good,Good,0
50606114313,503,Canning,1,Good,Good,0
50606114314,503,Canning,1,Good,Good,0
50606114315,503,Canning,1,Good,Good,0
50606114401,503,Canning,1,Good,Good,0
50606114402,503,Canning,1,Good,Good,0
50606114403,503,Canning,1,Good,Good,0
50606114404,503,Canning,1,Good,Good,0
50606114405,503,Canning,1,Good,Good,0
50606114406,503,Canning,1,Good,Good,0
50606114407,503,Canning,1,Good,Good,0
50606114408,503,Canning,1,Good,Good,0
50606114409,503,Canning,1,Good,Good,0
50606114410,503,Canning,1,Good,Good,0
50606114411,503,Canning,1,Good,Good,0
50606114412,503,Canning,1,Good,Good,0
50606114413,503,Canning,1,Good,Good,0
50607114501,514,Swan,1,Good,Good,0
50607114502,514,Swan,1,Good,Good,0
50607114503,514,Swan,1,Good,Good,0
50607114504,514,Swan,1,Good,Good,0
50607114505,514,Swan,1,Good,Good,0
50607114506,514,Swan,1,Good,Good,0
50607114507,514,Swan,1,Good,Good,0
50607114508,514,Swan,1,Good,Good,0
50607114509,514,Swan,1,Good,Good,0
50607114510,514,Swan,1,Good,Good,0
50607114511,514,Swan,1,Good,Good,0
50607114512,514,Swan,1,Good,Good,0
50607114513,514,Swan,1,Good,Good,0
50607114514,514,Swan,1,Good,Good,0
50607114515,514,Swan,1,Good,Good,0
50607114516,514,Swan,1,Good,Good,0
50607114517,514,Swan,1,Good,Good,0
50607114518,514,Swan,1,Good,Good,0
50607114519,514,Swan,1,Good,Good,0
50607114520,514,Swan,1,Good,Good,0
50607114521,514,Swan,1,Good,Good,0
50607114522,514,Swan,1,Good,Good,0
50607114523,514,Swan,1,Good,Good,0
50607114524,514,Swan,1,Good,Good,0
50607114525,514,Swan,1,Good,Good,0
50607114526,514,Swan,1,Good,Good,0
50607114527,514,Swan,1,Good,Good,0
50607114528,514,Swan,1,Good,Good,0
50607114529,514,Swan,1,Good,Good,0
50607114530,514,Swan,1,Good,Good,0
50607114531,514,Swan,1,Good,Good,0
50607114601,514,Swan,1,Good,Good,0
50607114602,514,Swan,1,Good,Good,0
50607114603,514,Swan,1,Good,Good,0
50607114604,514,Swan,1,Good,Good,0
50607114605,514,Swan,1,Good,Good,0
50607114606,514,Swan,1,Good,Good,0
50607114607,514,Swan,1,Good,Good,0
