SA1_MAINCODE_2011,SA1_UID_2011,LGA_CODE_2021,LGA_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
10102100801,204,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100802,205,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100803,206,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100804,207,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100805,208,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100806,209,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100807,210,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100808,211,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100809,212,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100810,213,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100811,214,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100812,215,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100813,216,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100814,217,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100815,218,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100816,219,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100817,220,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100818,221,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100819,222,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100820,223,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100821,224,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100822,225,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100823,226,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100901,227,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100902,228,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100903,229,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100904,230,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100905,231,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100906,232,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100907,233,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100908,234,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100909,235,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100910,236,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100911,237,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100912,238,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100913,239,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100914,240,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100915,241,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100916,242,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100917,243,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100918,244,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100919,245,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100920,246,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100921,247,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100922,248,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101001,249,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101002,250,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101003,251,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101004,252,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101005,253,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101006,254,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101007,255,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101008,256,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101009,257,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101010,258,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101011,259,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101012,260,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101013,261,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101014,262,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101015,263,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101101,264,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101102,265,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101103,266,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101104,267,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101105,268,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101106,269,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101107,270,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101108,271,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101109,272,16490,Queanbeyan-Palerang Regional,0.974081,Good,Good,0
10102101109,272,17040,Snowy Monaro Regional,0.025919,Good,Good,0
10102101110,273,16490,Queanbeyan-Palerang Regional,0.1329538,Good,Good,0
10102101110,273,17040,Snowy Monaro Regional,0.8670462,Good,Good,0
10102101111,274,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101112,275,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101113,276,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101114,277,17040,Snowy Monaro Regional,1,Good,Good,0
10102101115,278,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101116,279,16490,Queanbeyan-Palerang Regional,0.557274,Good,Good,0
10102101116,279,17040,Snowy Monaro Regional,0.442726,Good,Good,0
10102101117,280,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101118,281,13310,Goulburn Mulwaree,0.8542904,Good,Good,0
10102101118,281,16490,Queanbeyan-Palerang Regional,0.1457096,Good,Good,0
10102101119,282,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101120,283,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101121,284,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101122,285,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101123,286,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101124,287,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101125,288,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101126,289,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101127,290,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101128,291,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101129,292,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101130,293,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101131,294,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101132,295,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101133,296,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101134,297,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101135,298,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101136,299,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101137,300,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101138,301,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101139,302,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101140,303,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101201,304,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101202,305,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101203,306,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101204,307,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101205,308,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101206,309,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101207,310,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101208,311,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101209,312,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
