SA2_CODE_2021,SA2_NAME_2021,SED_CODE_2021,SED_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
509031250,Wagin,54701,Roe (Agricultural),0.8153171,Good,Acceptable,0
510011262,Broome,52903,Kimberley (Mining and Pastoral),1,Good,Acceptable,0
510011263,Derby - West Kimberley,52903,Kimberley (Mining and Pastoral),1,Good,Acceptable,0
510011264,Halls Creek,52903,Kimberley (Mining and Pastoral),1,Good,Acceptable,0
510011265,Kununurra,52903,Kimberley (Mining and Pastoral),1,Good,Acceptable,0
510011266,Roebuck,52903,Kimberley (Mining and Pastoral),1,Good,Acceptable,0
510021267,East Pilbara,52903,Kimberley (Mining and Pastoral),0.0444154,Good,Acceptable,0
510021267,East Pilbara,54403,Pilbara (Mining and Pastoral),0.9555846,Good,Acceptable,0
510021268,Newman,54403,Pilbara (Mining and Pastoral),1,Good,Acceptable,0
510021269,Port Hedland,54403,Pilbara (Mining and Pastoral),1,Good,Acceptable,0
510021270,South Hedland,54403,Pilbara (Mining and Pastoral),1,Good,Acceptable,0
510031271,Ashburton (WA),54203,North West Central (Mining and Pastoral),0.9939966,Good,Acceptable,0
510031271,Ashburton (WA),54403,Pilbara (Mining and Pastoral),0.0060034,Good,Acceptable,1
510031272,Karratha,54403,Pilbara (Mining and Pastoral),1,Good,Acceptable,0
510031273,Roebourne,54403,Pilbara (Mining and Pastoral),1,Good,Acceptable,0
511011274,Esperance,54701,Roe (Agricultural),1,Good,Acceptable,0
511011275,Esperance Surrounds,54701,Roe (Agricultural),1,Good,Acceptable,0
511021276,Carnarvon,54203,North West Central (Mining and Pastoral),1,Good,Acceptable,0
511021277,Exmouth,54203,North West Central (Mining and Pastoral),1,Good,Acceptable,0
511031278,Boulder,52803,Kalgoorlie (Mining and Pastoral),1,Good,Acceptable,0
511031279,Kalgoorlie,52803,Kalgoorlie (Mining and Pastoral),1,Good,Acceptable,0
511031280,Kalgoorlie - North,52803,Kalgoorlie (Mining and Pastoral),1,Good,Acceptable,0
511031281,Kalgoorlie Airport,52803,Kalgoorlie (Mining and Pastoral),1,Good,Acceptable,0
511031282,Kambalda - Coolgardie - Norseman,52803,Kalgoorlie (Mining and Pastoral),1,Good,Acceptable,0
