"SA1_CODE_2021","SA1_NAME_2021","Region","Region_Nam","RATIO_FROM_TO","INDIV_TO_REGION_QLTY_INDICATOR","OVERALL_QUALITY_INDICATOR","BMOS_NULL_FLAG"
"10104102617","","J","Eastern NSW","1","Good","Good",3
"10104102618","","J","Eastern NSW","1","Good","Good",3
"10104102619","","J","Eastern NSW","1","Good","Good",3
"10104102620","","J","Eastern NSW","1","Good","Good",3
"10104102621","","J","Eastern NSW","1","Good","Good",3
"10104102622","","J","Eastern NSW","1","Good","Good",3
"10104102623","","J","Eastern NSW","1","Good","Good",3
"10104102624","","J","Eastern NSW","1","Good","Good",3
"10104102625","","J","Eastern NSW","1","Good","Good",3
"10104102626","","J","Eastern NSW","1","Good","Good",3
"10104102627","","J","Eastern NSW","1","Good","Good",3
"10104102701","","J","Eastern NSW","1","Good","Good",3
"10104102702","","J","Eastern NSW","1","Good","Good",3
"10104102703","","J","Eastern NSW","1","Good","Good",3
"10104102704","","J","Eastern NSW","1","Good","Good",3
"10104102705","","J","Eastern NSW","1","Good","Good",3
"10104102706","","J","Eastern NSW","1","Good","Good",3
"10104102707","","J","Eastern NSW","1","Good","Good",3
"10104102708","","J","Eastern NSW","1","Good","Good",3
"10104102709","","J","Eastern NSW","1","Good","Good",3
"10104102710","","J","Eastern NSW","1","Good","Good",3
"10104102711","","J","Eastern NSW","1","Good","Good",3
"10104102712","","J","Eastern NSW","1","Good","Good",3
"10104102713","","J","Eastern NSW","1","Good","Good",3
"10104102714","","J","Eastern NSW","1","Good","Good",3
"10104102715","","J","Eastern NSW","1","Good","Good",3
"10104102716","","J","Eastern NSW","1","Good","Good",3
"10104102719","","J","Eastern NSW","1","Good","Good",3
"10104102720","","","","1.84e-5","Poor","Good",5
"10104102720","","J","Eastern NSW","0.9999816","Good","Good",3
"10104102721","","J","Eastern NSW","1","Good","Good",3
"10104102722","","J","Eastern NSW","1","Good","Good",3
"10104102723","","J","Eastern NSW","1","Good","Good",3
"10104102724","","J","Eastern NSW","1","Good","Good",3
"10104102725","","J","Eastern NSW","1","Good","Good",3
"10104102726","","J","Eastern NSW","1","Good","Good",3
"10104102728","","J","Eastern NSW","1","Good","Good",3
"10104102729","","J","Eastern NSW","1","Good","Good",3
"10104102730","","J","Eastern NSW","1","Good","Good",3
"10104102731","","J","Eastern NSW","1","Good","Good",3
"10104102732","","J","Eastern NSW","1","Good","Good",3
"10104102733","","J","Eastern NSW","1","Good","Good",3
"10105153901","","J","Eastern NSW","1","Good","Good",3
"10105153902","","J","Eastern NSW","1","Good","Good",3
"10105153903","","J","Eastern NSW","1","Good","Good",3
"10105153904","","J","Eastern NSW","1","Good","Good",3
"10105153905","","J","Eastern NSW","1","Good","Good",3
"10105153906","","J","Eastern NSW","1","Good","Good",3
"10105153907","","J","Eastern NSW","1","Good","Good",3
"10105153909","","J","Eastern NSW","1","Good","Good",3
"10105153910","","J","Eastern NSW","1","Good","Good",3
"10105153911","","J","Eastern NSW","1","Good","Good",3
"10105153912","","J","Eastern NSW","1","Good","Good",3
"10105153913","","J","Eastern NSW","1","Good","Good",3
"10105153914","","J","Eastern NSW","1","Good","Good",3
"10105153915","","J","Eastern NSW","1","Good","Good",3
"10105153916","","J","Eastern NSW","1","Good","Good",3
"10105153917","","J","Eastern NSW","1","Good","Good",3
"10105153918","","J","Eastern NSW","1","Good","Good",3
"10105153919","","J","Eastern NSW","1","Good","Good",3
"10105153920","","J","Eastern NSW","1","Good","Good",3
"10105153921","","J","Eastern NSW","1","Good","Good",3
"10105153922","","J","Eastern NSW","1","Good","Good",3
"10105153923","","J","Eastern NSW","1","Good","Good",3
"10105153924","","J","Eastern NSW","1","Good","Good",3
"10105153925","","J","Eastern NSW","1","Good","Good",3
"10105153926","","J","Eastern NSW","1","Good","Good",3
"10105153927","","J","Eastern NSW","1","Good","Good",3
"10105153928","","J","Eastern NSW","1","Good","Good",3
"10105153929","","J","Eastern NSW","1","Good","Good",3
"10105153930","","J","Eastern NSW","1","Good","Good",3
"10105153931","","J","Eastern NSW","1","Good","Good",3
"10105153932","","J","Eastern NSW","1","Good","Good",3
"10105153933","","J","Eastern NSW","1","Good","Good",3
"10105153934","","J","Eastern NSW","1","Good","Good",3
"10105153935","","J","Eastern NSW","1","Good","Good",3
"10105153936","","J","Eastern NSW","1","Good","Good",3
"10105153937","","J","Eastern NSW","1","Good","Good",3
"10105153938","","J","Eastern NSW","1","Good","Good",3
"10105153939","","J","Eastern NSW","1","Good","Good",3
"10105153940","","J","Eastern NSW","1","Good","Good",3
"10105153941","","J","Eastern NSW","1","Good","Good",3
"10105153942","","J","Eastern NSW","1","Good","Good",3
"10105153943","","J","Eastern NSW","1","Good","Good",3
"10105153944","","J","Eastern NSW","1","Good","Good",3
