LOCALITY_PID_2021,LOCALITY_NAME_2021,SA2_CODE_2021,SA2_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
NSW1032,COOKS HILL,111031229,Newcastle - Cooks Hill,0.9691078,Good,Good,0
NSW1033,COOKS MYALLS,103021068,Parkes Surrounds,1,Acceptable,Good,0
NSW1034,COOLABAH,105011095,Nyngan - Warren,1,Good,Good,0
NSW1035,COOLAC,113031264,Gundagai,1,Good,Good,0
NSW1036,COOLAGOLITE,101041020,Bega-Eden Hinterland,1,Good,Good,0
NSW1037,COOLAH,105031099,Coonabarabran,1,Good,Good,0
NSW1038,COOLAMON,113031271,Wagga Wagga Surrounds,1,Good,Good,0
NSW1039,COOLANGATTA,114011272,Berry - Kangaroo Valley,1,Good,Good,0
NSW104,ATHOLWOOD,110021192,Inverell Surrounds - East,1,Good,Good,0
NSW1040,COOLANGUBRA,101041020,Bega-Eden Hinterland,1,Good,Good,0
NSW1041,COOLATAI,110021192,Inverell Surrounds - East,0.1104778,Good,Good,0
NSW1041,COOLATAI,110021193,Inverell Surrounds - West,0.8895222,Good,Good,0
NSW1043,COOLEMAN,113021262,Tumut Surrounds,1,Good,Good,0
NSW1044,COOLEYS CREEK,113021262,Tumut Surrounds,1,Good,Good,0
NSW1045,COOLGARDIE,112011237,Ballina Surrounds,1,Good,Good,0
NSW1046,COOLONGOLOOK,108011153,Forster-Tuncurry Surrounds,1,Good,Good,0
NSW1047,COOLRINGDON,101031015,Cooma Surrounds,1,Good,Good,0
NSW1048,COOLUMBOOKA,101031013,Bombala,1,Good,Good,0
NSW1049,COOLUMBURRA,114011275,Ettrema - Sassafras - Budawang,1,Good,Good,0
NSW105,ATTUNGA,110041205,Tamworth Surrounds,1,Good,Good,0
NSW1050,COOMA,101031014,Cooma,1,Good,Good,0
NSW1051,COOMBA BAY,108011153,Forster-Tuncurry Surrounds,1,Good,Good,0
NSW1052,COOMBA PARK,108011153,Forster-Tuncurry Surrounds,1,Good,Good,0
NSW1053,COOMBADJHA,104011081,Grafton Surrounds,0.9990958,Good,Good,0
NSW1053,COOMBADJHA,110021190,Glen Innes,0.0009042,Good,Good,1
NSW1054,COOMBELL,112021245,Casino Surrounds,1,Good,Good,0
NSW1055,COOMOO COOMOO,110041201,Quirindi,1,Good,Good,0
NSW1056,COONABARABRAN,105031099,Coonabarabran,1,Good,Good,0
NSW1057,COONAMBLE,105011094,Coonamble,1,Good,Good,0
NSW1058,COONGBAR,104011081,Grafton Surrounds,1,Good,Good,0
NSW1059,COOPERABUNG,108021156,Kempsey Surrounds,0.0147752,Good,Good,0
NSW1059,COOPERABUNG,108041165,Port Macquarie Surrounds,0.9852248,Good,Good,0
NSW106,AUBURN,125011582,Auburn - Central,0.4947952,Poor,Good,0
NSW106,AUBURN,125011583,Auburn - North,0.2692713,Poor,Good,0
NSW106,AUBURN,125011584,Auburn - South,0.2244939,Poor,Good,0
NSW106,AUBURN,125011585,Berala,0.0034284,Good,Good,1
NSW106,AUBURN,125011586,Lidcombe,0.0080113,Acceptable,Good,1
NSW1060,COOPERNOOK,108051170,Taree Surrounds,1,Good,Good,0
NSW1061,COOPERS GULLY,101041020,Bega-Eden Hinterland,1,Good,Good,0
NSW1062,COOPERS SHOOT,112011238,Bangalow,1,Good,Good,0
NSW1063,COOPLACURRIPA,108051170,Taree Surrounds,1,Good,Good,0
NSW1064,COORABELL,112011238,Bangalow,0.9942202,Good,Good,0
NSW1064,COORABELL,112011243,Mullumbimby,0.0057798,Good,Good,1
NSW1065,COORANBONG,111021218,Morisset - Cooranbong,1,Good,Good,0
NSW1066,COOTAMUNDRA,113031263,Cootamundra,1,Good,Good,0
NSW1067,COOTRALANTRA,101031016,Jindabyne - Berridale,1,Good,Good,0
NSW1068,COOYAL,103031074,Mudgee Surrounds - West,1,Good,Good,0
NSW1069,COPACABANA,102011028,Avoca Beach - Copacabana,1,Good,Good,0
NSW107,AUBURN VALE,110021192,Inverell Surrounds - East,0.0174089,Good,Good,0
NSW107,AUBURN VALE,110021193,Inverell Surrounds - West,0.9825911,Good,Good,0
NSW1070,COPE,103031074,Mudgee Surrounds - West,1,Good,Good,0
NSW1071,COPELAND,108051167,Gloucester,1,Good,Good,0
NSW1072,COPETON,110021193,Inverell Surrounds - West,1,Good,Good,0
NSW1073,COPMANHURST,104011081,Grafton Surrounds,1,Good,Good,0
NSW1074,COPPABELLA,109011175,Albury Surrounds,1,Good,Good,0
NSW1075,COPPERHANNIA,103011060,Bathurst Surrounds,1,Good,Good,0
NSW1076,CORAKI,112021245,Casino Surrounds,0.9764193,Good,Good,0
NSW1076,CORAKI,112021249,Lismore Surrounds,0.0235807,Good,Good,0
NSW1077,CORALVILLE,108051170,Taree Surrounds,1,Good,Good,0
NSW1078,CORAMBA,104021086,Coramba - Nana Glen - Bucca,1,Good,Good,0
NSW1079,CORANG,101021007,Braidwood,1,Good,Good,0
NSW108,AUSTINMER,107041148,Thirroul - Austinmer - Coalcliff,1,Good,Good,0
NSW1080,CORANGULA,108021156,Kempsey Surrounds,1,Good,Good,0
NSW1081,CORBIE HILL,113011258,Leeton,0.9759966,Good,Good,0
NSW1081,CORBIE HILL,113011259,Narrandera,0.0240034,Good,Good,0
NSW1082,CORDEAUX,107011134,Unanderra - Mount Kembla,0.0588235,Good,Good,0
NSW1082,CORDEAUX,107021135,Illawarra Catchment Reserve,0.9411765,Poor,Good,0
NSW1083,CORDEAUX HEIGHTS,107011134,Unanderra - Mount Kembla,1,Good,Good,0
NSW1084,COREE,109031183,Deniliquin Surrounds,0.3335895,Good,Good,0
NSW1084,COREE,109031185,Tocumwal - Finley - Jerilderie,0.6664105,Good,Good,0
NSW1085,COREEN,109031181,Corowa Surrounds,1,Good,Good,0
NSW1086,CORINDI BEACH,104021091,Woolgoolga - Arrawarra,1,Good,Good,0
NSW1087,CORINELLA,103021065,Forbes,1,Good,Good,0
NSW1088,CORLETTE,106031121,Nelson Bay Peninsula,1,Good,Good,0
NSW1089,CORNDALE,112021249,Lismore Surrounds,1,Good,Good,0
NSW109,AUSTRAL,127011505,Austral - Greendale,1,Good,Good,0
NSW1090,CORNEY TOWN,103031070,Lithgow,1,Good,Good,0
NSW1091,CORNWALLIS,124041466,Richmond - Clarendon,1,Good,Good,0
NSW1092,COROBIMILLA,113011259,Narrandera,1,Good,Good,0
NSW1093,COROWA,109031180,Corowa,1,Good,Good,0
NSW1094,CORRABARE,106011109,Cessnock Surrounds,1,Good,Good,0
NSW1095,CORRIMAL,107021135,Illawarra Catchment Reserve,7.00E-07,Poor,Good,1
NSW1095,CORRIMAL,107041144,Balgownie - Fairy Meadow,0.0048865,Good,Good,1
NSW1095,CORRIMAL,107041145,Corrimal - Tarrawanna - Bellambi,0.9951127,Good,Good,0
NSW1096,CORRONG,109021179,Wentworth-Balranald Region,1,Good,Good,0
NSW1097,CORROWONG,101031013,Bombala,1,Good,Good,0
NSW1098,CORUNNA,101041027,Narooma - Bermagui,1,Good,Good,0
NSW1099,COTTAGE POINT,122031432,Terrey Hills - Duffys Forest,1,Good,Good,0
NSW11,ABERMAIN,106011111,Kurri Kurri - Abermain,1,Good,Good,0
NSW110,AUSTRAL EDEN,108021156,Kempsey Surrounds,1,Good,Good,0
NSW1100,COUGAL,112021247,Kyogle,1,Good,Good,0
NSW1101,COUNTEGANY,101031015,Cooma Surrounds,0.9998719,Good,Good,0
NSW1101,COUNTEGANY,101041022,Deua - Wadbilliga,0.0001281,Poor,Good,1
NSW1102,COURABYRA,113021260,Tumbarumba,1,Good,Good,0
NSW1103,COURADDA,110031198,Narrabri Surrounds,1,Good,Good,0
NSW1104,COURAGAGO,113021262,Tumut Surrounds,1,Good,Good,0
NSW1105,COURIDJAH,123031447,Picton - Tahmoor - Buxton,1,Good,Good,0
NSW1106,COUTTS CROSSING,104011081,Grafton Surrounds,1,Good,Good,0
NSW1107,COW FLAT,103011060,Bathurst Surrounds,1,Good,Good,0
NSW1108,COWABBIE,113031271,Wagga Wagga Surrounds,1,Good,Good,0
NSW1109,COWAN,121021404,Berowra - Brooklyn - Cowan,1,Good,Good,0
NSW1110,COWPER,104011081,Grafton Surrounds,1,Good,Good,0
NSW1111,COWRA,103021063,Cowra,0.9128445,Good,Good,0
NSW1111,COWRA,103021064,Cowra Surrounds,0.0871555,Acceptable,Good,0
NSW1112,COXS CREEK,103031073,Mudgee Surrounds - East,1,Good,Good,0
NSW1113,COXS CROWN,103031073,Mudgee Surrounds - East,1,Good,Good,0
NSW1114,CRABBES CREEK,112031253,Pottsville,1,Good,Good,0
NSW1115,CRACKENBACK,101031016,Jindabyne - Berridale,1,Good,Good,0
NSW1116,CRAIGIE,101031013,Bombala,1,Good,Good,0
NSW1117,CRANEBROOK,124031707,Cranebrook - Castlereagh,1,Good,Good,0
NSW1118,CRANGAN BAY,102021050,Lake Munmorah - Mannering Park,0.9901827,Good,Good,0
NSW1118,CRANGAN BAY,102021052,Summerland Point - Gwandalan,0.0032724,Good,Good,1
NSW1118,CRANGAN BAY,111011212,Swansea - Caves Beach,0.0065449,Good,Good,1
NSW1119,CRAVEN,108051167,Gloucester,1,Good,Good,0
NSW112,AVISFORD,103031074,Mudgee Surrounds - West,1,Good,Good,0
NSW1120,CRAVEN PLATEAU,108051167,Gloucester,1,Good,Good,0
NSW1121,CRAWFORD RIVER,108011151,Bulahdelah - Stroud,1,Good,Good,0
NSW1122,CRAWNEY,106041129,Scone Surrounds,0.2206343,Good,Good,0
NSW1122,CRAWNEY,110041205,Tamworth Surrounds,0.7793657,Good,Good,0
NSW1123,CREEWAH,101031013,Bombala,1,Good,Good,0
NSW1124,CREMORNE,121041413,Cremorne - Cammeray,0.9988341,Good,Good,0
NSW1124,CREMORNE,121041416,Neutral Bay - Kirribilli,0.0011659,Good,Good,1
NSW1125,CREMORNE POINT,121041413,Cremorne - Cammeray,0.9751991,Good,Good,0
NSW1125,CREMORNE POINT,121041416,Neutral Bay - Kirribilli,0.0248009,Good,Good,0
NSW1126,CRESCENT HEAD,108021156,Kempsey Surrounds,1,Good,Good,0
NSW1127,CRESTWOOD,101021009,Queanbeyan,1,Good,Good,0
NSW1128,CRINGILA,107011133,Port Kembla Industrial,4.70E-06,Poor,Good,1
NSW1128,CRINGILA,107011134,Unanderra - Mount Kembla,4.70E-06,Good,Good,1
NSW1128,CRINGILA,107011545,Berkeley - Lake Heights - Cringila,0.9999905,Good,Good,0
NSW1129,CROKI,108051170,Taree Surrounds,1,Good,Good,0
NSW113,AVOCA,114021288,Robertson - Fitzroy Falls,1,Good,Good,0
NSW1130,CROMER,122031424,Beacon Hill - Narraweena,0.000863,Good,Good,1
NSW1130,CROMER,122031425,Cromer,0.9688194,Good,Good,0
NSW1130,CROMER,122031693,Collaroy - Collaroy Plateau,0.0303176,Good,Good,0
NSW1131,CRONULLA,128011604,Cronulla - Kurnell - Bundeena,0.9942663,Good,Good,0
NSW1131,CRONULLA,128011606,Woolooware - Burraneer,0.0057337,Good,Good,1
NSW1132,CROOBLE,110031196,Moree Surrounds,1,Acceptable,Good,0
NSW1133,CROOBYAR,114011283,Ulladulla Surrounds,1,Good,Good,0
NSW1134,CROOKED CORNER,101051540,Goulburn Surrounds,1,Good,Good,0
NSW1135,CROOKWELL,101051540,Goulburn Surrounds,1,Good,Good,0
NSW1136,CROOM,107031140,Kiama Hinterland - Gerringong,0.3423399,Good,Good,0
NSW1136,CROOM,107031141,Shellharbour - Flinders,0.6576601,Good,Good,0
NSW1137,CROPPA CREEK,110031196,Moree Surrounds,1,Acceptable,Good,0
NSW1138,CROSS ROADS,103031074,Mudgee Surrounds - West,1,Good,Good,0
NSW1139,CROSSLANDS,108041166,Wauchope,1,Good,Good,0
NSW114,AVOCA BEACH,102011028,Avoca Beach - Copacabana,0.9990172,Good,Good,0
NSW114,AVOCA BEACH,102011034,Kincumber - Picketts Valley,0.0009828,Good,Good,1
NSW1140,CROUDACE BAY,111011213,Valentine - Eleebana,1,Good,Good,0
NSW1142,CROWDY HEAD,108051170,Taree Surrounds,1,Good,Good,0
NSW1143,CROWS NEST,121041414,Crows Nest - Waverton,0.9926633,Good,Good,0
NSW1143,CROWS NEST,121041417,North Sydney - Lavender Bay,0.0073367,Acceptable,Good,1
NSW1144,CROWTHER,101061544,Young Surrounds,1,Good,Good,0
NSW1145,CROWTHER ISLAND,104011080,Grafton,1,Good,Good,0
NSW1146,CROYDON,120031393,Croydon Park - Enfield,0.2140663,Acceptable,Good,0
NSW1146,CROYDON,120031679,Croydon,0.7859337,Poor,Good,0
NSW1147,CROYDON PARK,120031393,Croydon Park - Enfield,1,Acceptable,Good,0
NSW1148,CRUDINE,103011060,Bathurst Surrounds,0.5998834,Good,Good,0
NSW1148,CRUDINE,103031073,Mudgee Surrounds - East,0.3999778,Good,Good,0
NSW1148,CRUDINE,103031074,Mudgee Surrounds - West,0.0001388,Good,Good,1
NSW1149,CRYON,105011096,Walgett - Lightning Ridge,1,Good,Good,0
NSW115,AVON,107021135,Illawarra Catchment Reserve,1,Poor,Good,0
NSW1150,CRYSTAL CREEK,112031252,Murwillumbah Surrounds,1,Good,Good,0
NSW1151,CUBBA,105011093,Cobar,1,Good,Good,0
NSW1152,CUDAL,103041079,Orange Surrounds,1,Good,Good,0
NSW1153,CUDGEGONG,103031073,Mudgee Surrounds - East,0.2540789,Good,Good,0
NSW1153,CUDGEGONG,103031074,Mudgee Surrounds - West,0.7459211,Good,Good,0
NSW1154,CUDGEL,113011259,Narrandera,1,Good,Good,0
NSW1155,CUDGEN,112031250,Kingscliff - Fingal Head,1,Good,Good,0
NSW1156,CUDGERA CREEK,112031253,Pottsville,1,Good,Good,0
NSW1157,CUDMIRRAH,114011280,Sussex Inlet - Berrara,1,Good,Good,0
NSW1158,CULBURRA BEACH,114011274,Culburra Beach,1,Good,Good,0
NSW1159,CULCAIRN,109011175,Albury Surrounds,1,Good,Good,0
NSW116,AVONDALE,107011131,Dapto - Avondale,1,Good,Good,0
NSW1160,CULLEN BULLEN,103031071,Lithgow Surrounds,1,Good,Good,0
NSW1161,CULLENBONE,103031074,Mudgee Surrounds - West,1,Good,Good,0
NSW1162,CULLENDORE,110021194,Tenterfield,1,Good,Good,0
NSW1163,CULLERIN,101051540,Goulburn Surrounds,1,Good,Good,0
