LGA_CODE_2021,LGA_NAME_2021,ADD_CODE_2021,ADD_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
44620,Mount Gambier,D09,South East Coast (Victoria),1,Good,Good,0
44830,Mount Remarkable,D07,South Australian Gulf,1,Good,Good,0
45040,Murray Bridge,D03,Murray-Darling Basin,1,Good,Good,0
45090,Naracoorte Lucindale,D09,South East Coast (Victoria),1,Good,Good,0
45120,Northern Areas,D02,Lake Eyre Basin,0.0327508,Acceptable,Good,0
45120,Northern Areas,D07,South Australian Gulf,0.9672492,Good,Good,0
45290,Norwood Payneham and St Peters,D07,South Australian Gulf,1,Good,Good,0
45340,Onkaparinga,D03,Murray-Darling Basin,0.0003197,Good,Good,1
45340,Onkaparinga,D07,South Australian Gulf,0.9996803,Good,Good,0
45400,Orroroo Carrieton,D02,Lake Eyre Basin,0.7592207,Acceptable,Good,0
45400,Orroroo Carrieton,D07,South Australian Gulf,0.2407793,Good,Good,0
45540,Peterborough,D02,Lake Eyre Basin,0.9932707,Acceptable,Good,0
45540,Peterborough,D03,Murray-Darling Basin,0.0067293,Good,Good,1
45680,Playford,D07,South Australian Gulf,1,Good,Good,0
45890,Port Adelaide Enfield,D07,South Australian Gulf,1,Good,Good,0
46090,Port Augusta,D07,South Australian Gulf,1,Good,Good,0
46300,Port Lincoln,D07,South Australian Gulf,1,Good,Good,0
46450,Port Pirie,D07,South Australian Gulf,1,Good,Good,0
46510,Prospect,D07,South Australian Gulf,1,Good,Good,0
46670,Renmark Paringa,D03,Murray-Darling Basin,1,Good,Good,0
46860,Robe,D09,South East Coast (Victoria),1,Good,Good,0
46970,Roxby Downs,D07,South Australian Gulf,1,Good,Good,0
47140,Salisbury,D07,South Australian Gulf,1,Good,Good,0
47290,Southern Mallee,D03,Murray-Darling Basin,0.9902982,Good,Good,0
47290,Southern Mallee,D09,South East Coast (Victoria),0.0097018,Good,Good,1
47490,Streaky Bay,D11,South Western Plateau,1,Good,Good,0
47630,Tatiara,D09,South East Coast (Victoria),1,Good,Good,0
47700,Tea Tree Gully,D07,South Australian Gulf,1,Good,Good,0
47800,Coorong,D03,Murray-Darling Basin,0.782363,Good,Good,0
47800,Coorong,D09,South East Coast (Victoria),0.217637,Good,Good,0
47910,Tumby Bay,D07,South Australian Gulf,0.9331242,Good,Good,0
47910,Tumby Bay,D11,South Western Plateau,0.0668758,Good,Good,0
47980,Unley,D07,South Australian Gulf,1,Good,Good,0
48050,Victor Harbor,D03,Murray-Darling Basin,0.002979,Good,Good,1
48050,Victor Harbor,D07,South Australian Gulf,0.997021,Good,Good,0
48130,Wakefield,D07,South Australian Gulf,1,Good,Good,0
48260,Walkerville,D07,South Australian Gulf,1,Good,Good,0
48340,Wattle Range,D09,South East Coast (Victoria),1,Good,Good,0
48410,West Torrens,D07,South Australian Gulf,1,Good,Good,0
48540,Whyalla,D07,South Australian Gulf,1,Good,Good,0
48640,Wudinna,D11,South Western Plateau,1,Good,Good,0
48750,Yankalilla,D07,South Australian Gulf,1,Good,Good,0
48830,Yorke Peninsula,D07,South Australian Gulf,1,Good,Good,0
49399,Unincorporated SA,D02,Lake Eyre Basin,0.3533588,Acceptable,Good,0
49399,Unincorporated SA,D03,Murray-Darling Basin,0.0842674,Good,Good,0
49399,Unincorporated SA,D07,South Australian Gulf,0.2854378,Good,Good,0
49399,Unincorporated SA,D11,South Western Plateau,0.276936,Good,Good,0
49499,No usual address (SA),D94,No usual address (Aust.),1,Good,Good,0
49799,Migratory - Offshore - Shipping (SA),D97,Migratory - Offshore - Shipping (Aust.),1,Good,Good,0
50080,Albany,D10,South West Coast,1,Good,Good,0
50210,Armadale,D10,South West Coast,1,Good,Good,0
50250,Ashburton,D06,Pilbara-Gascoyne,1,Good,Good,0
50280,Augusta Margaret River,D10,South West Coast,1,Good,Good,0
50350,Bassendean,D10,South West Coast,1,Good,Good,0
50420,Bayswater,D10,South West Coast,1,Good,Good,0
50490,Belmont,D10,South West Coast,1,Good,Good,0
50560,Beverley,D10,South West Coast,1,Good,Good,0
50630,Boddington,D10,South West Coast,1,Good,Good,0
50770,Boyup Brook,D10,South West Coast,1,Good,Good,0
50840,Bridgetown-Greenbushes,D10,South West Coast,1,Good,Good,0
50910,Brookton,D10,South West Coast,1,Good,Good,0
50980,Broome,D05,North Western Plateau,0.0446602,Poor,Good,0
50980,Broome,D12,Tanami-Timor Sea Coast,0.9553398,Good,Good,0
51080,Broomehill-Tambellup,D10,South West Coast,1,Good,Good,0
51120,Bruce Rock,D10,South West Coast,1,Good,Good,0
51190,Bunbury,D10,South West Coast,1,Good,Good,0
51260,Busselton,D10,South West Coast,1,Good,Good,0
51310,Cambridge,D10,South West Coast,1,Good,Good,0
51330,Canning,D10,South West Coast,1,Good,Good,0
51400,Capel,D10,South West Coast,1,Good,Good,0
51470,Carnamah,D10,South West Coast,1,Good,Good,0
51540,Carnarvon,D06,Pilbara-Gascoyne,1,Good,Good,0
51610,Chapman Valley,D06,Pilbara-Gascoyne,1,Good,Good,0
51680,Chittering,D10,South West Coast,1,Good,Good,0
51710,Christmas Island,D91,Unclassified (Aust.),1,Good,Good,0
51750,Claremont,D10,South West Coast,1,Good,Good,0
51820,Cockburn,D10,South West Coast,1,Good,Good,0
51860,Cocos Islands,D91,Unclassified (Aust.),1,Good,Good,0
51890,Collie,D10,South West Coast,1,Good,Good,0
51960,Coolgardie,D10,South West Coast,0.0121492,Good,Good,0
51960,Coolgardie,D11,South Western Plateau,0.9878508,Good,Good,0
52030,Coorow,D10,South West Coast,1,Good,Good,0
52100,Corrigin,D10,South West Coast,1,Good,Good,0
52170,Cottesloe,D10,South West Coast,1,Good,Good,0
52240,Cranbrook,D10,South West Coast,1,Good,Good,0
52310,Cuballing,D10,South West Coast,1,Good,Good,0
52380,Cue,D06,Pilbara-Gascoyne,1,Good,Good,0
52450,Cunderdin,D10,South West Coast,1,Good,Good,0
52520,Dalwallinu,D10,South West Coast,1,Good,Good,0
52590,Dandaragan,D10,South West Coast,1,Good,Good,0
52660,Dardanup,D10,South West Coast,1,Good,Good,0
52730,Denmark,D10,South West Coast,1,Good,Good,0
52800,Derby-West Kimberley,D12,Tanami-Timor Sea Coast,1,Good,Good,0
52870,Donnybrook-Balingup,D10,South West Coast,1,Good,Good,0
52940,Dowerin,D10,South West Coast,1,Good,Good,0
53010,Dumbleyung,D10,South West Coast,1,Good,Good,0
53080,Dundas,D10,South West Coast,1.47E-05,Good,Good,1
53080,Dundas,D11,South Western Plateau,0.9999853,Good,Good,0
53150,East Fremantle,D10,South West Coast,1,Good,Good,0
53220,East Pilbara,D05,North Western Plateau,0.3093599,Poor,Good,0
53220,East Pilbara,D06,Pilbara-Gascoyne,0.6906401,Good,Good,0
53290,Esperance,D10,South West Coast,0.0770741,Good,Good,0
53290,Esperance,D11,South Western Plateau,0.9229259,Good,Good,0
53360,Exmouth,D06,Pilbara-Gascoyne,1,Good,Good,0
53430,Fremantle,D10,South West Coast,1,Good,Good,0
53570,Gingin,D10,South West Coast,1,Good,Good,0
53640,Gnowangerup,D10,South West Coast,1,Good,Good,0
53710,Goomalling,D10,South West Coast,1,Good,Good,0
53780,Gosnells,D10,South West Coast,1,Good,Good,0
53800,Greater Geraldton,D06,Pilbara-Gascoyne,1,Good,Good,0
53920,Halls Creek,D05,North Western Plateau,0.266979,Poor,Good,0
53920,Halls Creek,D12,Tanami-Timor Sea Coast,0.733021,Good,Good,0
53990,Harvey,D10,South West Coast,1,Good,Good,0
54060,Irwin,D06,Pilbara-Gascoyne,1,Good,Good,0
54130,Jerramungup,D10,South West Coast,1,Good,Good,0
54170,Joondalup,D10,South West Coast,1,Good,Good,0
54200,Kalamunda,D10,South West Coast,1,Good,Good,0
54280,Kalgoorlie-Boulder,D11,South Western Plateau,1,Good,Good,0
54310,Karratha,D06,Pilbara-Gascoyne,1,Good,Good,0
54340,Katanning,D10,South West Coast,1,Good,Good,0
54410,Kellerberrin,D10,South West Coast,1,Good,Good,0
54480,Kent,D10,South West Coast,1,Good,Good,0
54550,Kojonup,D10,South West Coast,1,Good,Good,0
54620,Kondinin,D10,South West Coast,1,Good,Good,0
54690,Koorda,D10,South West Coast,1,Good,Good,0
54760,Kulin,D10,South West Coast,1,Good,Good,0
54830,Kwinana,D10,South West Coast,1,Good,Good,0
54900,Lake Grace,D10,South West Coast,1,Good,Good,0
54970,Laverton,D05,North Western Plateau,1.50E-05,Poor,Good,1
54970,Laverton,D11,South Western Plateau,0.999985,Good,Good,0
55040,Leonora,D11,South Western Plateau,1,Good,Good,0
55110,Mandurah,D10,South West Coast,1,Good,Good,0
55180,Manjimup,D10,South West Coast,1,Good,Good,0
55250,Meekatharra,D05,North Western Plateau,0.0708258,Poor,Good,0
55250,Meekatharra,D06,Pilbara-Gascoyne,0.9291742,Good,Good,0
55320,Melville,D10,South West Coast,1,Good,Good,0
55390,Menzies,D11,South Western Plateau,1,Good,Good,0
55460,Merredin,D10,South West Coast,1,Good,Good,0
55530,Mingenew,D06,Pilbara-Gascoyne,1,Good,Good,0
55600,Moora,D10,South West Coast,1,Good,Good,0
55670,Morawa,D06,Pilbara-Gascoyne,0.0284581,Good,Good,0
55670,Morawa,D10,South West Coast,0.9715419,Good,Good,0
55740,Mosman Park,D10,South West Coast,1,Good,Good,0
55810,Mount Magnet,D06,Pilbara-Gascoyne,1.52E-05,Good,Good,1
55810,Mount Magnet,D10,South West Coast,0.9999848,Good,Good,0
55880,Mount Marshall,D10,South West Coast,1,Good,Good,0
55950,Mukinbudin,D10,South West Coast,1,Good,Good,0
56090,Mundaring,D10,South West Coast,1,Good,Good,0
56160,Murchison,D06,Pilbara-Gascoyne,1,Good,Good,0
56230,Murray,D10,South West Coast,1,Good,Good,0
56300,Nannup,D10,South West Coast,1,Good,Good,0
56370,Narembeen,D10,South West Coast,1,Good,Good,0
56460,Narrogin,D10,South West Coast,1,Good,Good,0
56580,Nedlands,D10,South West Coast,1,Good,Good,0
56620,Ngaanyatjarraku,D05,North Western Plateau,0.0345088,Poor,Good,0
56620,Ngaanyatjarraku,D11,South Western Plateau,0.9654912,Good,Good,0
56730,Northam,D10,South West Coast,1,Good,Good,0
56790,Northampton,D06,Pilbara-Gascoyne,1,Good,Good,0
56860,Nungarin,D10,South West Coast,1,Good,Good,0
56930,Peppermint Grove,D10,South West Coast,1,Good,Good,0
57000,Perenjori,D10,South West Coast,1,Good,Good,0
57080,Perth,D10,South West Coast,1,Good,Good,0
57140,Pingelly,D10,South West Coast,1,Good,Good,0
57210,Plantagenet,D10,South West Coast,1,Good,Good,0
57280,Port Hedland,D05,North Western Plateau,0.0042357,Poor,Good,1
57280,Port Hedland,D06,Pilbara-Gascoyne,0.9957643,Good,Good,0
57350,Quairading,D10,South West Coast,1,Good,Good,0
57420,Ravensthorpe,D10,South West Coast,1,Good,Good,0
57490,Rockingham,D10,South West Coast,1,Good,Good,0
57630,Sandstone,D11,South Western Plateau,1,Good,Good,0
57700,Serpentine-Jarrahdale,D10,South West Coast,1,Good,Good,0
57770,Shark Bay,D06,Pilbara-Gascoyne,1,Good,Good,0
57840,South Perth,D10,South West Coast,1,Good,Good,0
57910,Stirling,D10,South West Coast,1,Good,Good,0
57980,Subiaco,D10,South West Coast,1,Good,Good,0
58050,Swan,D10,South West Coast,1,Good,Good,0
58190,Tammin,D10,South West Coast,1,Good,Good,0
58260,Three Springs,D06,Pilbara-Gascoyne,0.1888544,Good,Good,0
58260,Three Springs,D10,South West Coast,0.8111456,Good,Good,0
58330,Toodyay,D10,South West Coast,1,Good,Good,0
58400,Trayning,D10,South West Coast,1,Good,Good,0
58470,Upper Gascoyne,D06,Pilbara-Gascoyne,1,Good,Good,0
58510,Victoria Park,D10,South West Coast,1,Good,Good,0
58540,Victoria Plains,D10,South West Coast,1,Good,Good,0
58570,Vincent,D10,South West Coast,1,Good,Good,0
58610,Wagin,D10,South West Coast,1,Good,Good,0
58680,Wandering,D10,South West Coast,1,Good,Good,0
58760,Wanneroo,D10,South West Coast,1,Good,Good,0
58820,Waroona,D10,South West Coast,1,Good,Good,0
58890,West Arthur,D10,South West Coast,1,Good,Good,0
59030,Westonia,D10,South West Coast,1,Good,Good,0
59100,Wickepin,D10,South West Coast,1,Good,Good,0
59170,Williams,D10,South West Coast,1,Good,Good,0
59250,Wiluna,D05,North Western Plateau,0.3696804,Poor,Good,0
59250,Wiluna,D11,South Western Plateau,0.6303196,Good,Good,0
59310,Wongan-Ballidu,D10,South West Coast,1,Good,Good,0
59320,Woodanilling,D10,South West Coast,1,Good,Good,0
59330,Wyalkatchem,D10,South West Coast,1,Good,Good,0
59340,Wyndham-East Kimberley,D12,Tanami-Timor Sea Coast,1,Good,Good,0
59350,Yalgoo,D10,South West Coast,1,Good,Good,0
59360,Yilgarn,D10,South West Coast,1,Good,Good,0
59370,York,D10,South West Coast,1,Good,Good,0
59499,No usual address (WA),D94,No usual address (Aust.),1,Good,Good,0
59799,Migratory - Offshore - Shipping (WA),D97,Migratory - Offshore - Shipping (Aust.),1,Good,Good,0
60210,Break O'Day,D13,Tasmania,1,Good,Good,0
60410,Brighton,D13,Tasmania,1,Good,Good,0
60610,Burnie,D13,Tasmania,1,Good,Good,0
60810,Central Coast (Tas.),D13,Tasmania,1,Good,Good,0
61010,Central Highlands (Tas.),D13,Tasmania,1,Good,Good,0
61210,Circular Head,D13,Tasmania,1,Good,Good,0
61410,Clarence,D13,Tasmania,1,Good,Good,0
61510,Derwent Valley,D13,Tasmania,1,Good,Good,0
61610,Devonport,D13,Tasmania,1,Good,Good,0
61810,Dorset,D13,Tasmania,1,Good,Good,0
62010,Flinders (Tas.),D13,Tasmania,1,Good,Good,0
62210,George Town,D13,Tasmania,1,Good,Good,0
62410,Glamorgan-Spring Bay,D13,Tasmania,1,Good,Good,0
62610,Glenorchy,D13,Tasmania,1,Good,Good,0
62810,Hobart,D13,Tasmania,1,Good,Good,0
63010,Huon Valley,D13,Tasmania,1,Good,Good,0
63210,Kentish,D13,Tasmania,1,Good,Good,0
63410,King Island,D13,Tasmania,1,Good,Good,0
63610,Kingborough,D13,Tasmania,1,Good,Good,0
63810,Latrobe (Tas.),D13,Tasmania,1,Good,Good,0
64010,Launceston,D13,Tasmania,1,Good,Good,0
64210,Meander Valley,D13,Tasmania,1,Good,Good,0
64610,Northern Midlands,D13,Tasmania,1,Good,Good,0
64810,Sorell,D13,Tasmania,1,Good,Good,0
65010,Southern Midlands,D13,Tasmania,1,Good,Good,0
65210,Tasman,D13,Tasmania,1,Good,Good,0
65410,Waratah-Wynyard,D13,Tasmania,1,Good,Good,0
65610,West Coast,D13,Tasmania,1,Good,Good,0
65810,West Tamar,D13,Tasmania,1,Good,Good,0
69499,No usual address (Tas.),D94,No usual address (Aust.),1,Good,Good,0
69799,Migratory - Offshore - Shipping (Tas.),D97,Migratory - Offshore - Shipping (Aust.),1,Good,Good,0
70200,Alice Springs,D02,Lake Eyre Basin,1,Acceptable,Good,0
70420,Barkly,D01,Carpentaria Coast,0.0090235,Acceptable,Good,1
70420,Barkly,D02,Lake Eyre Basin,0.2489929,Acceptable,Good,0
70420,Barkly,D12,Tanami-Timor Sea Coast,0.7419835,Good,Good,0
70540,Belyuen,D12,Tanami-Timor Sea Coast,1,Good,Good,0
70620,Central Desert,D02,Lake Eyre Basin,0.18355,Acceptable,Good,0
70620,Central Desert,D12,Tanami-Timor Sea Coast,0.81645,Good,Good,0
70700,Coomalie,D12,Tanami-Timor Sea Coast,1,Good,Good,0
71000,Darwin,D12,Tanami-Timor Sea Coast,1,Good,Good,0
71150,Darwin Waterfront Precinct,D12,Tanami-Timor Sea Coast,1,Good,Good,0
71300,East Arnhem,D01,Carpentaria Coast,0.462639,Acceptable,Good,0
71300,East Arnhem,D12,Tanami-Timor Sea Coast,0.537361,Good,Good,0
72200,Katherine,D12,Tanami-Timor Sea Coast,1,Good,Good,0
72300,Litchfield,D12,Tanami-Timor Sea Coast,1,Good,Good,0
72330,MacDonnell,D02,Lake Eyre Basin,0.6288544,Acceptable,Good,0
72330,MacDonnell,D11,South Western Plateau,0.0515759,Good,Good,0
72330,MacDonnell,D12,Tanami-Timor Sea Coast,0.3195696,Good,Good,0
72800,Palmerston,D12,Tanami-Timor Sea Coast,1,Good,Good,0
73600,Roper Gulf,D01,Carpentaria Coast,0.9548368,Acceptable,Good,0
73600,Roper Gulf,D12,Tanami-Timor Sea Coast,0.0451632,Good,Good,0
74050,Tiwi Islands,D12,Tanami-Timor Sea Coast,1,Good,Good,0
74550,Victoria Daly,D12,Tanami-Timor Sea Coast,1,Good,Good,0
74560,Wagait,D12,Tanami-Timor Sea Coast,1,Good,Good,0
74660,West Arnhem,D12,Tanami-Timor Sea Coast,1,Good,Good,0
74680,West Daly,D12,Tanami-Timor Sea Coast,1,Good,Good,0
79399,Unincorporated NT,D01,Carpentaria Coast,0.5939699,Acceptable,Good,0
79399,Unincorporated NT,D12,Tanami-Timor Sea Coast,0.4060301,Good,Good,0
79499,No usual address (NT),D94,No usual address (Aust.),1,Good,Good,0
79799,Migratory - Offshore - Shipping (NT),D97,Migratory - Offshore - Shipping (Aust.),1,Good,Good,0
89399,Unincorporated ACT,D03,Murray-Darling Basin,1,Good,Good,0
89499,No usual address (ACT),D94,No usual address (Aust.),1,Good,Good,0
89799,Migratory - Offshore - Shipping (ACT),D97,Migratory - Offshore - Shipping (Aust.),1,Good,Good,0
99399,Unincorp. Other Territories,D08,South East Coast (NSW),0.1235493,Good,Good,0
99399,Unincorp. Other Territories,D91,Unclassified (Aust.),0.8764507,Good,Good,0
99499,No usual address (OT),D94,No usual address (Aust.),1,Good,Good,0
99799,Migratory - Offshore - Shipping (OT),D97,Migratory - Offshore - Shipping (Aust.),1,Good,Good,0
ZZZZZ,Outside Australia,DZZ,Outside Australia,1,Good,Good,0
