LOCALITY_PID,LOCALITY_NAME,RA_CODE_2021,RA_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
loc04637a06173b,North Mackay,31,Inner Regional Australia,1,Good,Good,0
loc0471ddcae063,Nepean Bay,43,Remote Australia,1,Good,Good,0
loc04721ab1cbef,Milroy,12,Outer Regional Australia,1,Good,Good,0
loc0475beb19ff3,Clyde North,20,Major Cities of Australia,1,Good,Good,0
loc047bec056954,Three Bridges,21,Inner Regional Australia,1,Good,Good,0
loc047cdc65b9d6,East Wardell,11,Inner Regional Australia,1,Good,Good,0
loc0484022faec3,Williamsdale,11,Inner Regional Australia,1,Good,Good,0
loc0487a117824d,Monia Gap,13,Remote Australia,1,Good,Good,0
loc0488f194a662,Ruse,10,Major Cities of Australia,1,Good,Good,0
loc048cdbdb53a2,Southampton,11,Inner Regional Australia,1,Good,Good,0
loc049209d99b8b,Woolamai,21,Inner Regional Australia,1,Good,Good,0
loc04990756f563,Balgowan,31,Inner Regional Australia,1,Good,Good,0
loc049b23459881,Red Hill South,21,Inner Regional Australia,1,Good,Good,0
loc04a61a483f8f,Yarrawonga,12,Outer Regional Australia,1,Good,Good,0
loc04acaff17298,Darke Peak,43,Remote Australia,1,Good,Good,0
loc04bc2874e0bd,Wyena,62,Outer Regional Australia,1,Good,Good,0
loc04be9fbc532a,Regency Downs,31,Inner Regional Australia,1,Good,Good,0
loc04bee0170cfd,Geebung,30,Major Cities of Australia,1,Good,Good,0
loc04c1aacc1a2d,Huskisson,11,Inner Regional Australia,1,Good,Good,0
loc04c2191e87b0,Sandbar,11,Inner Regional Australia,1,Good,Good,0
loc04c8d71c6569,Edenville,11,Inner Regional Australia,1,Good,Good,0
loc04cb2d56f66b,Boodua,31,Inner Regional Australia,1,Good,Good,0
loc04cd8c11a95c,Pureba,44,Very Remote Australia,1,Good,Good,0
loc04d9a80f2b24,Spring Beach,62,Outer Regional Australia,1,Good,Good,0
loc04da2b1c5df3,Chapman,80,Major Cities of Australia,1,Good,Good,0
loc04db1184e1a7,Charles Darwin,72,Outer Regional Australia,1,Good,Good,0
loc04def1c0ccbb,Telopea Downs,23,Remote Australia,1,Good,Good,0
loc04e2cc72fc23,Mount Barker,52,Outer Regional Australia,1,Good,Good,0
loc04e53eaf32eb,Winton,21,Inner Regional Australia,1,Good,Good,0
loc04e57a578667,Conjola,11,Inner Regional Australia,1,Good,Good,0
loc04e5c5e0afde,Karnup,50,Major Cities of Australia,1,Good,Good,0
loc04e9f4bdba8c,Fairfield West,10,Major Cities of Australia,1,Good,Good,0
loc04e9f77d8de0,Wedgecarrup,52,Outer Regional Australia,1,Good,Good,0
loc04eaa06007e1,North Woodburn,11,Inner Regional Australia,1,Good,Good,0
loc04ec40ea6174,Cundletown,11,Inner Regional Australia,1,Good,Good,0
loc04eca875d636,Metcalfe,21,Inner Regional Australia,1,Good,Good,0
loc04eede2642b7,Frewville,40,Major Cities of Australia,1,Good,Good,0
loc04f488809737,Kaltukatjara,74,Very Remote Australia,1,Good,Good,0
loc04f4a3a04f73,Wards Mistake,12,Outer Regional Australia,1,Good,Good,0
loc04fcb4a03e10,Herston,30,Major Cities of Australia,1,Good,Good,0
loc04fce2e09359,Koonwarra,21,Inner Regional Australia,1,Good,Good,0
loc0513c0d9f1ec,Wangaratta,32,Outer Regional Australia,1,Good,Good,0
loc051b166879ae,The Rock,11,Inner Regional Australia,1,Good,Good,0
loc051ed15b0542,Orange Springs,52,Outer Regional Australia,1,Good,Good,0
loc051fbb3cf32f,Moana,40,Major Cities of Australia,1,Good,Good,0
loc0525de4e0dc7,Tuppal,12,Outer Regional Australia,1,Good,Good,0
loc05266a23421e,Hilbert,50,Major Cities of Australia,1,Good,Good,0
loc0527b1290f17,Moil,72,Outer Regional Australia,1,Good,Good,0
loc052ef85acfbb,Preston,31,Inner Regional Australia,1,Good,Good,0
loc05305b7a9d6e,Koonda,21,Inner Regional Australia,1,Good,Good,0
loc05342ab60e28,Winnellie,72,Outer Regional Australia,1,Good,Good,0
loc05350892a04a,Qualeup,52,Outer Regional Australia,1,Good,Good,0
loc0539d6261276,Tewkesbury,62,Outer Regional Australia,1,Good,Good,0
loc053c7ee157c0,Oxley,13,Remote Australia,1,Good,Good,0
loc053d7aa2cf0e,Jamberoo,11,Inner Regional Australia,1,Good,Good,0
loc054d66da909d,Toorbul,31,Inner Regional Australia,1,Good,Good,0
loc05504642f014,Takone,62,Outer Regional Australia,1,Good,Good,0
loc0553897469f0,Neerabup,50,Major Cities of Australia,1,Good,Good,0
loc0556383a3fd9,Trawalla,21,Inner Regional Australia,1,Good,Good,0
