IARE_CODE_2016,IARE_NAME_2016,IARE_CODE_2021,IARE_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
302010,Wujal Wujal and Outstations,309011,Wujal Wujal and Outstations,1,Good,Good,0
302011,Yarrabah,309012,Yarrabah,1,Good,Good,0
303001,Aurukun,303001,Aurukun,1,Good,Good,0
303002,Cape York,303002,Cape York,1,Good,Good,0
303003,Cooktown,303003,Cooktown,1,Good,Good,0
303004,Hope Vale,303004,Hope Vale,1,Good,Good,0
303005,Kowanyama,303005,Kowanyama,1,Good,Good,0
303006,Lockhart River,303006,Lockhart River,1,Good,Good,0
303007,Mapoon - Napranum - Weipa,303007,Mapoon - Napranum - Weipa,1,Good,Good,0
303008,Northern Peninsula Area,303008,Northern Peninsula Area,1,Good,Good,0
303009,Pormpuraaw,303009,Pormpuraaw,1,Good,Good,0
304001,Boulia - Diamantina - Winton,304001,Boulia - Diamantina - Winton,1,Good,Good,0
304002,Carpentaria - Burke - Mornington,304002,Carpentaria - Burke - Mornington,1,Good,Good,0
304003,Cloncurry - McKinlay,304003,Cloncurry - McKinlay,1,Good,Good,0
304004,Mount Isa,304004,Mount Isa,1,Good,Good,0
305001,Banana,305001,Banana,1,Good,Good,0
305002,Barcaldine - Blackall - Longreach,305002,Barcaldine - Blackall - Longreach,1,Good,Good,0
305003,Bundaberg,305003,Bundaberg,1,Good,Good,0
305004,Central Capricorn,305004,Central Capricorn,1,Good,Good,0
305005,Fraser Coast,305005,Fraser Coast,1,Good,Good,0
305006,Gladstone,305006,Gladstone,1,Good,Good,0
305007,Nebo - Clermont,305007,Nebo - Clermont,1,Good,Good,0
305008,North Burnett,305008,North Burnett,1,Good,Good,0
305009,Rockhampton - Yeppoon,305009,Rockhampton - Yeppoon,1,Good,Good,0
306001,Balonne,306001,Balonne,1,Good,Good,0
306002,Bulloo - Quilpie - Barcoo,306002,Bulloo - Quilpie - Barcoo,1,Good,Good,0
306003,Cherbourg,306003,Cherbourg,1,Good,Good,0
306004,Cooloola - Gympie,306004,Cooloola - Gympie,1,Good,Good,0
306005,Dalby,306005,Dalby,1,Good,Good,0
306006,Goondiwindi - Stanthorpe,306006,Goondiwindi - Stanthorpe,1,Good,Good,0
306007,Jondaryan - Oakey,306007,Jondaryan - Oakey,1,Good,Good,0
306008,Maranoa - Roma - Mitchell,306008,Maranoa - Roma - Mitchell,1,Good,Good,0
306009,Murgon,306009,Murgon,1,Good,Good,0
306010,Murweh,306010,Murweh,1,Good,Good,0
306011,Nanango - Kilkivan,306011,Nanango - Kilkivan,1,Good,Good,0
306012,Paroo,306012,Paroo,1,Good,Good,0
306013,South Burnett,306013,South Burnett,1,Good,Good,0
306014,Southern Downs,306014,Southern Downs,1,Good,Good,0
306015,Toowoomba - Central,306015,Toowoomba - Central,1,Good,Good,0
306016,Toowoomba - North,306016,Toowoomba - North,1,Good,Good,0
306017,Toowoomba - South,306017,Toowoomba - South,1,Good,Good,0
306018,Western Downs,306018,Western Downs,1,Good,Good,0
307001,Kaiwalagal - Inner Islands,307001,Kaiwalagal - Inner Islands,1,Good,Good,0
307002,Kalakawal - Top Western Islands,307002,Kalakawal - Top Western Islands,1,Good,Good,0
307003,Kalalagal - Western Islands,307003,Kalalagal - Western Islands,1,Good,Good,0
307004,Kulkalgal - Central Islands,307004,Kulkalgal - Central Islands,1,Good,Good,0
307005,Meriam - Eastern Islands,307005,Meriam - Eastern Islands,1,Good,Good,0
308001,Bowen (Qld),310001,Bowen (Qld),1,Good,Good,0
308002,Burdekin - Ayr,310002,Burdekin - Ayr,1,Good,Good,0
308003,Charters Towers,310003,Charters Towers,1,Good,Good,0
308004,Flinders - Richmond - Dalrymple,310004,Flinders - Richmond - Dalrymple,1,Good,Good,0
308005,Ingham - Hinchinbrook,310005,Ingham - Hinchinbrook,1,Good,Good,0
308006,Mackay,310006,Mackay,1,Good,Good,0
308007,Mackay - Surrounds,310007,Mackay - Surrounds,1,Good,Good,0
308008,Mirani,310008,Mirani,1,Good,Good,0
308009,Palm Island,310009,Palm Island,1,Good,Good,0
308010,Proserpine - Whitsunday,310010,Proserpine - Whitsunday,1,Good,Good,0
308011,Sarina,310011,Sarina,1,Good,Good,0
308012,Thuringowa,310012,Thuringowa,1,Good,Good,0
308013,Townsville,310013,Townsville,1,Good,Good,0
308014,Townsville - Surrounds,310014,Townsville - Surrounds,1,Good,Good,0
308015,Tully - Cardwell - Jumbun,309010,Tully - Cardwell - Jumbun,1,Good,Good,0
394994,No usual address (Qld),394994,No usual address (Qld),1,Good,Good,0
397997,Migratory - Offshore - Shipping (Qld),397997,Migratory - Offshore - Shipping (Qld),1,Good,Good,0
401001,Adelaide - Prospect - Walkerville,401001,Adelaide - Prospect - Walkerville,1,Good,Good,0
401002,Adelaide Hills - Mount Barker,401002,Adelaide Hills - Mount Barker,1,Good,Good,0
401003,Barossa,401003,Barossa,1,Good,Good,0
401004,Berri - Barmera,401004,Berri - Barmera,1,Good,Good,0
401005,Campbelltown - Norwood,401005,Campbelltown - Norwood,1,Good,Good,0
401006,Charles Sturt,401006,Charles Sturt,1,Good,Good,0
401007,Fleurieu - Kangaroo Island,401007,Fleurieu - Kangaroo Island,1,Good,Good,0
401008,Gawler,401008,Gawler,1,Good,Good,0
401009,Holdfast Bay - West Torrens,401009,Holdfast Bay - West Torrens,1,Good,Good,0
401010,Loxton - Waikerie - Mid Murray,401010,Loxton - Waikerie - Mid Murray,1,Good,Good,0
401011,Marion,401011,Marion,1,Good,Good,0
401012,Murray Bridge,401012,Murray Bridge,1,Good,Good,0
401013,Murray Mallee,401013,Murray Mallee,1,Good,Good,0
401014,Onkaparinga,401014,Onkaparinga,1,Good,Good,0
401015,Playford,401015,Playford,1,Good,Good,0
401016,Port Adelaide - Enfield,401016,Port Adelaide - Enfield,1,Good,Good,0
401017,Renmark Paringa,401017,Renmark Paringa,1,Good,Good,0
401018,Salisbury,401018,Salisbury,1,Good,Good,0
401019,South-East,401019,South-East,1,Good,Good,0
401020,Tea Tree Gully,401020,Tea Tree Gully,1,Good,Good,0
401021,Unley - Burnside - Mitcham,401021,Unley - Burnside - Mitcham,1,Good,Good,0
401022,Wakefield - Clare and Gilbert Valleys,401022,Wakefield - Clare and Gilbert Valleys,1,Good,Good,0
401023,Yorke Peninsula,401023,Yorke Peninsula,1,Good,Good,0
402001,Anangu Pitjantjatjara,402001,Anangu Pitjantjatjara,1,Good,Good,0
402002,Coober Pedy - Umoona,402002,Coober Pedy - Umoona,1,Good,Good,0
402003,Eyre,402003,Eyre,1,Good,Good,0
402004,Flinders,402004,Flinders,1,Good,Good,0
402005,Port Augusta,402005,Port Augusta,1,Good,Good,0
402006,Whyalla,402006,Whyalla,1,Good,Good,0
403001,Ceduna,403001,Ceduna,1,Good,Good,0
403002,Ceduna - West Coast,403002,Ceduna - West Coast,1,Good,Good,0
403003,Port Lincoln,403003,Port Lincoln,1,Good,Good,0
494994,No usual address (SA),494994,No usual address (SA),1,Good,Good,0
497997,Migratory - Offshore - Shipping (SA),497997,Migratory - Offshore - Shipping (SA),1,Good,Good,0
501001,Broome,501001,Broome,1,Good,Good,0
501002,Broome - Surrounds,501002,Broome - Surrounds,1,Good,Good,0
502001,Carnarvon - Mungullah,502001,Carnarvon - Mungullah,1,Good,Good,0
