DZN_CODE_2016,DZN_NAME_2016,LGA_CODE_2021,LGA_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
111117077,111117077,11720,Cessnock,1,Good,Good,0
111117078,111117078,11720,Cessnock,1,Good,Good,0
111117080,111117080,11720,Cessnock,1,Good,Good,0
111117081,111117081,11720,Cessnock,1,Good,Good,0
111117082,111117082,11720,Cessnock,1,Good,Good,0
111128024,111128024,17000,Singleton,1,Good,Good,0
111128025,111128025,17000,Singleton,1,Good,Good,0
111138020,111138020,17000,Singleton,1,Good,Good,0
111138021,111138021,17000,Singleton,1,Good,Good,0
111147129,111147129,15050,Maitland,1,Good,Good,0
111147130,111147130,15050,Maitland,1,Good,Good,0
111147131,111147131,15050,Maitland,1,Good,Good,0
111157144,111157144,15050,Maitland,1,Good,Good,0
111157145,111157145,15050,Maitland,1,Good,Good,0
111157146,111157146,15050,Maitland,1,Good,Good,0
111157147,111157147,15050,Maitland,1,Good,Good,0
111157148,111157148,15050,Maitland,1,Good,Good,0
111157149,111157149,15050,Maitland,1,Good,Good,0
111157150,111157150,15050,Maitland,1,Good,Good,0
111157151,111157151,15050,Maitland,1,Good,Good,0
111157152,111157152,15050,Maitland,1,Good,Good,0
111157153,111157153,15050,Maitland,1,Good,Good,0
