LGA_CODE_2021,LGA_NAME_2021,PHN_CODE_2017,PHN_NAME_2017,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
50420,Bayswater,PHN501,Perth North,1,Good,Good,0
50490,Belmont,PHN501,Perth North,2.00E-07,Good,Good,1
50490,Belmont,PHN502,Perth South,0.9999998,Good,Good,0
50560,Beverley,PHN503,Country WA,1,Good,Good,0
50630,Boddington,PHN503,Country WA,1,Good,Good,0
50770,Boyup Brook,PHN503,Country WA,1,Good,Good,0
50840,Bridgetown-Greenbushes,PHN503,Country WA,1,Good,Good,0
50910,Brookton,PHN503,Country WA,1,Good,Good,0
50980,Broome,PHN503,Country WA,1,Good,Good,0
51080,Broomehill-Tambellup,PHN503,Country WA,1,Good,Good,0
51120,Bruce Rock,PHN503,Country WA,1,Good,Good,0
51190,Bunbury,PHN503,Country WA,1,Good,Good,0
51260,Busselton,PHN503,Country WA,1,Good,Good,0
51310,Cambridge,PHN501,Perth North,1,Good,Good,0
51330,Canning,PHN502,Perth South,1,Good,Good,0
51400,Capel,PHN503,Country WA,1,Good,Good,0
51470,Carnamah,PHN503,Country WA,1,Good,Good,0
51540,Carnarvon,,,0.0003741,Acceptable,Good,4
51540,Carnarvon,PHN503,Country WA,0.9996259,Good,Good,0
51610,Chapman Valley,PHN503,Country WA,1,Good,Good,0
51680,Chittering,PHN503,Country WA,1,Good,Good,0
51710,Christmas Island,PHN502,Perth South,1,Good,Good,0
51750,Claremont,PHN501,Perth North,1,Good,Good,0
51820,Cockburn,PHN502,Perth South,1,Good,Good,0
51860,Cocos Islands,PHN502,Perth South,1,Good,Good,0
51890,Collie,PHN503,Country WA,1,Good,Good,0
51960,Coolgardie,PHN503,Country WA,1,Good,Good,0
52030,Coorow,PHN503,Country WA,1,Good,Good,0
52100,Corrigin,PHN503,Country WA,1,Good,Good,0
52170,Cottesloe,PHN501,Perth North,1,Good,Good,0
52240,Cranbrook,PHN503,Country WA,1,Good,Good,0
52310,Cuballing,PHN503,Country WA,1,Good,Good,0
52380,Cue,PHN503,Country WA,1,Good,Good,0
52450,Cunderdin,PHN503,Country WA,1,Good,Good,0
52520,Dalwallinu,PHN503,Country WA,1,Good,Good,0
52590,Dandaragan,PHN503,Country WA,1,Good,Good,0
52660,Dardanup,PHN503,Country WA,1,Good,Good,0
52730,Denmark,PHN503,Country WA,1,Good,Good,0
52800,Derby-West Kimberley,PHN503,Country WA,1,Good,Good,0
52870,Donnybrook-Balingup,PHN503,Country WA,1,Good,Good,0
52940,Dowerin,PHN503,Country WA,1,Good,Good,0
53010,Dumbleyung,PHN503,Country WA,1,Good,Good,0
53080,Dundas,PHN503,Country WA,1,Good,Good,0
53150,East Fremantle,PHN502,Perth South,1,Good,Good,0
53220,East Pilbara,PHN503,Country WA,1,Good,Good,0
53290,Esperance,PHN503,Country WA,1,Good,Good,0
53360,Exmouth,PHN503,Country WA,1,Good,Good,0
53430,Fremantle,PHN502,Perth South,1,Good,Good,0
53570,Gingin,PHN503,Country WA,1,Good,Good,0
53640,Gnowangerup,PHN503,Country WA,1,Good,Good,0
53710,Goomalling,PHN503,Country WA,1,Good,Good,0
53780,Gosnells,PHN502,Perth South,1,Good,Good,0
53800,Greater Geraldton,PHN503,Country WA,1,Good,Good,0
53920,Halls Creek,PHN503,Country WA,1,Good,Good,0
53990,Harvey,PHN503,Country WA,1,Good,Good,0
54060,Irwin,PHN503,Country WA,1,Good,Good,0
54130,Jerramungup,PHN503,Country WA,1,Good,Good,0
54170,Joondalup,PHN501,Perth North,1,Good,Good,0
54200,Kalamunda,PHN501,Perth North,1,Good,Good,0
54280,Kalgoorlie-Boulder,PHN503,Country WA,1,Good,Good,0
54310,Karratha,PHN503,Country WA,1,Good,Good,0
54340,Katanning,PHN503,Country WA,1,Good,Good,0
54410,Kellerberrin,PHN503,Country WA,1,Good,Good,0
54480,Kent,PHN503,Country WA,1,Good,Good,0
54550,Kojonup,PHN503,Country WA,1,Good,Good,0
54620,Kondinin,PHN503,Country WA,1,Good,Good,0
54690,Koorda,PHN503,Country WA,1,Good,Good,0
54760,Kulin,PHN503,Country WA,1,Good,Good,0
54830,Kwinana,PHN502,Perth South,1,Good,Good,0
54900,Lake Grace,PHN503,Country WA,1,Good,Good,0
54970,Laverton,PHN503,Country WA,1,Good,Good,0
55040,Leonora,PHN503,Country WA,1,Good,Good,0
55110,Mandurah,PHN502,Perth South,1,Good,Good,0
55180,Manjimup,PHN503,Country WA,1,Good,Good,0
55250,Meekatharra,PHN503,Country WA,1,Good,Good,0
55320,Melville,PHN502,Perth South,1,Good,Good,0
55390,Menzies,PHN503,Country WA,1,Good,Good,0
55460,Merredin,PHN503,Country WA,1,Good,Good,0
55530,Mingenew,PHN503,Country WA,1,Good,Good,0
55600,Moora,PHN503,Country WA,1,Good,Good,0
55670,Morawa,PHN503,Country WA,1,Good,Good,0
55740,Mosman Park,PHN501,Perth North,1,Good,Good,0
55810,Mount Magnet,PHN503,Country WA,1,Good,Good,0
55880,Mount Marshall,PHN503,Country WA,1,Good,Good,0
55950,Mukinbudin,PHN503,Country WA,1,Good,Good,0
56090,Mundaring,PHN501,Perth North,1,Good,Good,0
56160,Murchison,PHN503,Country WA,1,Good,Good,0
56230,Murray,PHN502,Perth South,1,Good,Good,0
56300,Nannup,PHN503,Country WA,1,Good,Good,0
56370,Narembeen,PHN503,Country WA,1,Good,Good,0
56460,Narrogin,PHN503,Country WA,1,Good,Good,0
56580,Nedlands,PHN501,Perth North,1,Good,Good,0
56620,Ngaanyatjarraku,PHN503,Country WA,1,Good,Good,0
56730,Northam,PHN503,Country WA,1,Good,Good,0
56790,Northampton,PHN503,Country WA,1,Good,Good,0
56860,Nungarin,PHN503,Country WA,1,Good,Good,0
56930,Peppermint Grove,PHN501,Perth North,1,Good,Good,0
57000,Perenjori,PHN503,Country WA,1,Good,Good,0
57080,Perth,,,2.04E-05,Acceptable,Good,4
57080,Perth,PHN501,Perth North,0.9999796,Good,Good,0
57140,Pingelly,PHN503,Country WA,1,Good,Good,0
57210,Plantagenet,PHN503,Country WA,1,Good,Good,0
57280,Port Hedland,PHN503,Country WA,1,Good,Good,0
57350,Quairading,PHN503,Country WA,1,Good,Good,0
57420,Ravensthorpe,PHN503,Country WA,1,Good,Good,0
57490,Rockingham,PHN502,Perth South,1,Good,Good,0
57630,Sandstone,PHN503,Country WA,1,Good,Good,0
57700,Serpentine-Jarrahdale,PHN502,Perth South,1,Good,Good,0
57770,Shark Bay,PHN503,Country WA,1,Good,Good,0
57840,South Perth,PHN502,Perth South,1,Good,Good,0
57910,Stirling,PHN501,Perth North,1,Good,Good,0
57980,Subiaco,PHN501,Perth North,1,Good,Good,0
58050,Swan,PHN501,Perth North,1,Good,Good,0
58190,Tammin,PHN503,Country WA,1,Good,Good,0
58260,Three Springs,PHN503,Country WA,1,Good,Good,0
58330,Toodyay,PHN503,Country WA,1,Good,Good,0
58400,Trayning,PHN503,Country WA,1,Good,Good,0
58470,Upper Gascoyne,PHN503,Country WA,1,Good,Good,0
58510,Victoria Park,PHN502,Perth South,1,Good,Good,0
58540,Victoria Plains,PHN503,Country WA,1,Good,Good,0
58570,Vincent,PHN501,Perth North,1,Good,Good,0
58610,Wagin,PHN503,Country WA,1,Good,Good,0
58680,Wandering,PHN503,Country WA,1,Good,Good,0
58760,Wanneroo,PHN501,Perth North,1,Good,Good,0
58820,Waroona,PHN502,Perth South,1,Good,Good,0
58890,West Arthur,PHN503,Country WA,1,Good,Good,0
59030,Westonia,PHN503,Country WA,1,Good,Good,0
59100,Wickepin,PHN503,Country WA,1,Good,Good,0
59170,Williams,PHN503,Country WA,1,Good,Good,0
59250,Wiluna,PHN503,Country WA,1,Good,Good,0
59310,Wongan-Ballidu,PHN503,Country WA,1,Good,Good,0
59320,Woodanilling,PHN503,Country WA,1,Good,Good,0
59330,Wyalkatchem,PHN503,Country WA,1,Good,Good,0
59340,Wyndham-East Kimberley,PHN503,Country WA,1,Good,Good,0
59350,Yalgoo,PHN503,Country WA,1,Good,Good,0
59360,Yilgarn,PHN503,Country WA,1,Good,Good,0
59370,York,PHN503,Country WA,1,Good,Good,0
59499,No usual address (WA),,,,NA,Good,2
59799,Migratory - Offshore - Shipping (WA),,,,NA,Good,2
60210,Break O'Day,PHN601,Tasmania,1,Good,Good,0
60410,Brighton,PHN601,Tasmania,1,Good,Good,0
60610,Burnie,PHN601,Tasmania,1,Good,Good,0
60810,Central Coast (Tas.),PHN601,Tasmania,1,Good,Good,0
61010,Central Highlands (Tas.),PHN601,Tasmania,1,Good,Good,0
61210,Circular Head,PHN601,Tasmania,1,Good,Good,0
61410,Clarence,PHN601,Tasmania,1,Good,Good,0
61510,Derwent Valley,PHN601,Tasmania,1,Good,Good,0
61610,Devonport,PHN601,Tasmania,1,Good,Good,0
61810,Dorset,PHN601,Tasmania,1,Good,Good,0
62010,Flinders (Tas.),PHN601,Tasmania,1,Good,Good,0
62210,George Town,PHN601,Tasmania,1,Good,Good,0
62410,Glamorgan-Spring Bay,PHN601,Tasmania,1,Good,Good,0
62610,Glenorchy,PHN601,Tasmania,1,Good,Good,0
62810,Hobart,PHN601,Tasmania,1,Good,Good,0
63010,Huon Valley,PHN601,Tasmania,1,Good,Good,0
63210,Kentish,PHN601,Tasmania,1,Good,Good,0
63410,King Island,PHN601,Tasmania,1,Good,Good,0
63610,Kingborough,PHN601,Tasmania,1,Good,Good,0
63810,Latrobe (Tas.),PHN601,Tasmania,1,Good,Good,0
64010,Launceston,PHN601,Tasmania,1,Good,Good,0
64210,Meander Valley,PHN601,Tasmania,1,Good,Good,0
64610,Northern Midlands,PHN601,Tasmania,1,Good,Good,0
64810,Sorell,PHN601,Tasmania,1,Good,Good,0
65010,Southern Midlands,PHN601,Tasmania,1,Good,Good,0
65210,Tasman,PHN601,Tasmania,1,Good,Good,0
65410,Waratah-Wynyard,PHN601,Tasmania,1,Good,Good,0
65610,West Coast,PHN601,Tasmania,1,Good,Good,0
65810,West Tamar,PHN601,Tasmania,1,Good,Good,0
69499,No usual address (Tas.),,,,NA,Good,2
69799,Migratory - Offshore - Shipping (Tas.),,,,NA,Good,2
70200,Alice Springs,PHN701,Northern Territory,1,Good,Good,0
70420,Barkly,PHN701,Northern Territory,1,Good,Good,0
70540,Belyuen,PHN701,Northern Territory,1,Good,Good,0
70620,Central Desert,PHN701,Northern Territory,1,Good,Good,0
70700,Coomalie,PHN701,Northern Territory,1,Good,Good,0
71000,Darwin,PHN701,Northern Territory,1,Good,Good,0
71150,Darwin Waterfront Precinct,PHN701,Northern Territory,1,Good,Good,0
71300,East Arnhem,PHN701,Northern Territory,1,Good,Good,0
72200,Katherine,PHN701,Northern Territory,1,Good,Good,0
72300,Litchfield,PHN701,Northern Territory,1,Good,Good,0
72330,MacDonnell,PHN701,Northern Territory,1,Good,Good,0
72800,Palmerston,PHN701,Northern Territory,1,Good,Good,0
73600,Roper Gulf,,,0.0019727,Acceptable,Good,4
73600,Roper Gulf,PHN701,Northern Territory,0.9980273,Good,Good,0
74050,Tiwi Islands,PHN701,Northern Territory,1,Good,Good,0
74550,Victoria Daly,PHN701,Northern Territory,1,Good,Good,0
74560,Wagait,PHN701,Northern Territory,1,Good,Good,0
74660,West Arnhem,PHN701,Northern Territory,1,Good,Good,0
74680,West Daly,PHN701,Northern Territory,1,Good,Good,0
79399,Unincorporated NT,PHN701,Northern Territory,1,Good,Good,0
79499,No usual address (NT),,,,NA,Good,2
79799,Migratory - Offshore - Shipping (NT),,,,NA,Good,2
89399,Unincorporated ACT,PHN801,Australian Capital Territory,1,Good,Good,0
89499,No usual address (ACT),,,,NA,Good,2
89799,Migratory - Offshore - Shipping (ACT),,,,NA,Good,2
99399,Unincorp. Other Territories,PHN106,South Eastern NSW,0.1235493,Good,Good,0
99399,Unincorp. Other Territories,PHN101,Central and Eastern Sydney,0.8764507,Good,Good,0
99499,No usual address (OT),,,,NA,Good,2
99799,Migratory - Offshore - Shipping (OT),,,,NA,Good,2
ZZZZZ,Outside Australia,,,,NA,Good,2
