LOCALITY_PID_2021,LOCALITY_NAME_2021,CED_CODE_2021,CED_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
NSW1061,COOPERS GULLY,113,Eden-Monaro,1,Good,Good,0
NSW1062,COOPERS SHOOT,138,Richmond,1,Good,Good,0
NSW1063,COOPLACURRIPA,124,Lyne,1,Good,Good,0
NSW1064,COORABELL,138,Richmond,1,Good,Good,0
NSW1065,COORANBONG,121,Hunter,1,Good,Good,0
NSW1066,COOTAMUNDRA,139,Riverina,1,Good,Good,0
NSW1067,COOTRALANTRA,113,Eden-Monaro,1,Good,Good,0
NSW1068,COOYAL,107,Calare,1,Good,Good,0
NSW1069,COPACABANA,140,Robertson,1,Good,Good,0
NSW107,AUBURN VALE,130,New England,1,Good,Good,0
NSW1070,COPE,107,Calare,1,Good,Good,0
NSW1071,COPELAND,124,Lyne,1,Good,Good,0
NSW1072,COPETON,130,New England,1,Good,Good,0
NSW1073,COPMANHURST,133,Page,1,Good,Good,0
NSW1074,COPPABELLA,114,Farrer,1,Good,Good,0
NSW1075,COPPERHANNIA,107,Calare,1,Good,Good,0
NSW1076,CORAKI,133,Page,1,Good,Good,0
NSW1077,CORALVILLE,124,Lyne,1,Good,Good,0
NSW1078,CORAMBA,133,Page,1,Good,Good,0
NSW1079,CORANG,113,Eden-Monaro,1,Good,Good,0
NSW108,AUSTINMER,111,Cunningham,1,Good,Good,0
NSW1080,CORANGULA,110,Cowper,1,Good,Good,0
NSW1081,CORBIE HILL,114,Farrer,1,Good,Good,0
NSW1082,CORDEAUX,111,Cunningham,1,Good,Good,0
NSW1083,CORDEAUX HEIGHTS,111,Cunningham,1,Good,Good,0
NSW1084,COREE,114,Farrer,1,Good,Good,0
NSW1085,COREEN,114,Farrer,1,Good,Good,0
NSW1086,CORINDI BEACH,133,Page,1,Good,Good,0
NSW1087,CORINELLA,134,Parkes,0.154984,Good,Good,0
NSW1087,CORINELLA,139,Riverina,0.845016,Good,Good,0
NSW1088,CORLETTE,136,Paterson,1,Good,Good,0
NSW1089,CORNDALE,133,Page,1,Good,Good,0
NSW109,AUSTRAL,146,Werriwa,1,Good,Good,0
NSW1090,CORNEY TOWN,107,Calare,1,Good,Good,0
NSW1091,CORNWALLIS,127,Macquarie,1,Good,Good,0
NSW1092,COROBIMILLA,114,Farrer,1,Good,Good,0
NSW1093,COROWA,114,Farrer,1,Good,Good,0
NSW1094,CORRABARE,121,Hunter,1,Good,Good,0
NSW1095,CORRIMAL,111,Cunningham,1,Good,Good,0
NSW1096,CORRONG,114,Farrer,1,Good,Good,0
NSW1097,CORROWONG,113,Eden-Monaro,1,Good,Good,0
NSW1098,CORUNNA,113,Eden-Monaro,1,Good,Good,0
NSW1099,COTTAGE POINT,126,Mackellar,1,Good,Good,0
NSW11,ABERMAIN,136,Paterson,1,Good,Good,0
NSW110,AUSTRAL EDEN,110,Cowper,1,Good,Good,0
NSW1100,COUGAL,133,Page,1,Good,Good,0
NSW1101,COUNTEGANY,113,Eden-Monaro,1,Good,Good,0
NSW1102,COURABYRA,113,Eden-Monaro,1,Good,Good,0
NSW1103,COURADDA,134,Parkes,1,Good,Good,0
NSW1104,COURAGAGO,113,Eden-Monaro,1,Good,Good,0
NSW1105,COURIDJAH,120,Hume,1,Good,Good,0
NSW1106,COUTTS CROSSING,133,Page,1,Good,Good,0
NSW1107,COW FLAT,107,Calare,1,Good,Good,0
NSW1108,COWABBIE,139,Riverina,1,Good,Good,0
NSW1109,COWAN,104,Berowra,1,Acceptable,Good,0
