ILOC_CODE_2021,ILOC_NAME_2021,RA_CODE_2016,RA_NAME_2016,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
10200302,Gunnedah - Surrounds,12,Outer Regional Australia,1,Acceptable,Good,0
10200401,Guyra,12,Outer Regional Australia,1,Acceptable,Good,0
10200402,Tingha,12,Outer Regional Australia,1,Acceptable,Good,0
10200501,Gwydir,12,Outer Regional Australia,1,Acceptable,Good,0
10200502,Inverell,12,Outer Regional Australia,1,Acceptable,Good,0
10200601,Liverpool Plains,12,Outer Regional Australia,1,Acceptable,Good,0
10200602,Quirindi,12,Outer Regional Australia,1,Acceptable,Good,0
10200603,Walhallow Reserve (Carooma),12,Outer Regional Australia,1,Acceptable,Good,0
10200604,Werris Creek,11,Inner Regional Australia,1,Acceptable,Good,0
10200701,Moree - North,12,Outer Regional Australia,1,Acceptable,Good,0
10200702,Moree - South,12,Outer Regional Australia,1,Acceptable,Good,0
10200703,Moree - West,12,Outer Regional Australia,1,Acceptable,Good,0
10200704,Stanley Village,12,Outer Regional Australia,1,Acceptable,Good,0
10200801,Boggabilla,12,Outer Regional Australia,1,Acceptable,Good,0
10200802,Moree Plains,12,Outer Regional Australia,0.7609643,Acceptable,Good,0
10200802,Moree Plains,13,Remote Australia,0.2390357,Acceptable,Good,0
10200803,Mungindi,13,Remote Australia,1,Acceptable,Good,0
10200804,Toomelah,12,Outer Regional Australia,1,Acceptable,Good,0
10200901,Muswellbrook,11,Inner Regional Australia,1,Acceptable,Good,0
10200902,Muswellbrook - Surrounds,11,Inner Regional Australia,0.8756893,Acceptable,Good,0
10200902,Muswellbrook - Surrounds,12,Outer Regional Australia,0.1243107,Acceptable,Good,0
10201001,Narrabri,12,Outer Regional Australia,1,Acceptable,Good,0
10201002,Narrabri - Surrounds,12,Outer Regional Australia,0.8988624,Acceptable,Good,0
10201002,Narrabri - Surrounds,13,Remote Australia,0.1011376,Acceptable,Good,0
10201003,Wee Waa,12,Outer Regional Australia,1,Acceptable,Good,0
10201101,Tamworth,11,Inner Regional Australia,1,Acceptable,Good,0
10201102,Tamworth - Surrounds,11,Inner Regional Australia,0.4789595,Acceptable,Good,0
10201102,Tamworth - Surrounds,12,Outer Regional Australia,0.5210405,Acceptable,Good,0
10201201,Jubullum Village,12,Outer Regional Australia,1,Acceptable,Good,0
10201202,Tenterfield,12,Outer Regional Australia,1,Acceptable,Good,0
10201301,Upper Hunter,11,Inner Regional Australia,0.5950308,Acceptable,Good,0
10201301,Upper Hunter,12,Outer Regional Australia,0.4049692,Acceptable,Good,0
10201401,Uralla,11,Inner Regional Australia,0.4373202,Acceptable,Good,0
10201401,Uralla,12,Outer Regional Australia,0.5626798,Acceptable,Good,0
10201402,Walcha,12,Outer Regional Australia,1,Acceptable,Good,0
10300101,Bourke,13,Remote Australia,1,Acceptable,Good,0
10300102,Bourke - Surrounds,14,Very Remote Australia,1,Acceptable,Good,0
10300204,Barwon Four,14,Very Remote Australia,1,Acceptable,Good,0
10300205,Brewarrina,14,Very Remote Australia,1,Acceptable,Good,0
10300206,Brewarrina - Surrounds,14,Very Remote Australia,1,Acceptable,Good,0
10300207,Goodooga,14,Very Remote Australia,1,Acceptable,Good,0
10300301,Cobar,13,Remote Australia,0.8950595,Acceptable,Good,0
10300301,Cobar,14,Very Remote Australia,0.1049405,Acceptable,Good,0
10300302,Murrin Bridge,13,Remote Australia,1,Acceptable,Good,0
10300401,Coonamble,13,Remote Australia,1,Acceptable,Good,0
10300402,Coonamble - Surrounds,13,Remote Australia,1,Acceptable,Good,0
10300403,Gulargambone,12,Outer Regional Australia,1,Acceptable,Good,0
10300501,Broken Hill,12,Outer Regional Australia,1,Acceptable,Good,0
