LOCALITY_PID,LOCALITY_NAME,IREG_CODE_2021,IREG_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
NSW1107,COW FLAT,105,Riverina - Orange,1,Good,Good,0
NSW1108,COWABBIE,105,Riverina - Orange,1,Good,Good,0
NSW1109,COWAN,107,Sydney - Wollongong,1,Good,Good,0
NSW1110,COWPER,104,NSW Central and North Coast,1,Good,Good,0
NSW1111,COWRA,105,Riverina - Orange,1,Good,Good,0
NSW1112,COXS CREEK,105,Riverina - Orange,1,Good,Good,0
NSW1113,COXS CROWN,105,Riverina - Orange,1,Good,Good,0
NSW1114,CRABBES CREEK,104,NSW Central and North Coast,1,Good,Good,0
NSW1115,CRACKENBACK,106,South-Eastern NSW,1,Good,Good,0
NSW1116,CRAIGIE,106,South-Eastern NSW,1,Good,Good,0
NSW1117,CRANEBROOK,107,Sydney - Wollongong,1,Good,Good,0
NSW1118,CRANGAN BAY,104,NSW Central and North Coast,1,Good,Good,0
NSW1119,CRAVEN,104,NSW Central and North Coast,1,Good,Good,0
NSW112,AVISFORD,105,Riverina - Orange,1,Good,Good,0
NSW1120,CRAVEN PLATEAU,104,NSW Central and North Coast,1,Good,Good,0
NSW1121,CRAWFORD RIVER,104,NSW Central and North Coast,1,Good,Good,0
NSW1122,CRAWNEY,102,North-Eastern NSW,1,Good,Good,0
NSW1123,CREEWAH,106,South-Eastern NSW,1,Good,Good,0
NSW1124,CREMORNE,107,Sydney - Wollongong,1,Good,Good,0
NSW1125,CREMORNE POINT,107,Sydney - Wollongong,1,Good,Good,0
NSW1126,CRESCENT HEAD,104,NSW Central and North Coast,1,Good,Good,0
NSW1127,CRESTWOOD,106,South-Eastern NSW,1,Good,Good,0
NSW1128,CRINGILA,107,Sydney - Wollongong,1,Good,Good,0
NSW1129,CROKI,104,NSW Central and North Coast,1,Good,Good,0
NSW113,AVOCA,106,South-Eastern NSW,1,Good,Good,0
NSW1130,CROMER,107,Sydney - Wollongong,1,Good,Good,0
NSW1131,CRONULLA,107,Sydney - Wollongong,1,Good,Good,0
NSW1132,CROOBLE,102,North-Eastern NSW,1,Good,Good,0
NSW1133,CROOBYAR,106,South-Eastern NSW,1,Good,Good,0
NSW1134,CROOKED CORNER,106,South-Eastern NSW,1,Good,Good,0
NSW1135,CROOKWELL,106,South-Eastern NSW,1,Good,Good,0
NSW1136,CROOM,107,Sydney - Wollongong,1,Good,Good,0
NSW1137,CROPPA CREEK,102,North-Eastern NSW,1,Good,Good,0
NSW1138,CROSS ROADS,105,Riverina - Orange,1,Good,Good,0
NSW1139,CROSSLANDS,104,NSW Central and North Coast,1,Good,Good,0
NSW114,AVOCA BEACH,104,NSW Central and North Coast,1,Good,Good,0
NSW1140,CROUDACE BAY,104,NSW Central and North Coast,1,Good,Good,0
NSW1142,CROWDY HEAD,104,NSW Central and North Coast,1,Good,Good,0
NSW1143,CROWS NEST,107,Sydney - Wollongong,1,Good,Good,0
NSW1144,CROWTHER,105,Riverina - Orange,1,Good,Good,0
NSW1145,CROWTHER ISLAND,104,NSW Central and North Coast,1,Good,Good,0
NSW1146,CROYDON,107,Sydney - Wollongong,1,Good,Good,0
NSW1147,CROYDON PARK,107,Sydney - Wollongong,1,Good,Good,0
NSW1148,CRUDINE,105,Riverina - Orange,1,Good,Good,0
NSW1149,CRYON,103,North-Western NSW,1,Good,Good,0
NSW115,AVON,106,South-Eastern NSW,1,Good,Good,0
NSW1150,CRYSTAL CREEK,104,NSW Central and North Coast,1,Good,Good,0
NSW1151,CUBBA,103,North-Western NSW,1,Good,Good,0
NSW1152,CUDAL,105,Riverina - Orange,1,Good,Good,0
NSW1153,CUDGEGONG,105,Riverina - Orange,1,Good,Good,0
NSW1154,CUDGEL,105,Riverina - Orange,1,Good,Good,0
NSW1155,CUDGEN,104,NSW Central and North Coast,1,Good,Good,0
NSW1156,CUDGERA CREEK,104,NSW Central and North Coast,1,Good,Good,0
NSW1157,CUDMIRRAH,106,South-Eastern NSW,1,Good,Good,0
NSW1158,CULBURRA BEACH,106,South-Eastern NSW,1,Good,Good,0
NSW1159,CULCAIRN,105,Riverina - Orange,1,Good,Good,0
NSW116,AVONDALE,107,Sydney - Wollongong,1,Good,Good,0
NSW1160,CULLEN BULLEN,105,Riverina - Orange,1,Good,Good,0
NSW1161,CULLENBONE,105,Riverina - Orange,1,Good,Good,0
NSW1162,CULLENDORE,102,North-Eastern NSW,1,Good,Good,0
NSW1163,CULLERIN,106,South-Eastern NSW,1,Good,Good,0
NSW1164,CULLIVEL,105,Riverina - Orange,1,Good,Good,0
NSW1165,CULMARAN CREEK,104,NSW Central and North Coast,1,Good,Good,0
NSW1166,CUMBALUM,104,NSW Central and North Coast,1,Good,Good,0
NSW1167,CUMBANDRY,105,Riverina - Orange,1,Good,Good,0
NSW1168,CUMBERLAND REACH,107,Sydney - Wollongong,1,Good,Good,0
NSW117,AVONSIDE,106,South-Eastern NSW,1,Good,Good,0
NSW1170,CUMBO,105,Riverina - Orange,1,Good,Good,0
NSW1171,CUMBORAH,103,North-Western NSW,1,Good,Good,0
NSW1172,CUMNOCK,105,Riverina - Orange,1,Good,Good,0
NSW1173,CUNDLE FLAT,104,NSW Central and North Coast,1,Good,Good,0
NSW1174,CUNDLETOWN,104,NSW Central and North Coast,1,Good,Good,0
NSW1175,CUNDUMBUL,101,Dubbo,1,Good,Good,0
NSW1176,CUNJURONG POINT,106,South-Eastern NSW,1,Good,Good,0
NSW1177,CUNNINYEUK,105,Riverina - Orange,1,Good,Good,0
NSW1178,CURBAN,101,Dubbo,1,Good,Good,0
NSW1179,CURL CURL,107,Sydney - Wollongong,1,Good,Good,0
NSW118,AWABA,104,NSW Central and North Coast,1,Good,Good,0
NSW1180,CURLEW WATERS,105,Riverina - Orange,1,Good,Good,0
NSW1181,CURLEWIS,102,North-Eastern NSW,1,Good,Good,0
NSW1182,CURLWAA,105,Riverina - Orange,1,Good,Good,0
NSW1183,CURRA CREEK,101,Dubbo,1,Good,Good,0
NSW1184,CURRABUBULA,102,North-Eastern NSW,1,Good,Good,0
NSW1185,CURRAGH,105,Riverina - Orange,1,Good,Good,0
NSW1186,CURRAMORE,107,Sydney - Wollongong,1,Good,Good,0
NSW1187,CURRANS HILL,107,Sydney - Wollongong,1,Good,Good,0
NSW1188,CURRARONG,106,South-Eastern NSW,1,Good,Good,0
NSW1189,CURRAWANG,106,South-Eastern NSW,1,Good,Good,0
NSW119,AYLMERTON,106,South-Eastern NSW,1,Good,Good,0
NSW1190,CURRAWARNA,105,Riverina - Orange,1,Good,Good,0
NSW1191,CURRICABARK,104,NSW Central and North Coast,1,Good,Good,0
NSW1192,CURROWAN,106,South-Eastern NSW,1,Good,Good,0
NSW1193,CUTTABRI,102,North-Eastern NSW,1,Good,Good,0
NSW1194,CUTTAGEE,106,South-Eastern NSW,1,Good,Good,0
NSW1195,DABEE,105,Riverina - Orange,1,Good,Good,0
NSW1196,DACEYVILLE,107,Sydney - Wollongong,1,Good,Good,0
NSW1197,DAIRY FLAT,104,NSW Central and North Coast,1,Good,Good,0
NSW1198,DAIRYMANS PLAINS,106,South-Eastern NSW,1,Good,Good,0
NSW1199,DALEYS POINT,104,NSW Central and North Coast,1,Good,Good,0
NSW12,ABERNETHY,104,NSW Central and North Coast,1,Good,Good,0
NSW120,BAAN BAA,102,North-Eastern NSW,1,Good,Good,0
NSW1200,DALGETY,106,South-Eastern NSW,1,Good,Good,0
NSW1201,DALMENY,106,South-Eastern NSW,1,Good,Good,0
NSW1202,DALMORTON,104,NSW Central and North Coast,1,Good,Good,0
NSW1203,DALSWINTON,102,North-Eastern NSW,1,Good,Good,0
NSW1204,DALTON,106,South-Eastern NSW,1,Good,Good,0
NSW1205,DALWOOD,104,NSW Central and North Coast,1,Good,Good,0
NSW1206,DALWOOD,104,NSW Central and North Coast,1,Good,Good,0
NSW1207,DANDALOO,101,Dubbo,1,Good,Good,0
NSW1208,DANDRY,101,Dubbo,1,Good,Good,0
NSW1209,DANGAR ISLAND,107,Sydney - Wollongong,1,Good,Good,0
NSW121,BABINDA,101,Dubbo,1,Good,Good,0
NSW1210,DANGARSLEIGH,102,North-Eastern NSW,1,Good,Good,0
NSW1211,DANGELONG,106,South-Eastern NSW,1,Good,Good,0
NSW1212,DAPTO,107,Sydney - Wollongong,1,Good,Good,0
NSW1213,DARAWANK,104,NSW Central and North Coast,1,Good,Good,0
NSW1214,DARBALARA,105,Riverina - Orange,1,Good,Good,0
NSW1215,DARBYS FALLS,105,Riverina - Orange,1,Good,Good,0
NSW1217,DARGAN,105,Riverina - Orange,1,Good,Good,0
NSW1218,DARK CORNER,105,Riverina - Orange,1,Good,Good,0
NSW1219,DARKES FOREST,107,Sydney - Wollongong,1,Good,Good,0
NSW122,BABYL CREEK,104,NSW Central and North Coast,1,Good,Good,0
NSW1220,DARKWOOD,104,NSW Central and North Coast,1,Good,Good,0
NSW1221,DARLING POINT,107,Sydney - Wollongong,1,Good,Good,0
NSW1222,DARLINGHURST,107,Sydney - Wollongong,1,Good,Good,0
NSW1223,DARLINGTON,107,Sydney - Wollongong,1,Good,Good,0
NSW1224,DARLINGTON,104,NSW Central and North Coast,1,Good,Good,0
NSW1225,DARLINGTON POINT,105,Riverina - Orange,1,Good,Good,0
NSW1226,DARLOW,105,Riverina - Orange,1,Good,Good,0
NSW1227,DAROOBALGIE,101,Dubbo,0.1211775,Good,Good,0
NSW1227,DAROOBALGIE,105,Riverina - Orange,0.8788225,Good,Good,0
NSW1228,DARTBROOK,102,North-Eastern NSW,1,Good,Good,0
NSW1229,DARUKA,102,North-Eastern NSW,1,Good,Good,0
NSW123,BACK CREEK,102,North-Eastern NSW,1,Good,Good,0
NSW1230,DAVIDSON,107,Sydney - Wollongong,1,Good,Good,0
NSW1231,DAVIS CREEK,102,North-Eastern NSW,1,Good,Good,0
NSW1232,DAVISTOWN,104,NSW Central and North Coast,1,Good,Good,0
NSW1233,DAWES POINT,107,Sydney - Wollongong,1,Good,Good,0
NSW1234,DAYSDALE,105,Riverina - Orange,1,Good,Good,0
NSW1235,DEAN PARK,107,Sydney - Wollongong,1,Good,Good,0
NSW1236,DEAUVILLE,104,NSW Central and North Coast,1,Good,Good,0
NSW1237,DEBENHAM,104,NSW Central and North Coast,1,Good,Good,0
NSW1238,DEE WHY,107,Sydney - Wollongong,1,Good,Good,0
NSW1239,DEEP CREEK,104,NSW Central and North Coast,1,Good,Good,0
NSW124,BACK CREEK,104,NSW Central and North Coast,1,Good,Good,0
NSW1240,DEEP CREEK,104,NSW Central and North Coast,1,Good,Good,0
NSW1241,DEEP CREEK,104,NSW Central and North Coast,1,Good,Good,0
NSW1242,DEEPWATER,102,North-Eastern NSW,1,Good,Good,0
NSW1243,DEER VALE,104,NSW Central and North Coast,1,Good,Good,0
NSW1244,DELEGATE,106,South-Eastern NSW,1,Good,Good,0
NSW1246,DELUNGRA,102,North-Eastern NSW,1,Good,Good,0
NSW1247,DENHAM COURT,107,Sydney - Wollongong,1,Good,Good,0
NSW1248,DENHAMS BEACH,106,South-Eastern NSW,1,Good,Good,0
NSW1249,DENILIQUIN,105,Riverina - Orange,1,Good,Good,0
NSW125,BACK CREEK,105,Riverina - Orange,1,Good,Good,0
NSW1250,DENISTONE,107,Sydney - Wollongong,1,Good,Good,0
NSW1251,DENISTONE EAST,107,Sydney - Wollongong,1,Good,Good,0
