LOCALITY_PID,LOCALITY_NAME,ILOC_CODE_2021,ILOC_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
NSW1041,COOLATAI,10200502,Inverell,0.1104778,Good,Good,0
NSW1043,COOLEMAN,10501901,Tumut,1,Good,Good,0
NSW1044,COOLEYS CREEK,10501901,Tumut,1,Good,Good,0
NSW1045,COOLGARDIE,10400103,Ballina - Surrounds,1,Good,Good,0
NSW1046,COOLONGOLOOK,10400801,Bulahdelah,1,Good,Good,0
NSW1047,COOLRINGDON,10600402,Snowy - Monaro,1,Good,Good,0
NSW1048,COOLUMBOOKA,10600402,Snowy - Monaro,1,Good,Good,0
NSW1049,COOLUMBURRA,10600303,Shoalhaven,1,Good,Good,0
NSW105,ATTUNGA,10201102,Tamworth - Surrounds,1,Good,Good,0
NSW1050,COOMA,10600402,Snowy - Monaro,1,Good,Good,0
NSW1051,COOMBA BAY,10400801,Bulahdelah,1,Good,Good,0
NSW1052,COOMBA PARK,10400801,Bulahdelah,1,Good,Good,0
NSW1053,COOMBADJHA,10200201,Glen Innes,0.0009042,Good,Good,1
NSW1053,COOMBADJHA,10400401,Baryulgil - Malabugilmah,0.9990958,Good,Good,0
NSW1054,COOMBELL,10401703,Richmond Valley exc. Casino,1,Good,Good,0
NSW1055,COOMOO COOMOO,10200601,Liverpool Plains,1,Acceptable,Good,0
NSW1056,COONABARABRAN,10100701,Coonabarabran,0.6874501,Poor,Good,0
NSW1056,COONABARABRAN,10100702,Coonabarabran - Surrounds,0.3125499,Acceptable,Good,0
NSW1057,COONAMBLE,10300401,Coonamble,0.880299,Acceptable,Good,0
NSW1057,COONAMBLE,10300402,Coonamble - Surrounds,0.119701,Poor,Good,0
NSW1058,COONGBAR,10400401,Baryulgil - Malabugilmah,1,Good,Good,0
NSW1059,COOPERABUNG,10400902,Kempsey - Surrounds,0.0147752,Good,Good,0
NSW1059,COOPERABUNG,10401501,Hastings,0.9852248,Good,Good,0
NSW106,AUBURN,10700101,Auburn,1,Good,Good,0
NSW1060,COOPERNOOK,10401903,Taree - Surrounds,1,Good,Good,0
NSW1061,COOPERS GULLY,10600102,Bega - Surrounds,1,Good,Good,0
NSW1062,COOPERS SHOOT,10400201,Byron,1,Good,Good,0
NSW1063,COOPLACURRIPA,10401903,Taree - Surrounds,1,Good,Good,0
NSW1064,COORABELL,10400201,Byron,1,Good,Good,0
NSW1065,COORANBONG,10402203,Lake Macquarie - West,1,Good,Good,0
NSW1066,COOTAMUNDRA,10500801,Cootamundra,1,Good,Good,0
NSW1067,COOTRALANTRA,10600402,Snowy - Monaro,1,Good,Good,0
NSW1068,COOYAL,10501601,Mudgee,1,Good,Good,0
NSW1069,COPACABANA,10400701,Gosford - East,1,Good,Good,0
NSW107,AUBURN VALE,10200502,Inverell,1,Good,Good,0
NSW1070,COPE,10501601,Mudgee,1,Good,Good,0
NSW1071,COPELAND,10400602,Gloucester,1,Good,Good,0
NSW1072,COPETON,10200501,Gwydir,0.2897729,Good,Good,0
NSW1072,COPETON,10200502,Inverell,0.7102271,Good,Good,0
NSW1073,COPMANHURST,10400402,Clarence Valley,1,Good,Good,0
NSW1074,COPPABELLA,10502001,Upper Murray,1,Good,Good,0
NSW1075,COPPERHANNIA,10500301,Bathurst,1,Good,Good,0
NSW1076,CORAKI,10401204,Lismore - Surrounds,0.0235807,Good,Good,0
NSW1076,CORAKI,10401702,Coraki,0.8480734,Acceptable,Good,0
NSW1076,CORAKI,10401703,Richmond Valley exc. Casino,0.1283459,Good,Good,0
NSW1077,CORALVILLE,10401903,Taree - Surrounds,1,Good,Good,0
NSW1078,CORAMBA,10400503,Coffs Harbour,1,Good,Good,0
NSW1079,CORANG,10600402,Snowy - Monaro,1,Good,Good,0
NSW108,AUSTINMER,10703001,Wollongong,1,Good,Good,0
NSW1080,CORANGULA,10400902,Kempsey - Surrounds,1,Good,Good,0
NSW1081,CORBIE HILL,10501202,Leeton,0.9759966,Good,Good,0
NSW1081,CORBIE HILL,10501701,Narrandera,0.0240034,Good,Good,0
NSW1082,CORDEAUX,10600503,Wingecaribee,0.9411765,Good,Good,0
NSW1082,CORDEAUX,10703001,Wollongong,0.0588235,Good,Good,0
NSW1083,CORDEAUX HEIGHTS,10703001,Wollongong,1,Good,Good,0
NSW1084,COREE,10500601,Central Murray,1,Good,Good,0
NSW1085,COREEN,10502001,Upper Murray,1,Good,Good,0
NSW1086,CORINDI BEACH,10400503,Coffs Harbour,1,Good,Good,0
NSW1087,CORINELLA,10501101,Forbes,1,Good,Good,0
NSW1088,CORLETTE,10401603,Nelson Bay,1,Good,Good,0
NSW1089,CORNDALE,10401204,Lismore - Surrounds,1,Good,Good,0
NSW109,AUSTRAL,10701702,Liverpool - West,1,Good,Good,0
NSW1090,CORNEY TOWN,10501501,Lithgow,1,Good,Good,0
NSW1091,CORNWALLIS,10701002,Hawkesbury - Richmond,1,Acceptable,Good,0
NSW1092,COROBIMILLA,10501701,Narrandera,1,Good,Good,0
NSW1093,COROWA,10502001,Upper Murray,1,Good,Good,0
NSW1094,CORRABARE,10400302,Cessnock - Surrounds,1,Acceptable,Good,0
NSW1095,CORRIMAL,10600503,Wingecaribee,7.00E-07,Good,Good,1
NSW1095,CORRIMAL,10703001,Wollongong,0.9999993,Good,Good,0
NSW1096,CORRONG,10500202,Balranald - Wentworth - Surrounds,1,Good,Good,0
NSW1097,CORROWONG,10600402,Snowy - Monaro,1,Good,Good,0
NSW1098,CORUNNA,10600203,Eurobodalla,1,Acceptable,Good,0
NSW1099,COTTAGE POINT,10702001,Manly - Warringah,1,Good,Good,0
NSW11,ABERMAIN,10400302,Cessnock - Surrounds,0.2740248,Acceptable,Good,0
NSW11,ABERMAIN,10400303,Kurri Kurri - Weston,0.7259752,Good,Good,0
NSW110,AUSTRAL EDEN,10400902,Kempsey - Surrounds,1,Good,Good,0
NSW1100,COUGAL,10401001,Kyogle,1,Good,Good,0
NSW1101,COUNTEGANY,10600102,Bega - Surrounds,0.0001281,Good,Good,1
NSW1101,COUNTEGANY,10600402,Snowy - Monaro,0.9998719,Good,Good,0
NSW1102,COURABYRA,10502001,Upper Murray,1,Good,Good,0
NSW1103,COURADDA,10201002,Narrabri - Surrounds,1,Poor,Good,0
