LOCALITY_PID_2021,LOCALITY_NAME_2021,RA_CODE_2016,RA_NAME_2016,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
NSW1064,COORABELL,11,Inner Regional Australia,1,Good,Good,0
NSW1065,COORANBONG,11,Inner Regional Australia,0.0482537,Good,Good,0
NSW1065,COORANBONG,10,Major Cities of Australia,0.9517463,Good,Good,0
NSW1066,COOTAMUNDRA,11,Inner Regional Australia,1,Good,Good,0
NSW1067,COOTRALANTRA,12,Outer Regional Australia,1,Good,Good,0
NSW1068,COOYAL,12,Outer Regional Australia,1,Good,Good,0
NSW1069,COPACABANA,10,Major Cities of Australia,1,Good,Good,0
NSW107,AUBURN VALE,12,Outer Regional Australia,1,Good,Good,0
NSW1070,COPE,12,Outer Regional Australia,1,Good,Good,0
NSW1071,COPELAND,12,Outer Regional Australia,1,Good,Good,0
NSW1072,COPETON,12,Outer Regional Australia,1,Good,Good,0
NSW1073,COPMANHURST,12,Outer Regional Australia,1,Good,Good,0
NSW1074,COPPABELLA,12,Outer Regional Australia,1,Good,Good,0
NSW1075,COPPERHANNIA,12,Outer Regional Australia,1,Good,Good,0
NSW1076,CORAKI,11,Inner Regional Australia,1,Good,Good,0
NSW1077,CORALVILLE,11,Inner Regional Australia,1,Good,Good,0
NSW1078,CORAMBA,11,Inner Regional Australia,1,Good,Good,0
NSW1079,CORANG,12,Outer Regional Australia,1,Good,Good,0
NSW108,AUSTINMER,10,Major Cities of Australia,1,Good,Good,0
NSW1080,CORANGULA,12,Outer Regional Australia,1,Good,Good,0
NSW1081,CORBIE HILL,12,Outer Regional Australia,1,Good,Good,0
NSW1082,CORDEAUX,10,Major Cities of Australia,0.0588235,Good,Good,0
NSW1082,CORDEAUX,11,Inner Regional Australia,0.9411765,Good,Good,0
NSW1083,CORDEAUX HEIGHTS,10,Major Cities of Australia,1,Good,Good,0
NSW1084,COREE,12,Outer Regional Australia,1,Good,Good,0
NSW1085,COREEN,12,Outer Regional Australia,1,Good,Good,0
NSW1086,CORINDI BEACH,11,Inner Regional Australia,1,Good,Good,0
NSW1087,CORINELLA,12,Outer Regional Australia,1,Good,Good,0
NSW1088,CORLETTE,11,Inner Regional Australia,1,Good,Good,0
NSW1089,CORNDALE,11,Inner Regional Australia,1,Good,Good,0
NSW109,AUSTRAL,10,Major Cities of Australia,1,Good,Good,0
NSW1090,CORNEY TOWN,11,Inner Regional Australia,1,Good,Good,0
NSW1091,CORNWALLIS,10,Major Cities of Australia,1,Good,Good,0
NSW1092,COROBIMILLA,12,Outer Regional Australia,1,Good,Good,0
NSW1093,COROWA,11,Inner Regional Australia,1,Good,Good,0
NSW1094,CORRABARE,11,Inner Regional Australia,1,Good,Good,0
NSW1095,CORRIMAL,11,Inner Regional Australia,7.00E-07,Good,Good,1
NSW1095,CORRIMAL,10,Major Cities of Australia,0.9999993,Good,Good,0
NSW1096,CORRONG,13,Remote Australia,1,Good,Good,0
NSW1097,CORROWONG,12,Outer Regional Australia,1,Good,Good,0
NSW1098,CORUNNA,12,Outer Regional Australia,1,Good,Good,0
NSW1099,COTTAGE POINT,10,Major Cities of Australia,1,Good,Good,0
NSW11,ABERMAIN,10,Major Cities of Australia,1,Good,Good,0
NSW110,AUSTRAL EDEN,12,Outer Regional Australia,1,Good,Good,0
NSW1100,COUGAL,11,Inner Regional Australia,1,Good,Good,0
NSW1101,COUNTEGANY,12,Outer Regional Australia,1,Good,Good,0
NSW1102,COURABYRA,12,Outer Regional Australia,1,Good,Good,0
NSW1103,COURADDA,12,Outer Regional Australia,1,Good,Good,0
NSW1104,COURAGAGO,11,Inner Regional Australia,1,Good,Good,0
NSW1105,COURIDJAH,11,Inner Regional Australia,1,Good,Good,0
NSW1106,COUTTS CROSSING,12,Outer Regional Australia,0.4713015,Good,Good,0
NSW1106,COUTTS CROSSING,11,Inner Regional Australia,0.5286985,Good,Good,0
NSW1107,COW FLAT,11,Inner Regional Australia,1,Good,Good,0
NSW1108,COWABBIE,12,Outer Regional Australia,1,Good,Good,0
NSW1109,COWAN,11,Inner Regional Australia,1,Good,Good,0
NSW1110,COWPER,12,Outer Regional Australia,1,Good,Good,0
NSW1111,COWRA,12,Outer Regional Australia,0.0539358,Good,Good,0
NSW1111,COWRA,11,Inner Regional Australia,0.9460642,Good,Good,0
NSW1112,COXS CREEK,12,Outer Regional Australia,1,Good,Good,0
NSW1113,COXS CROWN,12,Outer Regional Australia,1,Good,Good,0
NSW1114,CRABBES CREEK,11,Inner Regional Australia,1,Good,Good,0
NSW1115,CRACKENBACK,12,Outer Regional Australia,1,Good,Good,0
NSW1116,CRAIGIE,12,Outer Regional Australia,1,Good,Good,0
NSW1117,CRANEBROOK,10,Major Cities of Australia,1,Good,Good,0
