SA1_MAINCODE_2016,LGA_CODE_2021,LGA_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
10103101619,17040,Snowy Monaro Regional,1,Good,Good,0
10103101620,17040,Snowy Monaro Regional,1,Good,Good,0
10104101701,12750,Eurobodalla,1,Good,Good,0
10104101702,12750,Eurobodalla,1,Good,Good,0
10104101703,12750,Eurobodalla,1,Good,Good,0
10104101704,12750,Eurobodalla,1,Good,Good,0
10104101705,12750,Eurobodalla,1,Good,Good,0
10104101706,12750,Eurobodalla,1,Good,Good,0
10104101707,12750,Eurobodalla,1,Good,Good,0
10104101708,12750,Eurobodalla,1,Good,Good,0
10104101709,12750,Eurobodalla,1,Good,Good,0
10104101710,12750,Eurobodalla,1,Good,Good,0
10104101711,12750,Eurobodalla,1,Good,Good,0
10104101712,12750,Eurobodalla,1,Good,Good,0
10104101713,12750,Eurobodalla,1,Good,Good,0
10104101714,12750,Eurobodalla,1,Good,Good,0
10104101715,12750,Eurobodalla,1,Good,Good,0
10104101716,12750,Eurobodalla,1,Good,Good,0
10104101717,12750,Eurobodalla,1,Good,Good,0
10104101718,12750,Eurobodalla,1,Good,Good,0
10104101719,12750,Eurobodalla,1,Good,Good,0
10104101720,12750,Eurobodalla,1,Good,Good,0
10104101721,12750,Eurobodalla,1,Good,Good,0
10104101722,12750,Eurobodalla,1,Good,Good,0
10104101801,12750,Eurobodalla,1,Good,Good,0
10104101802,12750,Eurobodalla,1,Good,Good,0
10104101803,12750,Eurobodalla,1,Good,Good,0
10104101804,12750,Eurobodalla,1,Good,Good,0
10104101805,12750,Eurobodalla,1,Good,Good,0
10104101806,12750,Eurobodalla,1,Good,Good,0
10104101807,12750,Eurobodalla,1,Good,Good,0
10104101808,12750,Eurobodalla,1,Good,Good,0
10104101809,12750,Eurobodalla,1,Good,Good,0
10104101810,12750,Eurobodalla,1,Good,Good,0
10104101811,12750,Eurobodalla,1,Good,Good,0
10104101812,12750,Eurobodalla,1,Good,Good,0
10104101813,12750,Eurobodalla,1,Good,Good,0
10104101814,12750,Eurobodalla,1,Good,Good,0
10104101815,12750,Eurobodalla,1,Good,Good,0
10104101816,12750,Eurobodalla,1,Good,Good,0
10104101817,12750,Eurobodalla,1,Good,Good,0
10104101818,12750,Eurobodalla,1,Good,Good,0
10104101819,12750,Eurobodalla,1,Good,Good,0
10104101820,12750,Eurobodalla,1,Good,Good,0
10104101821,12750,Eurobodalla,1,Good,Good,0
10104101822,12750,Eurobodalla,1,Good,Good,0
10104101823,12750,Eurobodalla,1,Good,Good,0
10104101824,12750,Eurobodalla,1,Good,Good,0
10104101901,10550,Bega Valley,1,Good,Good,0
10104101902,10550,Bega Valley,1,Good,Good,0
10104101903,10550,Bega Valley,1,Good,Good,0
10104101904,10550,Bega Valley,1,Good,Good,0
10104101905,10550,Bega Valley,1,Good,Good,0
10104101906,10550,Bega Valley,1,Good,Good,0
10104101907,10550,Bega Valley,1,Good,Good,0
10104101909,10550,Bega Valley,1,Good,Good,0
10104101911,10550,Bega Valley,1,Good,Good,0
10104101912,10550,Bega Valley,1,Good,Good,0
10104101913,10550,Bega Valley,1,Good,Good,0
10104101914,10550,Bega Valley,1,Good,Good,0
10104101915,10550,Bega Valley,1,Good,Good,0
10104101916,10550,Bega Valley,1,Good,Good,0
10104101917,10550,Bega Valley,1,Good,Good,0
10104101918,10550,Bega Valley,1,Good,Good,0
10104101919,10550,Bega Valley,1,Good,Good,0
10104101920,10550,Bega Valley,1,Good,Good,0
10104101921,10550,Bega Valley,1,Good,Good,0
10104101922,10550,Bega Valley,1,Good,Good,0
10104101923,10550,Bega Valley,1,Good,Good,0
10104102001,10550,Bega Valley,1,Good,Good,0
10104102002,10550,Bega Valley,1,Good,Good,0
10104102003,10550,Bega Valley,1,Good,Good,0
10104102004,10550,Bega Valley,1,Good,Good,0
10104102005,10550,Bega Valley,1,Good,Good,0
10104102006,10550,Bega Valley,1,Good,Good,0
