LOCALITY_PID,LOCALITY_NAME,PHN_CODE_2017,PHN_NAME_2017,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
NSW1033,COOKS MYALLS,PHN107,Western NSW,1,Good,Good,0
NSW1034,COOLABAH,PHN107,Western NSW,1,Good,Good,0
NSW1035,COOLAC,PHN110,Murrumbidgee,1,Good,Good,0
NSW1036,COOLAGOLITE,PHN106,South Eastern NSW,1,Good,Good,0
NSW1037,COOLAH,PHN107,Western NSW,1,Good,Good,0
NSW1038,COOLAMON,PHN110,Murrumbidgee,1,Good,Good,0
NSW1039,COOLANGATTA,PHN106,South Eastern NSW,1,Good,Good,0
NSW104,ATHOLWOOD,PHN108,Hunter New England and Central Coast,1,Good,Good,0
NSW1040,COOLANGUBRA,PHN106,South Eastern NSW,1,Good,Good,0
NSW1041,COOLATAI,PHN108,Hunter New England and Central Coast,1,Good,Good,0
NSW1043,COOLEMAN,PHN110,Murrumbidgee,1,Good,Good,0
NSW1044,COOLEYS CREEK,PHN110,Murrumbidgee,1,Good,Good,0
NSW1045,COOLGARDIE,PHN109,North Coast,1,Good,Good,0
NSW1046,COOLONGOLOOK,PHN108,Hunter New England and Central Coast,1,Good,Good,0
NSW1047,COOLRINGDON,PHN106,South Eastern NSW,1,Good,Good,0
NSW1048,COOLUMBOOKA,PHN106,South Eastern NSW,1,Good,Good,0
NSW1049,COOLUMBURRA,PHN106,South Eastern NSW,1,Good,Good,0
NSW105,ATTUNGA,PHN108,Hunter New England and Central Coast,1,Good,Good,0
NSW1050,COOMA,PHN106,South Eastern NSW,1,Good,Good,0
NSW1051,COOMBA BAY,PHN108,Hunter New England and Central Coast,1,Good,Good,0
NSW1052,COOMBA PARK,PHN108,Hunter New England and Central Coast,1,Good,Good,0
NSW1053,COOMBADJHA,PHN108,Hunter New England and Central Coast,0.0009042,Good,Good,1
NSW1053,COOMBADJHA,PHN109,North Coast,0.9990958,Good,Good,0
NSW1054,COOMBELL,PHN109,North Coast,1,Good,Good,0
NSW1055,COOMOO COOMOO,PHN108,Hunter New England and Central Coast,1,Good,Good,0
NSW1056,COONABARABRAN,PHN107,Western NSW,1,Good,Good,0
NSW1057,COONAMBLE,PHN107,Western NSW,1,Good,Good,0
NSW1058,COONGBAR,PHN109,North Coast,1,Good,Good,0
NSW1059,COOPERABUNG,PHN109,North Coast,1,Good,Good,0
NSW106,AUBURN,PHN103,Western Sydney,1,Good,Good,0
NSW1060,COOPERNOOK,PHN108,Hunter New England and Central Coast,1,Good,Good,0
NSW1061,COOPERS GULLY,PHN106,South Eastern NSW,1,Good,Good,0
NSW1062,COOPERS SHOOT,PHN109,North Coast,1,Good,Good,0
NSW1063,COOPLACURRIPA,PHN108,Hunter New England and Central Coast,1,Good,Good,0
NSW1064,COORABELL,PHN109,North Coast,1,Good,Good,0
NSW1065,COORANBONG,PHN108,Hunter New England and Central Coast,1,Good,Good,0
NSW1066,COOTAMUNDRA,PHN110,Murrumbidgee,1,Good,Good,0
NSW1067,COOTRALANTRA,PHN106,South Eastern NSW,1,Good,Good,0
NSW1068,COOYAL,PHN107,Western NSW,1,Good,Good,0
NSW1069,COPACABANA,PHN108,Hunter New England and Central Coast,1,Good,Good,0
NSW107,AUBURN VALE,PHN108,Hunter New England and Central Coast,1,Good,Good,0
NSW1070,COPE,PHN107,Western NSW,1,Good,Good,0
NSW1071,COPELAND,PHN108,Hunter New England and Central Coast,1,Good,Good,0
NSW1072,COPETON,PHN108,Hunter New England and Central Coast,1,Good,Good,0
NSW1073,COPMANHURST,PHN109,North Coast,1,Good,Good,0
NSW1074,COPPABELLA,PHN110,Murrumbidgee,1,Good,Good,0
NSW1075,COPPERHANNIA,PHN107,Western NSW,1,Good,Good,0
NSW1076,CORAKI,PHN109,North Coast,1,Good,Good,0
NSW1077,CORALVILLE,PHN108,Hunter New England and Central Coast,1,Good,Good,0
NSW1078,CORAMBA,PHN109,North Coast,1,Good,Good,0
NSW1079,CORANG,PHN106,South Eastern NSW,1,Good,Good,0
NSW108,AUSTINMER,PHN106,South Eastern NSW,1,Good,Good,0
NSW1080,CORANGULA,PHN109,North Coast,1,Good,Good,0
NSW1081,CORBIE HILL,PHN110,Murrumbidgee,1,Good,Good,0
NSW1082,CORDEAUX,PHN106,South Eastern NSW,1,Good,Good,0
NSW1083,CORDEAUX HEIGHTS,PHN106,South Eastern NSW,1,Good,Good,0
NSW1084,COREE,PHN110,Murrumbidgee,1,Good,Good,0
NSW1085,COREEN,PHN110,Murrumbidgee,1,Good,Good,0
NSW1086,CORINDI BEACH,PHN109,North Coast,1,Good,Good,0
NSW1087,CORINELLA,PHN107,Western NSW,1,Good,Good,0
NSW1088,CORLETTE,PHN108,Hunter New England and Central Coast,1,Good,Good,0
NSW1089,CORNDALE,PHN109,North Coast,1,Good,Good,0
NSW109,AUSTRAL,PHN105,South Western Sydney,1,Good,Good,0
NSW1090,CORNEY TOWN,PHN104,Nepean Blue Mountains,1,Good,Good,0
NSW1091,CORNWALLIS,PHN104,Nepean Blue Mountains,1,Good,Good,0
NSW1092,COROBIMILLA,PHN110,Murrumbidgee,1,Good,Good,0
