DZN_CODE_2016,DZN_CODE_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
111097041,111097041,1,Good,Good,0
111108028,111108028,1,Good,Good,0
111108029,111108029,1,Good,Good,0
111108030,111108030,1,Good,Good,0
111108031,111108031,1,Good,Good,0
111108032,111108032,1,Good,Good,0
111110001,111110001,1,Good,Good,0
111117075,111117075,1,Good,Good,0
111117076,111117076,1,Good,Good,0
111117077,111117077,1,Good,Good,0
111117078,111117078,1,Good,Good,0
111117080,111110001,0.0023103,Good,Good,1
111117080,111117080,0.9976897,Good,Good,0
111117081,111117081,1,Good,Good,0
111117082,111117082,1,Good,Good,0
111128024,111128024,1,Good,Good,0
111128025,111128025,1,Good,Good,0
111138020,111138020,1,Good,Good,0
111138021,111138021,1,Good,Good,0
111147129,111147129,1,Good,Good,0
111147130,111147130,1,Good,Good,0
111147131,111147131,1,Good,Good,0
111157144,116140001,1,Good,Good,0
111157145,116140002,1,Good,Good,0
111157146,116140003,1,Good,Good,0
111157147,116140004,1,Good,Good,0
111157148,116170001,0.9581238,Good,Good,0
111157148,116180002,0.0418762,Poor,Good,0
111157149,116140005,1,Good,Good,0
111157150,116140006,1,Good,Good,0
111157151,116140007,1,Good,Good,0
111157152,116170002,1,Good,Good,0
111157153,116170003,1,Good,Good,0
111157154,116170004,1,Good,Good,0
111167115,111167115,1,Good,Good,0
111167116,111167116,1,Good,Good,0
111177095,116150001,0.7678879,Acceptable,Good,0
111177095,116160001,0.2321121,Poor,Good,0
111177096,116160002,1,Good,Good,0
111177097,116160003,1,Good,Good,0
111177098,116150002,1,Good,Good,0
111177099,116150003,1,Good,Good,0
111177100,116150004,1,Good,Good,0
111177101,116150005,1,Good,Good,0
111177102,116150006,1,Good,Good,0
111187167,116180003,1,Good,Good,0
111187168,116180004,1,Good,Good,0
111187169,116180001,0.3023044,Poor,Good,0
111187169,116180002,0.6976956,Poor,Good,0
111197246,111197246,1,Good,Good,0
111197247,111197247,1,Good,Good,0
111207232,111207232,1,Good,Good,0
111207233,111207233,1,Good,Good,0
111217260,111217260,1,Good,Good,0
111217261,111217261,1,Good,Good,0
111217262,111217262,1,Good,Good,0
111217263,111217263,1,Good,Good,0
111217264,111217264,1,Good,Good,0
111217265,111217265,1,Good,Good,0
111217266,111217266,1,Good,Good,0
111217267,111217267,1,Good,Good,0
111227196,111227196,1,Good,Good,0
111227197,111227197,1,Good,Good,0
111227198,111227198,1,Good,Good,0
111227199,111227199,1,Good,Good,0
111227200,111227200,1,Good,Good,0
111237182,111237182,1,Good,Good,0
111237183,111237183,1,Good,Good,0
111248035,111248035,1,Good,Good,0
111248036,111248036,1,Good,Good,0
111257213,111257213,1,Good,Good,0
111257214,111257214,1,Good,Good,0
111257215,111257215,1,Good,Good,0
111257216,111257216,1,Good,Good,0
111257217,111257217,1,Good,Good,0
111257218,111257218,1,Good,Good,0
111257219,111257219,1,Good,Good,0
111260001,111260001,1,Good,Good,0
111268016,111260002,0.5857509,Poor,Good,0
111268016,111260003,0.4142491,Poor,Good,0
111278011,111278011,1,Good,Good,0
111278012,111278012,1,Good,Good,0
111278013,111278013,1,Good,Good,0
111288008,111288008,1,Good,Good,0
111298000,111298000,1,Good,Good,0
111298001,111298001,1,Good,Good,0
111298002,111298002,1,Good,Good,0
111298003,111298003,1,Good,Good,0
111298004,111298004,1,Good,Good,0
111298005,111298005,1,Good,Good,0
111317440,111317440,1,Good,Good,0
111317441,111317441,1,Good,Good,0
111317442,111317442,1,Good,Good,0
111317443,111317443,1,Good,Good,0
111317444,111317444,1,Good,Good,0
111317445,111317445,1,Good,Good,0
111317446,111317446,1,Good,Good,0
111317447,111317447,1,Good,Good,0
111327425,111327425,1,Good,Good,0
111327426,111327426,1,Good,Good,0
111327427,111327427,1,Good,Good,0
111337480,111337480,1,Good,Good,0
111337481,111337481,1,Good,Good,0
111337482,111337482,1,Good,Good,0
111340001,111340001,1,Good,Good,0
111340002,111340002,1,Good,Good,0
111347460,111347460,1,Good,Good,0
111347461,111347461,1,Good,Good,0
111347462,111347462,1,Good,Good,0
111347463,111347463,1,Good,Good,0
111347464,111347464,1,Good,Good,0
111347466,111347466,1,Good,Good,0
111347467,111347467,1,Good,Good,0
111357280,111357280,1,Good,Good,0
111360001,111360001,1,Good,Good,0
111360002,111360002,1,Good,Good,0
111367519,111367519,1,Good,Good,0
111367521,111367521,1,Good,Good,0
111377534,111377534,1,Good,Good,0
111377535,111377535,1,Good,Good,0
111377536,111377536,1,Good,Good,0
111377537,111377537,1,Good,Good,0
111387632,111387632,1,Good,Good,0
111387633,111387633,1,Good,Good,0
111387634,111387634,1,Good,Good,0
111397618,111397618,1,Good,Good,0
111397619,111397619,1,Good,Good,0
111407550,111407550,1,Good,Good,0
111407551,111407551,1,Good,Good,0
111407552,111407552,1,Good,Good,0
111410001,111410001,0.9999998,Good,Good,0
111410001,111417601,2.00E-07,Good,Good,1
111417600,111417600,1,Good,Good,0
111417601,111417601,1,Good,Good,0
111417603,111417603,1,Good,Good,0
111417604,111417604,1,Good,Good,0
111427565,111427565,1,Good,Good,0
111427566,111427566,1,Good,Good,0
111427567,111427567,1,Good,Good,0
111427568,111427568,1,Good,Good,0
111427569,111427569,1,Good,Good,0
111437582,111437582,1,Good,Good,0
111437583,111437583,1,Good,Good,0
111437584,111437584,1,Good,Good,0
111437585,111437585,1,Good,Good,0
111437586,111437586,1,Good,Good,0
111437587,111437587,1,Good,Good,0
111447383,111447383,1,Good,Good,0
111447384,111447384,1,Good,Good,0
111447385,111447385,1,Good,Good,0
111447386,111447386,1,Good,Good,0
111447387,111447387,1,Good,Good,0
111447388,111447388,1,Good,Good,0
111447389,111447389,1,Good,Good,0
111457365,111457365,1,Good,Good,0
111457366,111457366,1,Good,Good,0
111457367,111457367,1,Good,Good,0
111457368,111457368,1,Good,Good,0
111457369,111457369,1,Good,Good,0
111457370,111457370,1,Good,Good,0
111467345,111467345,1,Good,Good,0
111467346,111467346,1,Good,Good,0
111467347,111467347,1,Good,Good,0
111467348,111467348,1,Good,Good,0
111467349,111467349,1,Good,Good,0
111467350,111467350,1,Good,Good,0
111467351,111467351,1,Good,Good,0
111467352,111467352,1,Good,Good,0
111477293,111477293,1,Good,Good,0
111477294,111477294,1,Good,Good,0
111477295,111477295,1,Good,Good,0
111477296,111477296,1,Good,Good,0
111487309,111487309,1,Good,Good,0
111487310,111487310,1,Good,Good,0
111487311,111487311,1,Good,Good,0
111487312,111487312,1,Good,Good,0
111487313,111487313,1,Good,Good,0
111507326,111507326,1,Good,Good,0
111507327,111507327,1,Good,Good,0
111507328,111507328,1,Good,Good,0
111507329,111507329,1,Good,Good,0
111507330,111507330,1,Good,Good,0
111507331,111507331,1,Good,Good,0
111507332,111507332,1,Good,Good,0
111518383,111518383,1,Good,Good,0
111518384,111518384,1,Good,Good,0
111518385,111518385,1,Good,Good,0
111518386,111518386,1,Good,Good,0
111528397,111528397,1,Good,Good,0
111528398,111528398,1,Good,Good,0
111538392,111538392,1,Good,Good,0
111538393,111538393,1,Good,Good,0
111538394,111538394,1,Good,Good,0
111548389,111548389,1,Good,Good,0
111558322,111558322,1,Good,Good,0
111558323,111558323,1,Good,Good,0
111558324,111558324,1,Good,Good,0
111558325,111558325,1,Good,Good,0
111568300,111568300,1,Good,Good,0
111568301,111568301,1,Good,Good,0
111568302,111568302,1,Good,Good,0
111568303,111568303,1,Good,Good,0
111568304,111568304,1,Good,Good,0
111578318,111578318,1,Good,Good,0
111578319,111578319,1,Good,Good,0
111580001,111580001,1,Good,Good,0
111588315,111588315,1,Good,Good,0
111598307,111598307,1,Good,Good,0
111598308,111598308,1,Good,Good,0
111598309,111598309,1,Good,Good,0
111598310,111598310,1,Good,Good,0
111608328,111608328,1,Good,Good,0
111618401,111618401,1,Good,Good,0
111628337,111628337,1,Good,Good,0
111628338,111628338,1,Good,Good,0
111628339,111628339,1,Good,Good,0
111628340,111628340,1,Good,Good,0
111628341,111628341,1,Good,Good,0
111638352,116190001,0.3557078,Poor,Good,0
111638352,116190002,0.0524652,Poor,Good,0
111638352,116200001,0.591827,Poor,Good,0
111648349,111640001,0.1817906,Poor,Good,0
111648349,111640002,0.382677,Poor,Good,0
111648349,111640003,0.4355324,Poor,Good,0
111650001,111650001,1,Good,Good,0
111658331,111658331,1,Good,Good,0
111658334,111658334,1,Good,Good,0
111668344,111668344,1,Good,Good,0
111668345,111668345,1,Good,Good,0
111668346,111668346,1,Good,Good,0
111678355,111678355,1,Good,Good,0
111678356,111678356,1,Good,Good,0
111688377,111688377,1,Good,Good,0
111688378,111688378,1,Good,Good,0
111688379,111688379,1,Good,Good,0
111688380,111688380,1,Good,Good,0
111698372,111698375,0.2475285,Poor,Good,0
111698372,111698376,0.2160105,Poor,Good,0
111698372,111698377,0.1129981,Poor,Good,0
111698372,111698378,0.3430823,Poor,Good,0
111698372,111698379,0.0803806,Poor,Good,0
111698373,111698373,1,Good,Good,0
111698374,111698374,1,Good,Good,0
111700001,111700001,1,Good,Good,0
111708359,111708359,1,Good,Good,0
111708362,111708362,1,Good,Good,0
111708363,111708363,1,Good,Good,0
111708364,111708364,1,Good,Good,0
111708365,111708365,1,Good,Good,0
111708366,111708366,1,Good,Good,0
111718369,111718369,1,Good,Good,0
111728921,111728921,1,Good,Good,0
111728922,111728922,1,Good,Good,0
111728923,111728923,1,Good,Good,0
111738912,111738912,1,Good,Good,0
111738913,111738913,1,Good,Good,0
111748908,111748908,1,Good,Good,0
111748909,111748909,0.7571216,Acceptable,Good,0
111748909,111748910,0.2428784,Poor,Good,0
111758898,111758898,1,Good,Good,0
