CD_CODE_2006,CD_CODE_2006,CED_CODE_2021,CED_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
1030403,1030403,134,Parkes,1,Good,Good,0
1030404,1030404,134,Parkes,1,Good,Good,0
1030405,1030405,134,Parkes,1,Good,Good,0
1030406,1030406,134,Parkes,1,Good,Good,0
1030501,1030501,134,Parkes,1,Good,Good,0
1030502,1030502,134,Parkes,1,Good,Good,0
1030503,1030503,134,Parkes,1,Good,Good,0
1030504,1030504,134,Parkes,1,Good,Good,0
1030505,1030505,134,Parkes,1,Good,Good,0
1030506,1030506,134,Parkes,1,Good,Good,0
1030507,1030507,134,Parkes,1,Good,Good,0
1030601,1030601,139,Riverina,1,Good,Good,0
1030602,1030602,139,Riverina,1,Good,Good,0
1030603,1030603,139,Riverina,1,Good,Good,0
1030604,1030604,139,Riverina,1,Good,Good,0
1030605,1030605,139,Riverina,1,Good,Good,0
1030606,1030606,139,Riverina,1,Good,Good,0
1030607,1030607,139,Riverina,1,Good,Good,0
1030608,1030608,139,Riverina,1,Good,Good,0
1030609,1030609,139,Riverina,1,Good,Good,0
1030610,1030610,139,Riverina,1,Good,Good,0
1030611,1030611,139,Riverina,1,Good,Good,0
1030701,1030701,139,Riverina,1,Good,Good,0
1030702,1030702,139,Riverina,1,Good,Good,0
1030703,1030703,139,Riverina,1,Good,Good,0
1030704,1030704,139,Riverina,1,Good,Good,0
1030705,1030705,139,Riverina,1,Good,Good,0
1030706,1030706,139,Riverina,1,Good,Good,0
1030707,1030707,139,Riverina,1,Good,Good,0
1030708,1030708,139,Riverina,1,Good,Good,0
1030709,1030709,139,Riverina,1,Good,Good,0
1030710,1030710,139,Riverina,1,Good,Good,0
1030711,1030711,139,Riverina,1,Good,Good,0
1030712,1030712,139,Riverina,1,Good,Good,0
1030801,1030801,139,Riverina,1,Good,Good,0
1030802,1030802,139,Riverina,1,Good,Good,0
1030803,1030803,139,Riverina,1,Good,Good,0
1030804,1030804,139,Riverina,1,Good,Good,0
1030805,1030805,139,Riverina,1,Good,Good,0
1030806,1030806,139,Riverina,1,Good,Good,0
1030807,1030807,139,Riverina,1,Good,Good,0
1030808,1030808,139,Riverina,1,Good,Good,0
1030809,1030809,139,Riverina,1,Good,Good,0
1030901,1030901,139,Riverina,1,Good,Good,0
1030902,1030902,139,Riverina,1,Good,Good,0
1030903,1030903,139,Riverina,1,Good,Good,0
1030904,1030904,139,Riverina,1,Good,Good,0
1030905,1030905,139,Riverina,1,Good,Good,0
1030906,1030906,139,Riverina,1,Good,Good,0
1030907,1030907,139,Riverina,1,Good,Good,0
1030908,1030908,139,Riverina,1,Good,Good,0
1030909,1030909,139,Riverina,1,Good,Good,0
1030910,1030910,139,Riverina,1,Good,Good,0
1030911,1030911,139,Riverina,1,Good,Good,0
1031001,1031001,139,Riverina,1,Good,Good,0
1031002,1031002,139,Riverina,1,Good,Good,0
1031003,1031003,139,Riverina,1,Good,Good,0
1031004,1031004,139,Riverina,1,Good,Good,0
1031005,1031005,139,Riverina,1,Good,Good,0
1031006,1031006,139,Riverina,1,Good,Good,0
1031007,1031007,139,Riverina,1,Good,Good,0
1031008,1031008,139,Riverina,1,Good,Good,0
1031009,1031009,139,Riverina,1,Good,Good,0
1031101,1031101,139,Riverina,1,Good,Good,0
1031102,1031102,139,Riverina,1,Good,Good,0
1031103,1031103,139,Riverina,1,Good,Good,0
1031104,1031104,139,Riverina,1,Good,Good,0
1031105,1031105,139,Riverina,1,Good,Good,0
1031106,1031106,139,Riverina,1,Good,Good,0
1031107,1031107,139,Riverina,1,Good,Good,0
1031108,1031108,139,Riverina,1,Good,Good,0
1031109,1031109,139,Riverina,1,Good,Good,0
1031201,1031201,134,Parkes,1,Good,Good,0
1031202,1031202,134,Parkes,1,Good,Good,0
1031203,1031203,134,Parkes,1,Good,Good,0
1031204,1031204,134,Parkes,1,Good,Good,0
1031205,1031205,134,Parkes,1,Good,Good,0
1031206,1031206,134,Parkes,1,Good,Good,0
1031207,1031207,134,Parkes,1,Good,Good,0
1031208,1031208,134,Parkes,1,Good,Good,0
1031209,1031209,134,Parkes,1,Good,Good,0
1031210,1031210,134,Parkes,1,Good,Good,0
1031301,1031301,134,Parkes,1,Good,Good,0
1031302,1031302,134,Parkes,1,Good,Good,0
1031303,1031303,134,Parkes,1,Good,Good,0
1031304,1031304,134,Parkes,1,Good,Good,0
1031305,1031305,134,Parkes,1,Good,Good,0
1031306,1031306,134,Parkes,1,Good,Good,0
1031307,1031307,134,Parkes,1,Good,Good,0
1031308,1031308,134,Parkes,1,Good,Good,0
1031401,1031401,134,Parkes,1,Good,Good,0
1031402,1031402,134,Parkes,1,Good,Good,0
1031403,1031403,134,Parkes,1,Good,Good,0
1031404,1031404,134,Parkes,1,Good,Good,0
1031405,1031405,134,Parkes,1,Good,Good,0
1031501,1031501,134,Parkes,1,Good,Good,0
1031502,1031502,134,Parkes,1,Good,Good,0
1031503,1031503,134,Parkes,1,Good,Good,0
1031504,1031504,134,Parkes,1,Good,Good,0
1031505,1031505,134,Parkes,1,Good,Good,0
1031506,1031506,134,Parkes,1,Good,Good,0
1031507,1031507,134,Parkes,1,Good,Good,0
1031601,1031601,134,Parkes,1,Good,Good,0
1031602,1031602,134,Parkes,1,Good,Good,0
1031603,1031603,134,Parkes,1,Good,Good,0
1031604,1031604,134,Parkes,1,Good,Good,0
1031605,1031605,134,Parkes,1,Good,Good,0
1031606,1031606,134,Parkes,1,Good,Good,0
1031607,1031607,134,Parkes,1,Good,Good,0
1031608,1031608,134,Parkes,1,Good,Good,0
1031609,1031609,134,Parkes,1,Good,Good,0
1031610,1031610,134,Parkes,1,Good,Good,0
1031611,1031611,134,Parkes,1,Good,Good,0
1031612,1031612,134,Parkes,1,Good,Good,0
1031613,1031613,134,Parkes,1,Good,Good,0
1031614,1031614,134,Parkes,1,Good,Good,0
1031615,1031615,134,Parkes,1,Good,Good,0
1031701,1031701,134,Parkes,1,Good,Good,0
1031702,1031702,134,Parkes,1,Good,Good,0
1031703,1031703,134,Parkes,1,Good,Good,0
1031704,1031704,134,Parkes,1,Good,Good,0
1031705,1031705,134,Parkes,1,Good,Good,0
1031706,1031706,134,Parkes,1,Good,Good,0
1031707,1031707,134,Parkes,1,Good,Good,0
1031708,1031708,134,Parkes,1,Good,Good,0
1031709,1031709,134,Parkes,1,Good,Good,0
1031801,1031801,134,Parkes,1,Good,Good,0
1031802,1031802,134,Parkes,1,Good,Good,0
1031803,1031803,134,Parkes,1,Good,Good,0
1031804,1031804,134,Parkes,1,Good,Good,0
1031805,1031805,134,Parkes,1,Good,Good,0
1031806,1031806,134,Parkes,1,Good,Good,0
1031807,1031807,134,Parkes,1,Good,Good,0
1031808,1031808,134,Parkes,1,Good,Good,0
1031809,1031809,134,Parkes,1,Good,Good,0
1031810,1031810,134,Parkes,1,Good,Good,0
1031811,1031811,134,Parkes,1,Good,Good,0
1031812,1031812,134,Parkes,1,Good,Good,0
1031813,1031813,134,Parkes,1,Good,Good,0
1031901,1031901,134,Parkes,1,Good,Good,0
1031902,1031902,134,Parkes,1,Good,Good,0
1031903,1031903,134,Parkes,1,Good,Good,0
1031904,1031904,134,Parkes,1,Good,Good,0
1031905,1031905,134,Parkes,1,Good,Good,0
1031906,1031906,134,Parkes,1,Good,Good,0
1031907,1031907,134,Parkes,1,Good,Good,0
1031908,1031908,134,Parkes,1,Good,Good,0
1031909,1031909,134,Parkes,1,Good,Good,0
1031910,1031910,134,Parkes,1,Good,Good,0
1031911,1031911,134,Parkes,1,Good,Good,0
1031912,1031912,134,Parkes,1,Good,Good,0
1032001,1032001,134,Parkes,1,Good,Good,0
1032002,1032002,134,Parkes,1,Good,Good,0
1032003,1032003,134,Parkes,1,Good,Good,0
1032004,1032004,134,Parkes,1,Good,Good,0
1032005,1032005,134,Parkes,1,Good,Good,0
1032006,1032006,134,Parkes,1,Good,Good,0
1032007,1032007,134,Parkes,1,Good,Good,0
1032008,1032008,134,Parkes,1,Good,Good,0
1032009,1032009,134,Parkes,1,Good,Good,0
1032010,1032010,134,Parkes,1,Good,Good,0
1032011,1032011,134,Parkes,1,Good,Good,0
1032012,1032012,134,Parkes,1,Good,Good,0
1032013,1032013,134,Parkes,1,Good,Good,0
