ILOC_CODE_2016,ILOC_NAME_2016,ILOC_CODE_2021,ILOC_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
10600301,Culburra - Orient Point,10600301,Culburra - Orient Point,1,Good,Good,0
10600302,Nowra,10600302,Nowra,1,Good,Good,0
10600303,Shoalhaven,10600303,Shoalhaven,1,Good,Good,0
10600401,Queanbeyan,10600401,Queanbeyan,1,Good,Good,0
10600402,Snowy - Monaro,10600402,Snowy - Monaro,1,Good,Good,0
10600501,Goulburn Mulwaree,10600501,Goulburn Mulwaree,1,Good,Good,0
10600502,Southern Tablelands,10600502,Southern Tablelands,1,Good,Good,0
10600503,Wingecaribee,10600503,Wingecaribee,1,Good,Good,0
10700101,Auburn,10700101,Auburn,1,Good,Good,0
10700201,Baulkham Hills,10700201,Baulkham Hills,1,Good,Good,0
10700301,Bidwill,10700301,Bidwill,1,Good,Good,0
10700302,Blackett,10700302,Blackett,1,Good,Good,0
10700303,Blacktown - North,10700303,Blacktown - North,1,Good,Good,0
10700304,Blacktown - South,10700304,Blacktown - South,1,Good,Good,0
10700305,Dharruk,10700305,Dharruk,1,Good,Good,0
10700306,Doonside - Woodcroft,10700306,Doonside - Woodcroft,1,Good,Good,0
10700307,Emerton,10700307,Emerton,1,Good,Good,0
10700308,Glendenning,10700308,Glendenning,1,Good,Good,0
10700309,Hassall Grove - Oakhurst - Plumpton,10700309,Hassall Grove - Oakhurst - Plumpton,1,Good,Good,0
10700310,Hebersham,10700310,Hebersham,1,Good,Good,0
10700311,Kings Langley,10700311,Kings Langley,1,Good,Good,0
10700312,Lalor Park,10700312,Lalor Park,1,Good,Good,0
10700313,Lethbridge Park,10700313,Lethbridge Park,1,Good,Good,0
10700314,Marayong,10700314,Marayong,1,Good,Good,0
10700315,Mount Druitt - Whalan,10700315,Mount Druitt - Whalan,1,Good,Good,0
10700316,Parklea - Glenwood - Acacia Gardens,10700316,Parklea - Glenwood - Acacia Gardens,1,Good,Good,0
10700317,Quakers Hill,10700317,Quakers Hill,1,Good,Good,0
10700318,Rooty Hill,10700318,Rooty Hill,1,Good,Good,0
10700319,Shalvey - Willmot,10700319,Shalvey - Willmot,1,Good,Good,0
10700320,Tregear - Ropes Crossing,10700320,Tregear - Ropes Crossing,1,Good,Good,0
10700401,Blaxland - Glenbrook,10700401,Blaxland - Glenbrook,1,Good,Good,0
10700402,Blue Mountains -  Surrounds,10700402,Blue Mountains -  Surrounds,1,Good,Good,0
10700403,Katoomba,10700403,Katoomba,1,Good,Good,0
10700404,Lawson,10700404,Lawson,1,Good,Good,0
10700405,Springwood,10700405,Springwood,1,Good,Good,0
10700501,Botany Bay,10700501,Botany Bay,1,Good,Good,0
10700601,Camden,10700601,Camden,1,Good,Good,0
10700701,Airds,10700701,Airds,1,Good,Good,0
10700702,Ambarvale - Glen Alpine,10700702,Ambarvale - Glen Alpine,1,Good,Good,0
10700703,Bradbury,10700703,Bradbury,1,Good,Good,0
10700704,Campbelltown - Surrounds,10700704,Campbelltown - Surrounds,1,Good,Good,0
10700705,Campbelltown - Woodbine - Leumeah,10700705,Campbelltown - Woodbine - Leumeah,1,Good,Good,0
10700706,Claymore - Eagle Vale,10700706,Claymore - Eagle Vale,1,Good,Good,0
10700707,Ingleburn - Denham Court,10700601,Camden,3.20E-06,Good,Good,1
10700707,Ingleburn - Denham Court,10700707,Ingleburn - Denham Court,0.9999968,Good,Good,0
10700708,Macquarie Fields - Glenfield,10700708,Macquarie Fields - Glenfield,1,Good,Good,0
10700709,Minto,10700709,Minto,1,Good,Good,0
10700710,Raby - St Andrews - Kearns,10700710,Raby - St Andrews - Kearns,1,Good,Good,0
10700711,Rosemeadow,10700711,Rosemeadow,1,Good,Good,0
10700712,Ruse,10700712,Ruse,1,Good,Good,0
10700713,St Helens Park,10700713,St Helens Park,1,Good,Good,0
10700801,Bankstown - North-East,10700801,Bankstown - North-East,1,Good,Good,0
10700802,Bankstown - North-West,10700802,Bankstown - North-West,1,Good,Good,0
10700803,Bankstown - South,10700803,Bankstown - South,1,Good,Good,0
10700804,Canterbury,10700804,Canterbury,1,Good,Good,0
10700901,Fairfield - East,10700901,Fairfield - East,1,Good,Good,0
