LOCALITY_PID,LOCALITY_NAME,LGA_CODE_2021,LGA_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
NSW1134,CROOKED CORNER,17640,Upper Lachlan Shire,1,Good,Good,0
NSW1135,CROOKWELL,17640,Upper Lachlan Shire,1,Good,Good,0
NSW1136,CROOM,14400,Kiama,0.3423399,Good,Good,0
NSW1136,CROOM,16900,Shellharbour,0.6576601,Good,Good,0
NSW1137,CROPPA CREEK,13660,Gwydir,0.9112164,Good,Good,0
NSW1137,CROPPA CREEK,15300,Moree Plains,0.0887836,Good,Good,0
NSW1138,CROSS ROADS,15270,Mid-Western Regional,1,Good,Good,0
NSW1139,CROSSLANDS,16380,Port Macquarie-Hastings,1,Good,Good,0
NSW114,AVOCA BEACH,11650,Central Coast (NSW),1,Good,Good,0
NSW1140,CROUDACE BAY,14650,Lake Macquarie,1,Good,Good,0
NSW1142,CROWDY HEAD,15240,Mid-Coast,1,Good,Good,0
NSW1143,CROWS NEST,15950,North Sydney,1,Good,Good,0
NSW1144,CROWTHER,13910,Hilltops,1,Good,Good,0
NSW1145,CROWTHER ISLAND,11730,Clarence Valley,1,Good,Good,0
NSW1146,CROYDON,11300,Burwood,0.6040501,Acceptable,Good,0
NSW1146,CROYDON,14170,Inner West,0.3959499,Good,Good,0
NSW1147,CROYDON PARK,11300,Burwood,0.5418678,Acceptable,Good,0
NSW1147,CROYDON PARK,11570,Canterbury-Bankstown,0.3808096,Good,Good,0
NSW1147,CROYDON PARK,14170,Inner West,0.0773226,Good,Good,0
NSW1148,CRUDINE,10470,Bathurst Regional,0.5998834,Good,Good,0
NSW1148,CRUDINE,15270,Mid-Western Regional,0.4001166,Good,Good,0
NSW1149,CRYON,17900,Walgett,1,Good,Good,0
NSW115,AVON,18350,Wingecarribee,0.7,Good,Good,0
NSW115,AVON,18450,Wollongong,0.3,Good,Good,0
NSW1150,CRYSTAL CREEK,17550,Tweed,1,Good,Good,0
NSW1151,CUBBA,11750,Cobar,1,Good,Good,0
NSW1152,CUDAL,11400,Cabonne,1,Good,Good,0
NSW1153,CUDGEGONG,15270,Mid-Western Regional,1,Good,Good,0
NSW1154,CUDGEL,14750,Leeton,1,Good,Good,0
NSW1155,CUDGEN,17550,Tweed,1,Good,Good,0
NSW1156,CUDGERA CREEK,17550,Tweed,1,Good,Good,0
NSW1157,CUDMIRRAH,16950,Shoalhaven,1,Good,Good,0
NSW1158,CULBURRA BEACH,16950,Shoalhaven,1,Good,Good,0
NSW1159,CULCAIRN,13340,Greater Hume Shire,1,Good,Good,0
NSW116,AVONDALE,18450,Wollongong,1,Good,Good,0
NSW1160,CULLEN BULLEN,14870,Lithgow,1,Good,Good,0
NSW1161,CULLENBONE,15270,Mid-Western Regional,1,Good,Good,0
NSW1162,CULLENDORE,17400,Tenterfield,1,Good,Good,0
NSW1163,CULLERIN,17640,Upper Lachlan Shire,1,Good,Good,0
NSW1164,CULLIVEL,14950,Lockhart,1,Good,Good,0
NSW1165,CULMARAN CREEK,14550,Kyogle,1,Good,Good,0
NSW1166,CUMBALUM,10250,Ballina,1,Good,Good,0
NSW1167,CUMBANDRY,15270,Mid-Western Regional,1,Good,Good,0
NSW1168,CUMBERLAND REACH,13800,Hawkesbury,1,Good,Good,0
NSW117,AVONSIDE,17040,Snowy Monaro Regional,1,Good,Good,0
NSW1170,CUMBO,15270,Mid-Western Regional,1,Good,Good,0
NSW1171,CUMBORAH,17900,Walgett,1,Good,Good,0
NSW1172,CUMNOCK,11400,Cabonne,1,Good,Good,0
NSW1173,CUNDLE FLAT,15240,Mid-Coast,1,Good,Good,0
NSW1174,CUNDLETOWN,15240,Mid-Coast,1,Good,Good,0
NSW1175,CUNDUMBUL,12390,Dubbo Regional,1,Good,Good,0
NSW1176,CUNJURONG POINT,16950,Shoalhaven,1,Good,Good,0
NSW1177,CUNNINYEUK,15520,Murray River,1,Good,Good,0
NSW1178,CURBAN,12950,Gilgandra,1,Good,Good,0
NSW1179,CURL CURL,15990,Northern Beaches,1,Good,Good,0
NSW118,AWABA,14650,Lake Macquarie,1,Good,Good,0
NSW1180,CURLEW WATERS,14600,Lachlan,1,Good,Good,0
NSW1181,CURLEWIS,13550,Gunnedah,1,Good,Good,0
NSW1182,CURLWAA,18200,Wentworth,1,Good,Good,0
NSW1183,CURRA CREEK,12390,Dubbo Regional,1,Good,Good,0
NSW1184,CURRABUBULA,14920,Liverpool Plains,0.9934603,Good,Good,0
NSW1184,CURRABUBULA,17310,Tamworth Regional,0.0065397,Good,Good,1
NSW1185,CURRAGH,10470,Bathurst Regional,1,Good,Good,0
NSW1186,CURRAMORE,14400,Kiama,1,Good,Good,0
NSW1187,CURRANS HILL,11450,Camden,1,Good,Good,0
NSW1188,CURRARONG,16950,Shoalhaven,1,Good,Good,0
NSW1189,CURRAWANG,13310,Goulburn Mulwaree,0.1762612,Good,Good,0
NSW1189,CURRAWANG,16490,Queanbeyan-Palerang Regional,0.8083957,Good,Good,0
NSW1189,CURRAWANG,17640,Upper Lachlan Shire,0.0153431,Good,Good,0
NSW119,AYLMERTON,18350,Wingecarribee,1,Good,Good,0
NSW1190,CURRAWARNA,17750,Wagga Wagga,1,Good,Good,0
NSW1191,CURRICABARK,15240,Mid-Coast,1,Good,Good,0
NSW1192,CURROWAN,12750,Eurobodalla,0.6801652,Good,Good,0
NSW1192,CURROWAN,16950,Shoalhaven,0.3198348,Good,Good,0
NSW1193,CUTTABRI,15750,Narrabri,1,Good,Good,0
NSW1194,CUTTAGEE,10550,Bega Valley,1,Good,Good,0
NSW1195,DABEE,15270,Mid-Western Regional,1,Good,Good,0
NSW1196,DACEYVILLE,10500,Bayside (NSW),1,Good,Good,0
NSW1197,DAIRY FLAT,14550,Kyogle,1,Good,Good,0
NSW1198,DAIRYMANS PLAINS,17040,Snowy Monaro Regional,1,Good,Good,0
NSW1199,DALEYS POINT,11650,Central Coast (NSW),1,Good,Good,0
NSW12,ABERNETHY,11720,Cessnock,1,Good,Good,0
NSW120,BAAN BAA,15750,Narrabri,1,Good,Good,0
NSW1200,DALGETY,17040,Snowy Monaro Regional,1,Good,Good,0
NSW1201,DALMENY,12750,Eurobodalla,1,Good,Good,0
NSW1202,DALMORTON,11730,Clarence Valley,1,Good,Good,0
NSW1203,DALSWINTON,15650,Muswellbrook,1,Good,Good,0
NSW1204,DALTON,17640,Upper Lachlan Shire,1,Good,Good,0
NSW1205,DALWOOD,17000,Singleton,1,Good,Good,0
NSW1206,DALWOOD,10250,Ballina,1,Good,Good,0
NSW1207,DANDALOO,15850,Narromine,1,Good,Good,0
NSW1208,DANDRY,18020,Warrumbungle Shire,1,Good,Good,0
NSW1209,DANGAR ISLAND,14000,Hornsby,1,Acceptable,Good,0
NSW121,BABINDA,10950,Bogan,1,Good,Good,0
NSW1210,DANGARSLEIGH,10180,Armidale Regional,0.9999174,Good,Good,0
NSW1210,DANGARSLEIGH,17650,Uralla,8.26E-05,Good,Good,1
NSW1211,DANGELONG,17040,Snowy Monaro Regional,1,Good,Good,0
NSW1212,DAPTO,18450,Wollongong,1,Good,Good,0
NSW1213,DARAWANK,15240,Mid-Coast,1,Good,Good,0
NSW1214,DARBALARA,12160,Cootamundra-Gundagai Regional,1,Good,Good,0
