SA1_CODE_2021,SED_CODE_2022,SED_NAME_2022,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
10804162013,10067,Port Macquarie,1,Good,Good,3
10804162014,10067,Port Macquarie,1,Good,Good,3
10804162015,10067,Port Macquarie,1,Good,Good,3
10804162016,10067,Port Macquarie,1,Good,Good,3
10804162017,10067,Port Macquarie,1,Good,Good,3
10804162018,10067,Port Macquarie,1,Good,Good,3
10804162019,10067,Port Macquarie,1,Good,Good,3
10804162020,10067,Port Macquarie,1,Good,Good,3
10804162021,10067,Port Macquarie,1,Good,Good,3
10804162022,10067,Port Macquarie,1,Good,Good,3
10804162023,10067,Port Macquarie,1,Good,Good,3
10804162024,10067,Port Macquarie,1,Good,Good,3
10804162025,10067,Port Macquarie,1,Good,Good,3
10804162026,10067,Port Macquarie,1,Good,Good,3
10804162027,10067,Port Macquarie,1,Good,Good,3
10804162028,10067,Port Macquarie,1,Good,Good,3
10804162029,10067,Port Macquarie,1,Good,Good,3
10804162030,10067,Port Macquarie,1,Good,Good,3
10804162031,10067,Port Macquarie,1,Good,Good,3
10804162032,10067,Port Macquarie,1,Good,Good,3
10804162033,10067,Port Macquarie,1,Good,Good,3
10804162034,10067,Port Macquarie,1,Good,Good,3
10804162035,10067,Port Macquarie,1,Good,Good,3
10804162036,10067,Port Macquarie,1,Good,Good,3
10804162037,10067,Port Macquarie,1,Good,Good,3
10804162038,10067,Port Macquarie,1,Good,Good,3
10804162039,10067,Port Macquarie,1,Good,Good,3
10804162040,10067,Port Macquarie,1,Good,Good,3
10804162041,10067,Port Macquarie,1,Good,Good,3
10804162042,10067,Port Macquarie,1,Good,Good,3
10804162043,10067,Port Macquarie,1,Good,Good,3
10805116701,10083,Upper Hunter,1,Good,Good,3
10805116702,10083,Upper Hunter,1,Good,Good,3
10805116703,10083,Upper Hunter,1,Good,Good,3
10805116704,10083,Upper Hunter,1,Good,Good,3
10805116705,10083,Upper Hunter,1,Good,Good,3
10805116706,10083,Upper Hunter,1,Good,Good,3
10805116707,10083,Upper Hunter,1,Good,Good,3
10805116708,10083,Upper Hunter,1,Good,Good,3
10805116709,10083,Upper Hunter,1,Good,Good,3
10805116710,10083,Upper Hunter,1,Good,Good,3
10805116711,10083,Upper Hunter,1,Good,Good,3
10805116712,10083,Upper Hunter,1,Good,Good,3
10805116713,10083,Upper Hunter,1,Good,Good,3
10805116714,10083,Upper Hunter,1,Good,Good,3
10805116715,10083,Upper Hunter,1,Good,Good,3
10805116801,10056,Myall Lakes,1,Good,Good,3
10805116802,10056,Myall Lakes,1,Good,Good,3
10805116803,10056,Myall Lakes,1,Good,Good,3
10805116804,10056,Myall Lakes,1,Good,Good,3
10805116807,10056,Myall Lakes,1,Good,Good,3
10805116808,10056,Myall Lakes,1,Good,Good,3
10805116809,10056,Myall Lakes,1,Good,Good,3
10805116810,10056,Myall Lakes,1,Good,Good,3
10805116811,10056,Myall Lakes,1,Good,Good,3
10805116812,10056,Myall Lakes,1,Good,Good,3
10805116813,10056,Myall Lakes,1,Good,Good,3
10805116814,10056,Myall Lakes,1,Good,Good,3
10805116815,10056,Myall Lakes,1,Good,Good,3
10805116816,10056,Myall Lakes,1,Good,Good,3
10805116817,10056,Myall Lakes,1,Good,Good,3
10805116818,10056,Myall Lakes,1,Good,Good,3
10805116819,10056,Myall Lakes,1,Good,Good,3
10805116820,10056,Myall Lakes,1,Good,Good,3
10805116821,10056,Myall Lakes,1,Good,Good,3
10805116822,10056,Myall Lakes,1,Good,Good,3
10805116823,10056,Myall Lakes,1,Good,Good,3
10805116824,10056,Myall Lakes,1,Good,Good,3
10805116825,10056,Myall Lakes,1,Good,Good,3
10805116827,10056,Myall Lakes,1,Good,Good,3
10805116828,10056,Myall Lakes,1,Good,Good,3
10805116829,10056,Myall Lakes,1,Good,Good,3
10805116830,10056,Myall Lakes,1,Good,Good,3
10805116831,10056,Myall Lakes,1,Good,Good,3
10805116832,10056,Myall Lakes,1,Good,Good,3
10805116833,10056,Myall Lakes,1,Good,Good,3
10805116834,10056,Myall Lakes,1,Good,Good,3
10805116901,10056,Myall Lakes,1,Good,Good,3
10805116902,10056,Myall Lakes,1,Good,Good,3
10805116903,10056,Myall Lakes,1,Good,Good,3
