SA2_MAINCODE_2016,SA2_NAME_2016,SED_CODE_2021,SED_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
309101267,Benowa,30078,Southport,0.677647,Acceptable,Acceptable,0
309101267,Benowa,30082,Surfers Paradise,0.322353,Acceptable,Acceptable,0
309101268,Bundall,30078,Southport,0.3101084,Acceptable,Acceptable,0
309101268,Bundall,30082,Surfers Paradise,0.6898916,Acceptable,Acceptable,0
309101269,Main Beach,30082,Surfers Paradise,1,Acceptable,Acceptable,0
309101270,Surfers Paradise,30082,Surfers Paradise,1,Acceptable,Acceptable,0
310011271,Darra - Sumner,30036,Inala,0.0012317,Good,Acceptable,1
310011271,Darra - Sumner,30058,Mount Ommaney,0.9987683,Good,Acceptable,0
310011272,Durack,30036,Inala,1,Good,Acceptable,0
310011273,Forest Lake - Doolandella,30036,Inala,0.9776107,Good,Acceptable,0
310011273,Forest Lake - Doolandella,30001,Algester,0.0223893,Poor,Acceptable,0
310011274,Inala - Richlands,30036,Inala,1,Good,Acceptable,0
310011275,Oxley (Qld),30058,Mount Ommaney,0.8793191,Good,Acceptable,0
310011275,Oxley (Qld),30036,Inala,0.1206809,Good,Acceptable,0
310011276,Wacol,30036,Inala,1,Good,Acceptable,0
310021277,Boonah,30075,Scenic Rim,1,Acceptable,Acceptable,0
310021278,Esk,30063,Nanango,1,Good,Acceptable,0
310021279,Lake Manchester - England Creek,30056,Moggill,1,Good,Acceptable,0
310021280,Lockyer Valley - East,30043,Lockyer,1,Good,Acceptable,0
310021281,Lowood,30063,Nanango,0.1799233,Good,Acceptable,0
310021281,Lowood,30043,Lockyer,0.8200767,Good,Acceptable,0
310021282,Rosewood,30075,Scenic Rim,0.2916346,Acceptable,Acceptable,0
310021282,Rosewood,30038,Ipswich West,0.7083654,Good,Acceptable,0
310031283,Brassall,30038,Ipswich West,1,Good,Acceptable,0
310031284,Bundamba,30010,Bundamba,0.9908582,Good,Acceptable,0
310031284,Bundamba,30037,Ipswich,0.0091418,Good,Acceptable,1
310031285,Churchill - Yamanto,30037,Ipswich,0.275864,Good,Acceptable,0
310031285,Churchill - Yamanto,30038,Ipswich West,0.724136,Good,Acceptable,0
310031286,Ipswich - Central,30037,Ipswich,1,Good,Acceptable,0
310031287,Ipswich - East,30037,Ipswich,1,Good,Acceptable,0
310031288,Ipswich - North,30038,Ipswich West,1,Good,Acceptable,0
310031289,Karalee - Barellan Point,30038,Ipswich West,1,Good,Acceptable,0
310031290,Karana Downs,30056,Moggill,1,Good,Acceptable,0
310031291,Leichhardt - One Mile,30038,Ipswich West,1,Good,Acceptable,0
310031292,North Ipswich - Tivoli,30038,Ipswich West,1,Good,Acceptable,0
310031293,Raceview,30037,Ipswich,1,Good,Acceptable,0
310031294,Ripley,30010,Bundamba,0.1248722,Good,Acceptable,0
310031294,Ripley,30075,Scenic Rim,0.0241638,Acceptable,Acceptable,0
310031294,Ripley,30037,Ipswich,0.850964,Good,Acceptable,0
310031295,Riverview,30010,Bundamba,1,Good,Acceptable,0
310041296,Bellbird Park - Brookwater,30039,Jordan,0.5475865,Acceptable,Acceptable,0
310041296,Bellbird Park - Brookwater,30010,Bundamba,0.4524135,Good,Acceptable,0
310041297,Camira - Gailes,30039,Jordan,0.9999989,Acceptable,Acceptable,0
310041297,Camira - Gailes,30036,Inala,0.0000011,Good,Acceptable,1
310041298,Carole Park,30039,Jordan,1,Acceptable,Acceptable,0
310041299,Collingwood Park - Redbank,30010,Bundamba,1,Good,Acceptable,0
310041300,Goodna,30010,Bundamba,1,Good,Acceptable,0
310041301,New Chum,30010,Bundamba,1,Good,Acceptable,0
310041302,Redbank Plains,30010,Bundamba,1,Good,Acceptable,0
310041303,Springfield,30039,Jordan,1,Acceptable,Acceptable,0
