LGA_CODE_2018,LGA_NAME_2018,GCCSA_CODE_2021,GCCSA_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
50210,Armadale (C),5GPER,Greater Perth,1,Good,Good,0
50250,Ashburton (S),5RWAU,Rest of WA,1,Good,Good,0
50280,Augusta-Margaret River (S),5RWAU,Rest of WA,1,Good,Good,0
50350,Bassendean (T),5GPER,Greater Perth,1,Good,Good,0
50420,Bayswater (C),5GPER,Greater Perth,1,Good,Good,0
50490,Belmont (C),5GPER,Greater Perth,1,Good,Good,0
50560,Beverley (S),5RWAU,Rest of WA,1,Good,Good,0
50630,Boddington (S),5RWAU,Rest of WA,1,Good,Good,0
50770,Boyup Brook (S),5RWAU,Rest of WA,1,Good,Good,0
50840,Bridgetown-Greenbushes (S),5RWAU,Rest of WA,1,Good,Good,0
50910,Brookton (S),5RWAU,Rest of WA,1,Good,Good,0
50980,Broome (S),5RWAU,Rest of WA,1,Good,Good,0
51080,Broomehill-Tambellup (S),5RWAU,Rest of WA,1,Good,Good,0
51120,Bruce Rock (S),5RWAU,Rest of WA,1,Good,Good,0
51190,Bunbury (C),5RWAU,Rest of WA,1,Good,Good,0
51260,Busselton (C),5RWAU,Rest of WA,1,Good,Good,0
51310,Cambridge (T),5GPER,Greater Perth,1,Good,Good,0
51330,Canning (C),5GPER,Greater Perth,1,Good,Good,0
51400,Capel (S),5RWAU,Rest of WA,1,Good,Good,0
51470,Carnamah (S),5RWAU,Rest of WA,1,Good,Good,0
51540,Carnarvon (S),5RWAU,Rest of WA,1,Good,Good,0
51610,Chapman Valley (S),5RWAU,Rest of WA,1,Good,Good,0
51680,Chittering (S),5RWAU,Rest of WA,1,Good,Good,0
51750,Claremont (T),5GPER,Greater Perth,1,Good,Good,0
51820,Cockburn (C),5GPER,Greater Perth,1,Good,Good,0
51890,Collie (S),5RWAU,Rest of WA,1,Good,Good,0
51960,Coolgardie (S),5RWAU,Rest of WA,1,Good,Good,0
52030,Coorow (S),5RWAU,Rest of WA,1,Good,Good,0
52100,Corrigin (S),5RWAU,Rest of WA,1,Good,Good,0
