SSC_CODE_2016,SSC_NAME_2016,SAL_CODE_2021,SAL_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
10231,Bathurst,10231,Bathurst,1,Good,Good,0
10232,Batlow,10232,Batlow,1,Good,Good,0
10233,Baulkham Hills,10233,Baulkham Hills,0.9542096,Good,Good,0
10233,Baulkham Hills,13036,Norwest,0.0457904,Poor,Good,0
10234,Baw Baw (NSW),10234,Baw Baw (NSW),1,Good,Good,0
10235,Bawley Point,10235,Bawley Point,1,Good,Good,0
10236,Baxters Ridge,10236,Baxters Ridge,1,Good,Good,0
10237,Bayview (NSW),10237,Bayview (NSW),1,Good,Good,0
10238,Beacon Hill,10238,Beacon Hill,1,Good,Good,0
10239,Beaconsfield (NSW),10030,Alexandria,0.0244466,Good,Good,0
10239,Beaconsfield (NSW),10239,Beaconsfield (NSW),0.9755534,Good,Good,0
10240,Bean Creek,10240,Bean Creek,1,Good,Good,0
10241,Bearbong,10241,Bearbong,1,Good,Good,0
10242,Beaumont (NSW),10242,Beaumont (NSW),1,Good,Good,0
10243,Beaumont Hills,10243,Beaumont Hills,1,Good,Good,0
10244,Beckom,10244,Beckom,1,Good,Good,0
10245,Bective,10245,Bective,1,Good,Good,0
10246,Bectric,10246,Bectric,1,Good,Good,0
10247,Bedgerabong,10247,Bedgerabong,1,Good,Good,0
10248,Beechwood,10248,Beechwood,1,Good,Good,0
10249,Beecroft,10249,Beecroft,1,Good,Good,0
10250,Beecroft Peninsula,10250,Beecroft Peninsula,1,Good,Good,0
10251,Beelbangera,10251,Beelbangera,1,Good,Good,0
10252,Beemunnel,10252,Beemunnel,1,Good,Good,0
10253,Bega,10253,Bega,1,Good,Good,0
10254,Beggan Beggan,10254,Beggan Beggan,1,Good,Good,0
10255,Belanglo,10255,Belanglo,1,Good,Good,0
10256,Belbora,10256,Belbora,1,Good,Good,0
10257,Belfield,10257,Belfield,1,Good,Good,0
10258,Belford,10258,Belford,1,Good,Good,0
10259,Belfrayden,10259,Belfrayden,1,Good,Good,0
10260,Belgravia,10260,Belgravia,1,Good,Good,0
10261,Belimbla Park,10261,Belimbla Park,1,Good,Good,0
10262,Bell (NSW),10262,Bell (NSW),1,Good,Good,0
10263,Bella Vista,10263,Bella Vista,1,Good,Good,0
10264,Bellambi,10264,Bellambi,1,Good,Good,0
10265,Bellangry,10265,Bellangry,1,Good,Good,0
10266,Bellata,10266,Bellata,1,Good,Good,0
10267,Bellawongarah,10267,Bellawongarah,1,Good,Good,0
10268,Bellbird,10268,Bellbird,1,Good,Good,0
10269,Bellbird Heights,10269,Bellbird Heights,1,Good,Good,0
10270,Bellbrook,10270,Bellbrook,1,Good,Good,0
10271,Bellevue Hill,10271,Bellevue Hill,1,Good,Good,0
10272,Bellimbopinni,10272,Bellimbopinni,1,Good,Good,0
10273,Bellingen,10273,Bellingen,0.9828073,Good,Good,0
10273,Bellingen,11975,Hydes Creek,0.0171927,Poor,Good,0
10274,Bellmount Forest,10274,Bellmount Forest,1,Good,Good,0
10275,Belltrees,10275,Belltrees,1,Good,Good,0
10276,Belmont (NSW),10276,Belmont (NSW),1,Good,Good,0
10277,Belmont North,10277,Belmont North,1,Good,Good,0
10278,Belmont South,10278,Belmont South,1,Good,Good,0
10279,Belmore,10279,Belmore,1,Good,Good,0
10280,Belmore River,10280,Belmore River,1,Good,Good,0
10281,Beloka,10281,Beloka,1,Good,Good,0
10282,Belowra,10282,Belowra,1,Good,Good,0
10283,Belrose,10283,Belrose,1,Good,Good,0
10284,Bemboka,10284,Bemboka,1,Good,Good,0
10285,Ben Bullen,10285,Ben Bullen,1,Good,Good,0
10286,Ben Lomond (NSW),10286,Ben Lomond (NSW),1,Good,Good,0
10287,Benandarah,10287,Benandarah,1,Good,Good,0
10288,Bendalong,10288,Bendalong,1,Good,Good,0
10289,Bendemeer,10289,Bendemeer,1,Good,Good,0
10290,Bendick Murrell,10290,Bendick Murrell,1,Good,Good,0
10291,Bendolba,10291,Bendolba,1,Good,Good,0
10292,Bendoura,10292,Bendoura,1,Good,Good,0
10293,Benerembah,10293,Benerembah,1,Good,Good,0
10294,Bengalla,10294,Bengalla,1,Good,Good,0
10295,Bennetts Green,10295,Bennetts Green,0.799867,Acceptable,Good,0
10295,Bennetts Green,11598,Gateshead,0.200133,Good,Good,0
10296,Benolong,10296,Benolong,1,Good,Good,0
10297,Bensville,10297,Bensville,1,Good,Good,0
10298,Bentley (NSW),10298,Bentley (NSW),1,Good,Good,0
10299,Berala,10299,Berala,1,Good,Good,0
10300,Berambing,10300,Berambing,1,Good,Good,0
10301,Beresfield,10301,Beresfield,1,Good,Good,0
10302,Bergalia,10302,Bergalia,1,Good,Good,0
10303,Berkeley,10303,Berkeley,1,Good,Good,0
10304,Berkeley Vale,10304,Berkeley Vale,1,Good,Good,0
10305,Berkshire Park,10305,Berkshire Park,1,Good,Good,0
10306,Berlang,10306,Berlang,1,Good,Good,0
10307,Bermagui,10307,Bermagui,1,Good,Good,0
10308,Berowra,10308,Berowra,1,Good,Good,0
10309,Berowra Creek,10310,Berowra Waters,1,Good,Good,0
10310,Berowra Heights,10309,Berowra Heights,1,Good,Good,0
10311,Berowra Waters,10310,Berowra Waters,1,Good,Good,0
10312,Berrambool,10311,Berrambool,1,Good,Good,0
10313,Berrara,10312,Berrara,1,Good,Good,0
10314,Berremangra,10313,Berremangra,1,Good,Good,0
10315,Berrico,10314,Berrico,1,Good,Good,0
10316,Berridale,10315,Berridale,1,Good,Good,0
10317,Berrigal,10316,Berrigal,1,Good,Good,0
10318,Berrigan,10317,Berrigan,1,Good,Good,0
10319,Berrilee,10318,Berrilee,1,Good,Good,0
10320,Berrima,10319,Berrima,1,Good,Good,0
10321,Berringer Lake,10320,Berringer Lake,1,Good,Good,0
10322,Berry,10321,Berry,1,Good,Good,0
10323,Berry Jerry,10322,Berry Jerry,1,Good,Good,0
10324,Berry Mountain,10323,Berry Mountain,1,Good,Good,0
10325,Berry Park,10324,Berry Park,1,Good,Good,0
10326,Berthong,10325,Berthong,1,Good,Good,0
10327,Beryl,10326,Beryl,1,Good,Good,0
10328,Bethungra,10327,Bethungra,1,Good,Good,0
10329,Bevendale,10328,Bevendale,1,Good,Good,0
10330,Beverley Park,10329,Beverley Park,1,Good,Good,0
10331,Beverly Hills,10330,Beverly Hills,1,Good,Good,0
10332,Bewong,10331,Bewong,1,Good,Good,0
10333,Bexhill,10332,Bexhill,1,Good,Good,0
10334,Bexley,10333,Bexley,0.9951249,Good,Good,0
10334,Bexley,10334,Bexley North,0.0048751,Good,Good,1
10335,Bexley North,10334,Bexley North,1,Good,Good,0
10336,Biala,10335,Biala,1,Good,Good,0
10337,Bibbenluke,10336,Bibbenluke,1,Good,Good,0
10338,Biddon,10337,Biddon,1,Good,Good,0
10339,Bidgeemia,10338,Bidgeemia,1,Good,Good,0
10340,Bidwill (NSW),10339,Bidwill (NSW),1,Good,Good,0
10341,Bielsdown Hills,10340,Bielsdown Hills,1,Good,Good,0
10342,Big Hill (NSW),10341,Big Hill (NSW),1,Good,Good,0
10343,Big Jacks Creek,10342,Big Jacks Creek,1,Good,Good,0
10344,Big Ridge,10343,Big Ridge,1,Good,Good,0
10345,Big Springs,10344,Big Springs,1,Good,Good,0
10346,Bigga,10345,Bigga,1,Good,Good,0
10347,Bilambil,10346,Bilambil,1,Good,Good,0
10348,Bilambil Heights,10347,Bilambil Heights,1,Good,Good,0
10349,Bilbul,10348,Bilbul,1,Good,Good,0
10350,Bilgola Beach,10349,Bilgola Beach,1,Good,Good,0
10351,Bilgola Plateau,10350,Bilgola Plateau,1,Good,Good,0
10352,Billeroy,10351,Billeroy,1,Good,Good,0
10353,Billilingra,10352,Billilingra,1,Good,Good,0
