UCL_CODE_2016,UCL_NAME_2016,UCL_CODE_2021,UCL_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
115103,Narooma,131001,Remainder of State/Territory (NSW),0.0111174,Good,Good,0
115103,Narooma,115109,Narooma,0.9888826,Good,Good,0
115104,Narrandera,115110,Narrandera,1,Good,Good,0
115105,Narromine,115111,Narromine,1,Good,Good,0
115106,Nyngan,115113,Nyngan,1,Good,Good,0
115107,Oberon,115114,Oberon,1,Good,Good,0
115108,Ocean Shores,115115,Ocean Shores,1,Good,Good,0
115109,Old Bar,131001,Remainder of State/Territory (NSW),0.0006524,Good,Good,1
115109,Old Bar,115116,Old Bar,0.9993476,Good,Good,0
115110,Old Erowal Bay,131001,Remainder of State/Territory (NSW),0.0507611,Good,Good,0
115110,Old Erowal Bay,115117,Old Erowal Bay,0.9492389,Good,Good,0
115111,Pambula,115118,Pambula,1,Good,Good,0
115112,Picton,115119,Picton,1,Good,Good,0
115113,Pitt Town,115120,Pitt Town,1,Good,Good,0
115114,Portland (NSW),115121,Portland (NSW),1,Good,Good,0
115115,Quirindi,115122,Quirindi,1,Good,Good,0
115116,Richmond North,114026,Richmond North,1,Good,Good,0
115117,Robertson,115123,Robertson,1,Good,Good,0
115118,Sandy Beach - Emerald Beach,115124,Sandy Beach - Emerald Beach,1,Good,Good,0
115119,Scone,114028,Scone,1,Good,Good,0
115120,Shoalhaven Heads,115125,Shoalhaven Heads,1,Good,Good,0
115121,Silverdale - Warragamba,114029,Silverdale - Warragamba,1,Good,Good,0
115122,Skennars Head,115126,Skennars Head,1,Good,Good,0
115123,Smiths Lake,115127,Smiths Lake,1,Good,Good,0
115124,South Golden Beach,115128,South Golden Beach,1,Good,Good,0
115125,Stanwell Park,115129,Stanwell Park,1,Acceptable,Good,0
115126,Sussex Inlet,115130,Sussex Inlet,1,Good,Good,0
115127,Tahmoor,114032,Tahmoor,1,Good,Good,0
115128,Tanilba Bay,115131,Tanilba Bay,1,Good,Good,0
115129,Tathra,115132,Tathra,1,Good,Good,0
115130,Tea Gardens,115133,Tea Gardens,1,Good,Good,0
115131,Temora,115134,Temora,1,Good,Good,0
115132,Tenterfield,115135,Tenterfield,1,Good,Good,0
115133,The Oaks,115136,The Oaks,1,Good,Good,0
115134,Thirlmere,115137,Thirlmere,1,Good,Good,0
115135,Tocumwal,115139,Tocumwal,1,Good,Good,0
115136,Tomakin,115140,Tomakin,1,Good,Good,0
115137,Tumbarumba,115141,Tumbarumba,1,Good,Good,0
115138,Tuross Head,131001,Remainder of State/Territory (NSW),0.0179408,Good,Good,0
115138,Tuross Head,115142,Tuross Head,0.9820592,Good,Good,0
115139,Uralla,115143,Uralla,1,Good,Good,0
115140,Urunga,115144,Urunga,1,Good,Good,0
115141,Valla Beach,115145,Valla Beach,1,Good,Good,0
115142,Vincentia,115146,Vincentia,1,Good,Good,0
115143,Walcha,115148,Walcha,1,Good,Good,0
115144,Walgett,115149,Walgett,1,Good,Good,0
115145,Wallacia,115150,Wallacia,1,Good,Good,0
115146,Wallerawang,115151,Wallerawang,1,Good,Good,0
115147,Warialda,115152,Warialda,1,Good,Good,0
115148,Warren,115153,Warren,1,Good,Good,0
115149,Wee Waa,115154,Wee Waa,1,Good,Good,0
115150,Wellington,115155,Wellington,1,Good,Good,0
115151,Wentworth,115156,Wentworth,1,Good,Good,0
115152,Werris Creek,115157,Werris Creek,1,Good,Good,0
115153,West Wyalong,115158,West Wyalong,1,Good,Good,0
115154,Wilberforce,131001,Remainder of State/Territory (NSW),0.0735023,Good,Good,0
115154,Wilberforce,115159,Wilberforce,0.9264977,Good,Good,0
115155,Wilton,115160,Wilton,1,Poor,Good,0
115156,Wingham,115161,Wingham,1,Good,Good,0
115157,Wollongbar,115162,Wollongbar,1,Acceptable,Good,0
115158,Woolgoolga,114035,Woolgoolga,1,Good,Good,0
115159,Wyee,115163,Wyee,1,Good,Good,0
115160,Wyee Point,115164,Wyee Point,1,Good,Good,0
115161,Yenda,115165,Yenda,1,Good,Good,0
121001,Adelong (L),121001,Adelong (L),1,Good,Good,0
121002,Baradine (L),121002,Baradine (L),1,Good,Good,0
121003,Bawley Point (L),131001,Remainder of State/Territory (NSW),0.1020485,Good,Good,0
121003,Bawley Point (L),121003,Bawley Point (L),0.8979515,Acceptable,Good,0
121004,Beechwood (L),121004,Beechwood (L),1,Good,Good,0
121005,Belimbla Park (L),121005,Belimbla Park (L),1,Good,Good,0
121006,Berrara - Cudmirrah (L),121006,Berrara - Cudmirrah (L),1,Good,Good,0
121007,Berridale (L),115016,Berridale,1,Good,Good,0
121008,Berrigan (L),121007,Berrigan (L),1,Good,Good,0
121009,Boggabilla (L),121008,Boggabilla (L),1,Good,Good,0
121010,Boggabri (L),121009,Boggabri (L),1,Good,Good,0
121011,Bowraville (L),121011,Bowraville (L),1,Good,Good,0
121012,Brandy Hill (L),121012,Brandy Hill (L),1,Good,Good,0
121013,Brewarrina (L),121013,Brewarrina (L),1,Good,Good,0
121014,Brooklyn (L),121015,Brooklyn (L),1,Good,Good,0
121015,Burringbar (L),121016,Burringbar (L),1,Good,Good,0
121016,Clarence Town (L),121018,Clarence Town (L),1,Good,Good,0
121017,Clifton Grove (L),121019,Clifton Grove (L),1,Good,Good,0
121018,Clunes (L) (NSW),121020,Clunes (L) (NSW),1,Good,Good,0
121019,Coleambally (L),121021,Coleambally (L),1,Good,Good,0
121020,Coolah (L),121022,Coolah (L),1,Good,Good,0
121021,Coomba Park (L),121023,Coomba Park (L),1,Good,Good,0
121022,Coraki (L),115045,Coraki,1,Good,Good,0
121023,Coutts Crossing (L),121024,Coutts Crossing (L),1,Good,Good,0
121024,Cowan (L),121025,Cowan (L),1,Good,Good,0
121025,Crescent Head (L),121026,Crescent Head (L),1,Good,Good,0
121026,Cudgen (L),121027,Cudgen (L),1,Good,Good,0
121027,Cumbalum (L),115050,Cumbalum,1,Poor,Good,0
121028,Cunjurong Point - Manyana (L),121028,Cunjurong Point - Manyana (L),1,Good,Good,0
121029,Curlewis (L),121029,Curlewis (L),1,Good,Good,0
121030,Dareton (L),122048,Dareton (L),1,Good,Good,0
121031,Darlington Point (L),121030,Darlington Point (L),1,Good,Good,0
121032,Diamond Beach (L),121031,Diamond Beach (L),1,Good,Good,0
121033,Dunedoo (L),121032,Dunedoo (L),1,Good,Good,0
121034,East Jindabyne (L),121034,East Jindabyne (L),1,Good,Good,0
121035,Ellalong (L),121035,Ellalong (L),1,Good,Good,0
121036,Emerald Beach West (L),121036,Emerald Beach West (L),1,Good,Good,0
121037,Erowal Bay (L),121037,Erowal Bay (L),1,Good,Good,0
121038,Eugowra (L),121038,Eugowra (L),1,Good,Good,0
121039,Euston (L),122054,Euston (L),1,Good,Good,0
121040,Ewingsdale (L),121039,Ewingsdale (L),1,Good,Good,0
121041,Firgrove (L),121040,Firgrove (L),1,Good,Good,0
121042,Ganmain (L),121041,Ganmain (L),1,Good,Good,0
121043,Gerroa (L),121042,Gerroa (L),1,Good,Good,0
121044,Glenorie (L),121043,Glenorie (L),1,Good,Good,0
121045,Green Point (L),121045,Green Point (L),1,Good,Good,0
