LOCALITY_PID,LOCALITY_NAME,IARE_CODE_2021,IARE_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
NSW1026,CONNELLS POINT,107014,Hurstville - Kogarah,1,Acceptable,Good,0
NSW1027,CONSTITUTION HILL,107021,Parramatta,1,Acceptable,Good,0
NSW1028,COOGEE,107023,Randwick - La Perouse,1,Good,Good,0
NSW1029,COOKAMIDGERA,101005,Parkes,1,Good,Good,0
NSW103,ASQUITH,107012,Hornsby - Ku-ring-gai,1,Good,Good,0
NSW1030,COOKARDINIA,105020,Upper Murray,1,Good,Good,0
NSW1031,COOKS GAP,105016,Mudgee,1,Good,Good,0
NSW1032,COOKS HILL,104014,Newcastle,1,Good,Good,0
NSW1033,COOKS MYALLS,101005,Parkes,1,Good,Good,0
NSW1034,COOLABAH,101001,Bogan,1,Good,Good,0
NSW1035,COOLAC,105013,Gundagai - Junee - Harden,1,Good,Good,0
NSW1036,COOLAGOLITE,106001,Bega Valley,1,Good,Good,0
NSW1037,COOLAH,101007,Warrumbungle Shire,1,Good,Good,0
NSW1038,COOLAMON,105007,Coolamon - Temora - West Wyalong,1,Good,Good,0
NSW1039,COOLANGATTA,106003,Shoalhaven,1,Good,Good,0
NSW104,ATHOLWOOD,102005,Inverell - Gwydir,1,Good,Good,0
NSW1040,COOLANGUBRA,106001,Bega Valley,1,Good,Good,0
NSW1041,COOLATAI,102005,Inverell - Gwydir,1,Good,Good,0
NSW1043,COOLEMAN,105019,Tumut,1,Good,Good,0
NSW1044,COOLEYS CREEK,105019,Tumut,1,Good,Good,0
NSW1045,COOLGARDIE,104001,Ballina - Bagotville,1,Good,Good,0
NSW1046,COOLONGOLOOK,104008,Great Lakes,1,Good,Good,0
NSW1047,COOLRINGDON,106004,Snowy - Monaro,1,Good,Good,0
NSW1048,COOLUMBOOKA,106004,Snowy - Monaro,1,Good,Good,0
NSW1049,COOLUMBURRA,106003,Shoalhaven,1,Good,Good,0
NSW105,ATTUNGA,102011,Tamworth,1,Good,Good,0
NSW1050,COOMA,106004,Snowy - Monaro,1,Good,Good,0
NSW1051,COOMBA BAY,104008,Great Lakes,1,Good,Good,0
NSW1052,COOMBA PARK,104008,Great Lakes,1,Good,Good,0
NSW1053,COOMBADJHA,102002,Glen Innes,0.0009042,Good,Good,1
NSW1053,COOMBADJHA,104004,Clarence Valley,0.9990958,Good,Good,0
NSW1054,COOMBELL,104017,Richmond Valley,1,Good,Good,0
NSW1055,COOMOO COOMOO,102006,Liverpool Plains,1,Good,Good,0
NSW1056,COONABARABRAN,101007,Warrumbungle Shire,1,Good,Good,0
NSW1057,COONAMBLE,103004,Coonamble,1,Good,Good,0
NSW1058,COONGBAR,104004,Clarence Valley,1,Good,Good,0
NSW1059,COOPERABUNG,104009,Kempsey,0.0147752,Good,Good,0
NSW1059,COOPERABUNG,104015,Port Macquarie - Hastings,0.9852248,Good,Good,0
NSW106,AUBURN,107001,Auburn,1,Good,Good,0
NSW1060,COOPERNOOK,104019,Taree,1,Good,Good,0
NSW1061,COOPERS GULLY,106001,Bega Valley,1,Good,Good,0
NSW1062,COOPERS SHOOT,104002,Byron,1,Good,Good,0
NSW1063,COOPLACURRIPA,104019,Taree,1,Good,Good,0
NSW1064,COORABELL,104002,Byron,1,Good,Good,0
NSW1065,COORANBONG,104022,Lake Macquarie,1,Good,Good,0
NSW1066,COOTAMUNDRA,105008,Cootamundra,1,Good,Good,0
NSW1067,COOTRALANTRA,106004,Snowy - Monaro,1,Good,Good,0
NSW1068,COOYAL,105016,Mudgee,1,Good,Good,0
NSW1069,COPACABANA,104007,Gosford,1,Good,Good,0
NSW107,AUBURN VALE,102005,Inverell - Gwydir,1,Good,Good,0
NSW1070,COPE,105016,Mudgee,1,Good,Good,0
NSW1071,COPELAND,104006,Gloucester - Dungog,1,Good,Good,0
NSW1072,COPETON,102005,Inverell - Gwydir,1,Good,Good,0
NSW1073,COPMANHURST,104004,Clarence Valley,1,Good,Good,0
NSW1074,COPPABELLA,105020,Upper Murray,1,Good,Good,0
NSW1075,COPPERHANNIA,105003,Bathurst,1,Good,Good,0
NSW1076,CORAKI,104012,Lismore,0.0235807,Good,Good,0
NSW1076,CORAKI,104017,Richmond Valley,0.9764193,Good,Good,0
NSW1077,CORALVILLE,104019,Taree,1,Good,Good,0
NSW1078,CORAMBA,104005,Coffs Harbour - Nambucca,1,Good,Good,0
NSW1079,CORANG,106004,Snowy - Monaro,1,Good,Good,0
NSW108,AUSTINMER,107030,Wollongong,1,Good,Good,0
NSW1080,CORANGULA,104009,Kempsey,1,Good,Good,0
NSW1081,CORBIE HILL,105012,Griffith - Leeton,0.9759966,Good,Good,0
NSW1081,CORBIE HILL,105017,Narrandera,0.0240034,Good,Good,0
NSW1082,CORDEAUX,106005,Southern Tablelands,0.9411765,Good,Good,0
NSW1082,CORDEAUX,107030,Wollongong,0.0588235,Good,Good,0
NSW1083,CORDEAUX HEIGHTS,107030,Wollongong,1,Good,Good,0
NSW1084,COREE,105006,Central Murray,1,Good,Good,0
NSW1085,COREEN,105020,Upper Murray,1,Good,Good,0
NSW1086,CORINDI BEACH,104005,Coffs Harbour - Nambucca,1,Good,Good,0
NSW1087,CORINELLA,105011,Forbes,1,Good,Good,0
NSW1088,CORLETTE,104016,Port Stephens,1,Good,Good,0
NSW1089,CORNDALE,104012,Lismore,1,Good,Good,0
NSW109,AUSTRAL,107017,Liverpool,1,Good,Good,0
NSW1090,CORNEY TOWN,105015,Lithgow - Oberon,1,Good,Good,0
NSW1091,CORNWALLIS,107010,Hawkesbury,1,Good,Good,0
NSW1092,COROBIMILLA,105017,Narrandera,1,Good,Good,0
NSW1093,COROWA,105020,Upper Murray,1,Good,Good,0
NSW1094,CORRABARE,104003,Cessnock,1,Good,Good,0
NSW1095,CORRIMAL,106005,Southern Tablelands,7.00E-07,Good,Good,1
NSW1095,CORRIMAL,107030,Wollongong,0.9999993,Good,Good,0
NSW1096,CORRONG,105002,Balranald - Wentworth,1,Good,Good,0
NSW1097,CORROWONG,106004,Snowy - Monaro,1,Good,Good,0
NSW1098,CORUNNA,106002,Eurobodalla,1,Good,Good,0
NSW1099,COTTAGE POINT,107020,Northern Beaches,1,Good,Good,0
NSW11,ABERMAIN,104003,Cessnock,1,Good,Good,0
NSW110,AUSTRAL EDEN,104009,Kempsey,1,Good,Good,0
NSW1100,COUGAL,104010,Kyogle,1,Good,Good,0
NSW1101,COUNTEGANY,106001,Bega Valley,0.0001281,Good,Good,1
NSW1101,COUNTEGANY,106004,Snowy - Monaro,0.9998719,Good,Good,0
NSW1102,COURABYRA,105020,Upper Murray,1,Good,Good,0
NSW1103,COURADDA,102010,Narrabri,1,Good,Good,0
NSW1104,COURAGAGO,105019,Tumut,1,Good,Good,0
NSW1105,COURIDJAH,107029,Wollondilly,1,Good,Good,0
NSW1106,COUTTS CROSSING,104004,Clarence Valley,1,Good,Good,0
NSW1107,COW FLAT,105003,Bathurst,1,Good,Good,0
NSW1108,COWABBIE,105007,Coolamon - Temora - West Wyalong,1,Good,Good,0
NSW1109,COWAN,107012,Hornsby - Ku-ring-gai,1,Good,Good,0
NSW1110,COWPER,104004,Clarence Valley,1,Good,Good,0
NSW1111,COWRA,105009,Cowra,1,Good,Good,0
NSW1112,COXS CREEK,105016,Mudgee,1,Good,Good,0
NSW1113,COXS CROWN,105016,Mudgee,1,Good,Good,0
NSW1114,CRABBES CREEK,104020,Tweed,1,Good,Good,0
NSW1115,CRACKENBACK,106004,Snowy - Monaro,1,Good,Good,0
NSW1116,CRAIGIE,106004,Snowy - Monaro,1,Good,Good,0
NSW1117,CRANEBROOK,107022,Penrith,1,Good,Good,0
NSW1118,CRANGAN BAY,104022,Lake Macquarie,0.0065449,Good,Good,1
NSW1118,CRANGAN BAY,104023,Wyong,0.9934551,Good,Good,0
NSW1119,CRAVEN,104006,Gloucester - Dungog,1,Good,Good,0
NSW112,AVISFORD,105016,Mudgee,1,Good,Good,0
NSW1120,CRAVEN PLATEAU,104006,Gloucester - Dungog,1,Good,Good,0
NSW1121,CRAWFORD RIVER,104008,Great Lakes,1,Good,Good,0
NSW1122,CRAWNEY,102011,Tamworth,0.7793657,Good,Good,0
NSW1122,CRAWNEY,102013,Upper Hunter,0.2206343,Good,Good,0
NSW1123,CREEWAH,106004,Snowy - Monaro,1,Good,Good,0
NSW1124,CREMORNE,107028,Sydney - Lower North,1,Good,Good,0
NSW1125,CREMORNE POINT,107028,Sydney - Lower North,1,Good,Good,0
NSW1126,CRESCENT HEAD,104009,Kempsey,1,Good,Good,0
NSW1127,CRESTWOOD,106004,Snowy - Monaro,1,Good,Good,0
NSW1128,CRINGILA,107030,Wollongong,1,Good,Good,0
NSW1129,CROKI,104019,Taree,1,Good,Good,0
NSW113,AVOCA,106005,Southern Tablelands,1,Good,Good,0
NSW1130,CROMER,107020,Northern Beaches,1,Good,Good,0
NSW1131,CRONULLA,107025,Sutherland Shire,1,Good,Good,0
NSW1132,CROOBLE,102008,Moree Plains,1,Poor,Good,0
NSW1133,CROOBYAR,106003,Shoalhaven,1,Good,Good,0
NSW1134,CROOKED CORNER,106005,Southern Tablelands,1,Good,Good,0
NSW1135,CROOKWELL,106005,Southern Tablelands,1,Good,Good,0
NSW1136,CROOM,107015,Kiama - Shellharbour,1,Good,Good,0
NSW1137,CROPPA CREEK,102005,Inverell - Gwydir,0.9112164,Good,Good,0
NSW1137,CROPPA CREEK,102008,Moree Plains,0.0887836,Poor,Good,0
NSW1138,CROSS ROADS,105016,Mudgee,1,Good,Good,0
NSW1139,CROSSLANDS,104015,Port Macquarie - Hastings,1,Good,Good,0
NSW114,AVOCA BEACH,104007,Gosford,1,Good,Good,0
NSW1140,CROUDACE BAY,104022,Lake Macquarie,1,Good,Good,0
NSW1142,CROWDY HEAD,104019,Taree,1,Good,Good,0
