LGA_CODE_2021,LGA_NAME_2021,RA_CODE_2021,RA_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
33360,Gladstone,33,Remote Australia,0.0016921,Poor,Good,1
33360,Gladstone,32,Outer Regional Australia,0.1385516,Acceptable,Good,0
33360,Gladstone,31,Inner Regional Australia,0.8597563,Acceptable,Good,0
33430,Gold Coast,31,Inner Regional Australia,0.0130259,Acceptable,Good,0
33430,Gold Coast,30,Major Cities of Australia,0.9869741,Good,Good,0
33610,Goondiwindi,33,Remote Australia,0.0477105,Poor,Good,0
33610,Goondiwindi,32,Outer Regional Australia,0.9522895,Acceptable,Good,0
33620,Gympie,32,Outer Regional Australia,0.0394857,Acceptable,Good,0
33620,Gympie,31,Inner Regional Australia,0.9605143,Acceptable,Good,0
33800,Hinchinbrook,34,Very Remote Australia,0.0033027,Acceptable,Good,1
33800,Hinchinbrook,33,Remote Australia,0.2689038,Poor,Good,0
33800,Hinchinbrook,32,Outer Regional Australia,0.7277935,Acceptable,Good,0
33830,Hope Vale,33,Remote Australia,1,Poor,Good,0
33960,Ipswich,31,Inner Regional Australia,0.0440597,Acceptable,Good,0
33960,Ipswich,30,Major Cities of Australia,0.9559403,Good,Good,0
33980,Isaac,34,Very Remote Australia,0.0221044,Acceptable,Good,0
33980,Isaac,33,Remote Australia,0.3226177,Poor,Good,0
33980,Isaac,32,Outer Regional Australia,0.6552779,Acceptable,Good,0
34420,Kowanyama,34,Very Remote Australia,1,Acceptable,Good,0
34530,Livingstone,34,Very Remote Australia,1.93E-05,Acceptable,Good,1
34530,Livingstone,33,Remote Australia,0.0115835,Poor,Good,0
34530,Livingstone,32,Outer Regional Australia,0.0271669,Acceptable,Good,0
34530,Livingstone,31,Inner Regional Australia,0.9612304,Acceptable,Good,0
34570,Lockhart River,34,Very Remote Australia,1,Acceptable,Good,0
34580,Lockyer Valley,31,Inner Regional Australia,1,Acceptable,Good,0
34590,Logan,31,Inner Regional Australia,0.0345675,Acceptable,Good,0
34590,Logan,30,Major Cities of Australia,0.9654325,Good,Good,0
34710,Longreach,34,Very Remote Australia,1,Acceptable,Good,0
34770,Mackay,33,Remote Australia,8.00E-07,Poor,Good,1
34770,Mackay,34,Very Remote Australia,0.0001614,Acceptable,Good,1
34770,Mackay,32,Outer Regional Australia,0.2596126,Acceptable,Good,0
34770,Mackay,31,Inner Regional Australia,0.7402251,Acceptable,Good,0
34800,McKinlay,34,Very Remote Australia,1,Acceptable,Good,0
34830,Mapoon,34,Very Remote Australia,1,Acceptable,Good,0
34860,Maranoa,34,Very Remote Australia,0.1098495,Acceptable,Good,0
34860,Maranoa,33,Remote Australia,0.3559078,Poor,Good,0
34860,Maranoa,32,Outer Regional Australia,0.5342428,Acceptable,Good,0
34880,Mareeba,33,Remote Australia,0.0115036,Poor,Good,0
34880,Mareeba,34,Very Remote Australia,0.0206178,Acceptable,Good,0
34880,Mareeba,32,Outer Regional Australia,0.9678786,Acceptable,Good,0
35010,Moreton Bay,31,Inner Regional Australia,0.0938872,Acceptable,Good,0
35010,Moreton Bay,30,Major Cities of Australia,0.9061128,Good,Good,0
35250,Mornington,34,Very Remote Australia,1,Acceptable,Good,0
35300,Mount Isa,34,Very Remote Australia,0.0223022,Acceptable,Good,0
35300,Mount Isa,33,Remote Australia,0.9776978,Poor,Good,0
35600,Murweh,34,Very Remote Australia,1,Acceptable,Good,0
35670,Napranum,34,Very Remote Australia,1,Acceptable,Good,0
35740,Noosa,31,Inner Regional Australia,0.2869063,Acceptable,Good,0
35740,Noosa,30,Major Cities of Australia,0.7130937,Good,Good,0
35760,North Burnett,33,Remote Australia,0.0175897,Poor,Good,0
35760,North Burnett,32,Outer Regional Australia,0.9824103,Acceptable,Good,0
35780,Northern Peninsula Area,34,Very Remote Australia,1,Acceptable,Good,0
35790,Palm Island,34,Very Remote Australia,4.29E-05,Acceptable,Good,1
35790,Palm Island,33,Remote Australia,0.9999571,Poor,Good,0
35800,Paroo,34,Very Remote Australia,1,Acceptable,Good,0
36070,Pormpuraaw,34,Very Remote Australia,1,Acceptable,Good,0
36150,Quilpie,34,Very Remote Australia,1,Acceptable,Good,0
36250,Redland,33,Remote Australia,0.0136227,Poor,Good,0
36250,Redland,32,Outer Regional Australia,0.0246919,Acceptable,Good,0
36250,Redland,31,Inner Regional Australia,0.0287759,Acceptable,Good,0
36250,Redland,30,Major Cities of Australia,0.9329096,Good,Good,0
36300,Richmond,34,Very Remote Australia,1,Acceptable,Good,0
36370,Rockhampton,32,Outer Regional Australia,0.0147169,Acceptable,Good,0
36370,Rockhampton,31,Inner Regional Australia,0.9852831,Acceptable,Good,0
36510,Scenic Rim,32,Outer Regional Australia,0.0099457,Acceptable,Good,1
36510,Scenic Rim,30,Major Cities of Australia,0.1871024,Good,Good,0
36510,Scenic Rim,31,Inner Regional Australia,0.8029519,Acceptable,Good,0
36580,Somerset,32,Outer Regional Australia,0.0294522,Acceptable,Good,0
36580,Somerset,31,Inner Regional Australia,0.9705478,Acceptable,Good,0
36630,South Burnett,32,Outer Regional Australia,0.3476232,Acceptable,Good,0
36630,South Burnett,31,Inner Regional Australia,0.6523768,Acceptable,Good,0
36660,Southern Downs,32,Outer Regional Australia,0.3567659,Acceptable,Good,0
36660,Southern Downs,31,Inner Regional Australia,0.6432341,Acceptable,Good,0
36720,Sunshine Coast,31,Inner Regional Australia,0.1482665,Acceptable,Good,0
36720,Sunshine Coast,30,Major Cities of Australia,0.8517335,Good,Good,0
36820,Tablelands,33,Remote Australia,0.0470119,Poor,Good,0
36820,Tablelands,32,Outer Regional Australia,0.9529881,Acceptable,Good,0
