"STE_CODE16","age_group","sex","year_range","usual_consumption_selected_sugar_sweetened_diet_drinks","n"
7,"14-17","all","2017-2018","more_than_1_to_less_than_2_cups","700"
7,"14-17","all","2017-2018","2_metric_cups_or_more","1200"
7,"14-17","all","2017-2018","did_not_consume","6200"
7,"14-17","all","2017-2018","1_metric_cup_or_less","600"
7,"14-17","all","2017-2018","more_than_1_to_less_than_2_cups","700"
7,"14-17","all","2017-2018","2_metric_cups_or_more","NULL"
8,"2-3","all","2017-2018","did_not_consume","9900"
8,"2-3","all","2017-2018","1_metric_cup_or_less","1000"
8,"2-3","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
8,"2-3","all","2017-2018","2_metric_cups_or_more","NULL"
8,"2-3","all","2017-2018","did_not_consume","11500"
8,"2-3","all","2017-2018","1_metric_cup_or_less","NULL"
8,"2-3","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
8,"2-3","all","2017-2018","2_metric_cups_or_more","NULL"
8,"4-8","all","2017-2018","did_not_consume","20700"
8,"4-8","all","2017-2018","1_metric_cup_or_less","5900"
8,"4-8","all","2017-2018","more_than_1_to_less_than_2_cups","1100"
8,"4-8","all","2017-2018","2_metric_cups_or_more","NULL"
8,"4-8","all","2017-2018","did_not_consume","26200"
8,"4-8","all","2017-2018","1_metric_cup_or_less","800"
8,"4-8","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
8,"4-8","all","2017-2018","2_metric_cups_or_more","NULL"
8,"9-11","all","2017-2018","did_not_consume","9800"
8,"9-11","all","2017-2018","1_metric_cup_or_less","8100"
8,"9-11","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
8,"9-11","all","2017-2018","2_metric_cups_or_more","NULL"
8,"9-11","all","2017-2018","did_not_consume","16100"
8,"9-11","all","2017-2018","1_metric_cup_or_less","NULL"
8,"9-11","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
8,"9-11","all","2017-2018","2_metric_cups_or_more","NULL"
8,"12-13","all","2017-2018","did_not_consume","3900"
8,"12-13","all","2017-2018","1_metric_cup_or_less","3000"
8,"12-13","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
8,"12-13","all","2017-2018","2_metric_cups_or_more","NULL"
8,"12-13","all","2017-2018","did_not_consume","7300"
8,"12-13","all","2017-2018","1_metric_cup_or_less","600"
8,"12-13","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
8,"12-13","all","2017-2018","2_metric_cups_or_more","NULL"
8,"14-17","all","2017-2018","did_not_consume","9100"
8,"14-17","all","2017-2018","1_metric_cup_or_less","8000"
8,"14-17","all","2017-2018","more_than_1_to_less_than_2_cups","1500"
8,"14-17","all","2017-2018","2_metric_cups_or_more","2300"
8,"14-17","all","2017-2018","did_not_consume","17200"
8,"14-17","all","2017-2018","1_metric_cup_or_less","1700"
8,"14-17","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
8,"14-17","all","2017-2018","2_metric_cups_or_more","800"
1,"2-3","male","2017-2018","did_not_consume","61900"
1,"2-3","male","2017-2018","1_metric_cup_or_less","15400"
1,"2-3","male","2017-2018","more_than_1_to_less_than_2_cups","NULL"
1,"2-3","male","2017-2018","2_metric_cups_or_more","5500"
1,"4-8","male","2017-2018","did_not_consume","166200"
1,"4-8","male","2017-2018","1_metric_cup_or_less","64900"
1,"4-8","male","2017-2018","more_than_1_to_less_than_2_cups","NULL"
1,"4-8","male","2017-2018","2_metric_cups_or_more","14800"
1,"9-11","male","2017-2018","did_not_consume","89400"
1,"9-11","male","2017-2018","1_metric_cup_or_less","60600"
1,"9-11","male","2017-2018","more_than_1_to_less_than_2_cups","4100"
1,"9-11","male","2017-2018","2_metric_cups_or_more","10700"
1,"12-13","male","2017-2018","did_not_consume","24400"
