"STE_CODE16","age_group","sex","year_range","usual_consumption_selected_sugar_sweetened_diet_drinks","p"
7,"12-13","all","2017-2018","2_metric_cups_or_more","NULL"
7,"14-17","all","2017-2018","did_not_consume","0.446"
7,"14-17","all","2017-2018","1_metric_cup_or_less","0.378"
7,"14-17","all","2017-2018","more_than_1_to_less_than_2_cups","0.095"
7,"14-17","all","2017-2018","2_metric_cups_or_more","0.162"
7,"14-17","all","2017-2018","did_not_consume","0.838"
7,"14-17","all","2017-2018","1_metric_cup_or_less","0.081"
7,"14-17","all","2017-2018","more_than_1_to_less_than_2_cups","0.095"
7,"14-17","all","2017-2018","2_metric_cups_or_more","NULL"
8,"2-3","all","2017-2018","did_not_consume","0.861"
8,"2-3","all","2017-2018","1_metric_cup_or_less","0.087"
8,"2-3","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
8,"2-3","all","2017-2018","2_metric_cups_or_more","NULL"
8,"2-3","all","2017-2018","did_not_consume","1"
8,"2-3","all","2017-2018","1_metric_cup_or_less","NULL"
8,"2-3","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
8,"2-3","all","2017-2018","2_metric_cups_or_more","NULL"
8,"4-8","all","2017-2018","did_not_consume","0.764"
8,"4-8","all","2017-2018","1_metric_cup_or_less","0.218"
8,"4-8","all","2017-2018","more_than_1_to_less_than_2_cups","0.041"
8,"4-8","all","2017-2018","2_metric_cups_or_more","NULL"
8,"4-8","all","2017-2018","did_not_consume","0.967"
8,"4-8","all","2017-2018","1_metric_cup_or_less","0.03"
8,"4-8","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
8,"4-8","all","2017-2018","2_metric_cups_or_more","NULL"
8,"9-11","all","2017-2018","did_not_consume","0.609"
8,"9-11","all","2017-2018","1_metric_cup_or_less","0.503"
8,"9-11","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
8,"9-11","all","2017-2018","2_metric_cups_or_more","NULL"
8,"9-11","all","2017-2018","did_not_consume","1"
8,"9-11","all","2017-2018","1_metric_cup_or_less","NULL"
8,"9-11","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
8,"9-11","all","2017-2018","2_metric_cups_or_more","NULL"
8,"12-13","all","2017-2018","did_not_consume","0.52"
8,"12-13","all","2017-2018","1_metric_cup_or_less","0.4"
8,"12-13","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
8,"12-13","all","2017-2018","2_metric_cups_or_more","NULL"
8,"12-13","all","2017-2018","did_not_consume","0.973"
8,"12-13","all","2017-2018","1_metric_cup_or_less","0.08"
8,"12-13","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
8,"12-13","all","2017-2018","2_metric_cups_or_more","NULL"
8,"14-17","all","2017-2018","did_not_consume","0.476"
8,"14-17","all","2017-2018","1_metric_cup_or_less","0.419"
8,"14-17","all","2017-2018","more_than_1_to_less_than_2_cups","0.079"
8,"14-17","all","2017-2018","2_metric_cups_or_more","0.12"
8,"14-17","all","2017-2018","did_not_consume","0.901"
8,"14-17","all","2017-2018","1_metric_cup_or_less","0.089"
8,"14-17","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
8,"14-17","all","2017-2018","2_metric_cups_or_more","0.042"
1,"2-3","male","2017-2018","did_not_consume","0.639"
1,"2-3","male","2017-2018","1_metric_cup_or_less","0.159"
