"SA3_CODE16","sex","age_group","calendar_year","age_fully_immunised_AIR","p"
"10201","all","0-5","2015","1 year",0.94
"10104","all","0-5","2015","1 year",0.91
"10103","all","0-5","2015","1 year",0.95
"10102","all","0-5","2015","1 year",0.94
"10101","all","0-5","2015","1 year",0.94
"21702","all","0-5","2015","1 year",0.94
"21701","all","0-5","2015","1 year",0.94
"21603","all","0-5","2015","1 year",0.92
"21602","all","0-5","2015","1 year",0.92
"21601","all","0-5","2015","1 year",0.9
"21503","all","0-5","2015","1 year",0.91
"21502","all","0-5","2015","1 year",0.9
"21501","all","0-5","2015","1 year",0.95
"21402","all","0-5","2015","1 year",0.92
"21401","all","0-5","2015","1 year",0.92
"21305","all","0-5","2015","1 year",0.91
"21304","all","0-5","2015","1 year",0.92
"21303","all","0-5","2015","1 year",0.91
"21302","all","0-5","2015","1 year",0.93
"21301","all","0-5","2015","1 year",0.9
"21205","all","0-5","2015","1 year",0.9
"21204","all","0-5","2015","1 year",0.9
"21203","all","0-5","2015","1 year",0.93
"21202","all","0-5","2015","1 year",0.91
"21201","all","0-5","2015","1 year",0.93
"21105","all","0-5","2015","1 year",0.92
"21104","all","0-5","2015","1 year",0.93
"21103","all","0-5","2015","1 year",0.92
"21102","all","0-5","2015","1 year",0.91
"21101","all","0-5","2015","1 year",0.93
"21005","all","0-5","2015","1 year",0.91
"21004","all","0-5","2015","1 year",0.94
"21003","all","0-5","2015","1 year",0.91
"21002","all","0-5","2015","1 year",0.92
"21001","all","0-5","2015","1 year",0.93
"20904","all","0-5","2015","1 year",0.94
"20903","all","0-5","2015","1 year",0.93
"20902","all","0-5","2015","1 year",0.92
"20901","all","0-5","2015","1 year",0.93
"20804","all","0-5","2015","1 year",0.93
"20803","all","0-5","2015","1 year",0.92
"20802","all","0-5","2015","1 year",0.93
"20801","all","0-5","2015","1 year",0.93
"20703","all","0-5","2015","1 year",0.93
"20702","all","0-5","2015","1 year",0.93
"20701","all","0-5","2015","1 year",0.93
"20607","all","0-5","2015","1 year",0.92
"20606","all","0-5","2015","1 year",0.92
"20605","all","0-5","2015","1 year",0.92
"20604","all","0-5","2015","1 year",0.89
"20603","all","0-5","2015","1 year",0.92
"20602","all","0-5","2015","1 year",0.94
"20601","all","0-5","2015","1 year",0.92
"20505","all","0-5","2015","1 year",0.93
"20504","all","0-5","2015","1 year",0.95
"20503","all","0-5","2015","1 year",0.92
"20502","all","0-5","2015","1 year",0.93
"20501","all","0-5","2015","1 year",0.95
"20403","all","0-5","2015","1 year",0.93
"20402","all","0-5","2015","1 year",0.95
"20401","all","0-5","2015","1 year",0.93
"20303","all","0-5","2015","1 year",0.94
"20302","all","0-5","2015","1 year",0.93
"20301","all","0-5","2015","1 year",0.91
"20203","all","0-5","2015","1 year",0.91
"20202","all","0-5","2015","1 year",0.89
"20201","all","0-5","2015","1 year",0.94
"20103","all","0-5","2015","1 year",0.9
"20102","all","0-5","2015","1 year",0.94
"20101","all","0-5","2015","1 year",0.93
"31905","all","0-5","2015","1 year",0.89
"31904","all","0-5","2015","1 year",0.92
"31903","all","0-5","2015","1 year",0.89
"31902","all","0-5","2015","1 year",0.89
"31901","all","0-5","2015","1 year",0.94
"31802","all","0-5","2015","1 year",0.93
"31801","all","0-5","2015","1 year",0.91
"31701","all","0-5","2015","1 year",0.93
"31606","all","0-5","2015","1 year",0.84
"31605","all","0-5","2015","1 year",0.88
"31604","all","0-5","2015","1 year",0.88
"31603","all","0-5","2015","1 year",0.9
"31602","all","0-5","2015","1 year",0.91
"31601","all","0-5","2015","1 year",0.92
"31503","all","0-5","2015","1 year",0.95
"31502","all","0-5","2015","1 year",0.94
"31501","all","0-5","2015","1 year",0.94
"31403","all","0-5","2015","1 year",0.94
"31402","all","0-5","2015","1 year",0.94
"31401","all","0-5","2015","1 year",0.95
"31305","all","0-5","2015","1 year",0.93
"31304","all","0-5","2015","1 year",0.94
"31303","all","0-5","2015","1 year",0.93
"31302","all","0-5","2015","1 year",0.91
"31301","all","0-5","2015","1 year",0.91
"31203","all","0-5","2015","1 year",0.92
"31202","all","0-5","2015","1 year",0.94
"31201","all","0-5","2015","1 year",0.94
"31106","all","0-5","2015","1 year",0.92
"31105","all","0-5","2015","1 year",0.93
"31104","all","0-5","2015","1 year",0.94
"31103","all","0-5","2015","1 year",0.91
"31102","all","0-5","2015","1 year",0.89
"31101","all","0-5","2015","1 year",0.92
"31004","all","0-5","2015","1 year",0.93
"31003","all","0-5","2015","1 year",0.94
"31002","all","0-5","2015","1 year",0.92
"31001","all","0-5","2015","1 year",0.93
"30910","all","0-5","2015","1 year",0.9
"30909","all","0-5","2015","1 year",0.91
"30908","all","0-5","2015","1 year",0.93
"30907","all","0-5","2015","1 year",0.93
"30906","all","0-5","2015","1 year",0.93
"30905","all","0-5","2015","1 year",0.89
"30904","all","0-5","2015","1 year",0.89
"30903","all","0-5","2015","1 year",0.93
"30902","all","0-5","2015","1 year",0.9
"30901","all","0-5","2015","1 year",0.91
"30803","all","0-5","2015","1 year",0.93
"30802","all","0-5","2015","1 year",0.93
"30801","all","0-5","2015","1 year",0.94
"30703","all","0-5","2015","1 year",0.92
"30702","all","0-5","2015","1 year",0.93
"30701","all","0-5","2015","1 year",0.93
"30605","all","0-5","2015","1 year",0.88
"30604","all","0-5","2015","1 year",0.9
"30603","all","0-5","2015","1 year",0.92
"30602","all","0-5","2015","1 year",0.91
"30601","all","0-5","2015","1 year",0.94
"30504","all","0-5","2015","1 year",0.92
"30503","all","0-5","2015","1 year",0.92
"30502","all","0-5","2015","1 year",0.92
"30501","all","0-5","2015","1 year",0.92
"30404","all","0-5","2015","1 year",0.93
"30403","all","0-5","2015","1 year",0.94
"30402","all","0-5","2015","1 year",0.91
"30401","all","0-5","2015","1 year",0.95
"30306","all","0-5","2015","1 year",0.9
"30305","all","0-5","2015","1 year",0.92
"30304","all","0-5","2015","1 year",0.93
"30303","all","0-5","2015","1 year",0.93
"30302","all","0-5","2015","1 year",0.93
"30301","all","0-5","2015","1 year",0.93
"30204","all","0-5","2015","1 year",0.92
"30203","all","0-5","2015","1 year",0.93
"30202","all","0-5","2015","1 year",0.94
"30201","all","0-5","2015","1 year",0.94
"30103","all","0-5","2015","1 year",0.94
"30102","all","0-5","2015","1 year",0.92
"30101","all","0-5","2015","1 year",0.93
"40703","all","0-5","2015","1 year",0.93
"40702","all","0-5","2015","1 year",0.95
"40701","all","0-5","2015","1 year",0.91
"40602","all","0-5","2015","1 year",0.92
"40601","all","0-5","2015","1 year",0.93
"40504","all","0-5","2015","1 year",0.95
"40503","all","0-5","2015","1 year",0.92
"40502","all","0-5","2015","1 year",0.93
"40501","all","0-5","2015","1 year",0.95
"40403","all","0-5","2015","1 year",0.92
"40402","all","0-5","2015","1 year",0.92
"40401","all","0-5","2015","1 year",0.91
"40304","all","0-5","2015","1 year",0.92
"40303","all","0-5","2015","1 year",0.93
"40302","all","0-5","2015","1 year",0.94
"40301","all","0-5","2015","1 year",0.92
"40205","all","0-5","2015","1 year",0.95
"40204","all","0-5","2015","1 year",0.93
"40203","all","0-5","2015","1 year",0.91
"40202","all","0-5","2015","1 year",0.9
"40201","all","0-5","2015","1 year",0.91
"40107","all","0-5","2015","1 year",0.92
"40106","all","0-5","2015","1 year",0.93
"40105","all","0-5","2015","1 year",0.92
"40104","all","0-5","2015","1 year",0.93
"40103","all","0-5","2015","1 year",0.93
"40102","all","0-5","2015","1 year",0.91
"40101","all","0-5","2015","1 year",0.86
"90101","all","0-5","2015","1 year",NA
"50903","all","0-5","2015","1 year",0.95
"50902","all","0-5","2015","1 year",0.95
"50901","all","0-5","2015","1 year",0.91
"50806","all","0-5","2015","1 year",0.94
"50805","all","0-5","2015","1 year",0.91
"50804","all","0-5","2015","1 year",0.93
"50803","all","0-5","2015","1 year",0.91
"50802","all","0-5","2015","1 year",0.93
"50801","all","0-5","2015","1 year",0.95
"50705","all","0-5","2015","1 year",0.93
"50704","all","0-5","2015","1 year",0.93
"50703","all","0-5","2015","1 year",0.92
"50702","all","0-5","2015","1 year",0.89
"50701","all","0-5","2015","1 year",0.93
"50607","all","0-5","2015","1 year",0.91
"50606","all","0-5","2015","1 year",0.94
"50605","all","0-5","2015","1 year",0.92
"50604","all","0-5","2015","1 year",0.9
"50603","all","0-5","2015","1 year",0.89
"50602","all","0-5","2015","1 year",0.91
"50601","all","0-5","2015","1 year",0.91
"50503","all","0-5","2015","1 year",0.93
"50502","all","0-5","2015","1 year",0.92
"50501","all","0-5","2015","1 year",0.94
"50403","all","0-5","2015","1 year",0.93
"50402","all","0-5","2015","1 year",0.86
"50401","all","0-5","2015","1 year",0.93
"50302","all","0-5","2015","1 year",0.92
"50301","all","0-5","2015","1 year",0.9
"50201","all","0-5","2015","1 year",0.92
"50103","all","0-5","2015","1 year",0.9
"50102","all","0-5","2015","1 year",0.92
"50101","all","0-5","2015","1 year",0.89
"60403","all","0-5","2015","1 year",0.93
"60402","all","0-5","2015","1 year",0.91
"60401","all","0-5","2015","1 year",0.94
"60303","all","0-5","2015","1 year",0.91
"60302","all","0-5","2015","1 year",0.9
"60301","all","0-5","2015","1 year",0.91
"60203","all","0-5","2015","1 year",0.91
"60202","all","0-5","2015","1 year",0.89
"60201","all","0-5","2015","1 year",0.93
"60106","all","0-5","2015","1 year",0.9
"60105","all","0-5","2015","1 year",0.92
"60104","all","0-5","2015","1 year",0.95
"60103","all","0-5","2015","1 year",0.92
"60102","all","0-5","2015","1 year",0.95
"60101","all","0-5","2015","1 year",0.89
"70205","all","0-5","2015","1 year",0.95
"70204","all","0-5","2015","1 year",0.91
"70203","all","0-5","2015","1 year",0.91
"70202","all","0-5","2015","1 year",0.94
"70201","all","0-5","2015","1 year",0.92
