"STE_CODE16","age_group","sex","year_range","usual_consumption_selected_sugar_sweetened_diet_drinks","n","uncertainty"
1,"4-8","female","2017-2018","2_metric_cups_or_more",0,0
1,"4-8","female","2017-2018","total",254500,0
1,"9-11","female","2017-2018","did_not_consume",93800,0
1,"9-11","female","2017-2018","1_metric_cup_or_less",50600,0
1,"9-11","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
1,"9-11","female","2017-2018","2_metric_cups_or_more",0,0
1,"9-11","female","2017-2018","total",148000,0
1,"12-13","female","2017-2018","did_not_consume",45000,0
1,"12-13","female","2017-2018","1_metric_cup_or_less",27700,1
1,"12-13","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
1,"12-13","female","2017-2018","2_metric_cups_or_more",0,0
1,"12-13","female","2017-2018","total",80200,0
1,"14-17","female","2017-2018","did_not_consume",96900,0
1,"14-17","female","2017-2018","1_metric_cup_or_less",64300,0
1,"14-17","female","2017-2018","more_than_1_to_less_than_2_cups",17900,1
1,"14-17","female","2017-2018","2_metric_cups_or_more",4200,2
1,"14-17","female","2017-2018","total",183500,0
1,"2-14","female","2017-2018","did_not_consume",432700,0
1,"2-14","female","2017-2018","1_metric_cup_or_less",171600,0
1,"2-14","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
1,"2-14","female","2017-2018","2_metric_cups_or_more",4800,2
1,"2-14","female","2017-2018","total",617100,0
1,"15-17","female","2017-2018","did_not_consume",61500,0
1,"15-17","female","2017-2018","1_metric_cup_or_less",51400,0
1,"15-17","female","2017-2018","more_than_1_to_less_than_2_cups",7800,2
1,"15-17","female","2017-2018","2_metric_cups_or_more",4200,2
1,"15-17","female","2017-2018","total",133000,0
2,"2-3","female","2017-2018","did_not_consume",66800,0
2,"2-3","female","2017-2018","1_metric_cup_or_less",18100,1
2,"2-3","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
2,"2-3","female","2017-2018","2_metric_cups_or_more",0,0
2,"2-3","female","2017-2018","total",80800,0
2,"4-8","female","2017-2018","did_not_consume",144300,0
2,"4-8","female","2017-2018","1_metric_cup_or_less",53300,0
2,"4-8","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
2,"4-8","female","2017-2018","2_metric_cups_or_more",0,0
