"STE_CODE16","age_group","sex","year_range","usual_consumption_selected_sugar_sweetened_diet_drinks","p","uncertainty"
3,"12-13","female","2017-2018","1_metric_cup_or_less",56,1
3,"12-13","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
3,"12-13","female","2017-2018","2_metric_cups_or_more",0,0
3,"12-13","female","2017-2018","total",100,0
3,"14-17","female","2017-2018","did_not_consume",54.3,1
3,"14-17","female","2017-2018","1_metric_cup_or_less",30.2,0
3,"14-17","female","2017-2018","more_than_1_to_less_than_2_cups",7.2,1
3,"14-17","female","2017-2018","2_metric_cups_or_more",6.3,0
3,"14-17","female","2017-2018","total",100,0
3,"...7","female","2017-2018","did_not_consume",NA,1
3,"...7","female","2017-2018","more_than_1_to_less_than_2_cups",NA,1
3,"2-14","female","2017-2018","did_not_consume",65.3,0
3,"2-14","female","2017-2018","1_metric_cup_or_less",31.4,0
3,"2-14","female","2017-2018","more_than_1_to_less_than_2_cups",1.8,0
3,"2-14","female","2017-2018","2_metric_cups_or_more",2,0
3,"2-14","female","2017-2018","total",100,0
3,"15-17","female","2017-2018","did_not_consume",61.3,1
3,"15-17","female","2017-2018","1_metric_cup_or_less",26.8,1
3,"15-17","female","2017-2018","more_than_1_to_less_than_2_cups",7.7,1
3,"15-17","female","2017-2018","2_metric_cups_or_more",6.8,1
3,"15-17","female","2017-2018","total",100,0
4,"2-3","female","2017-2018","did_not_consume",142.3,1
4,"2-3","female","2017-2018","1_metric_cup_or_less",0,0
4,"2-3","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
4,"2-3","female","2017-2018","2_metric_cups_or_more",0,0
4,"2-3","female","2017-2018","total",100,0
4,"4-8","female","2017-2018","did_not_consume",72.7,1
4,"4-8","female","2017-2018","1_metric_cup_or_less",28.9,1
4,"4-8","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
4,"4-8","female","2017-2018","2_metric_cups_or_more",0,0
4,"4-8","female","2017-2018","total",100,0
4,"9-11","female","2017-2018","did_not_consume",35.8,1
4,"9-11","female","2017-2018","1_metric_cup_or_less",62.5,1
4,"9-11","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
4,"9-11","female","2017-2018","2_metric_cups_or_more",0,0
4,"9-11","female","2017-2018","total",100,0
4,"12-13","female","2017-2018","did_not_consume",26.7,1
4,"12-13","female","2017-2018","1_metric_cup_or_less",45.6,1
4,"12-13","female","2017-2018","more_than_1_to_less_than_2_cups",7.8,1
4,"12-13","female","2017-2018","2_metric_cups_or_more",18.9,1
4,"12-13","female","2017-2018","total",100,0
4,"14-17","female","2017-2018","did_not_consume",48.8,1
4,"14-17","female","2017-2018","1_metric_cup_or_less",44.9,1
4,"14-17","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
4,"14-17","female","2017-2018","2_metric_cups_or_more",8.2,0
4,"14-17","female","2017-2018","total",100,0
4,"...7","female","2017-2018","did_not_consume",NA,1
4,"...7","female","2017-2018","1_metric_cup_or_less",NA,1
4,"2-14","female","2017-2018","did_not_consume",56.9,1
4,"2-14","female","2017-2018","1_metric_cup_or_less",38.5,1
4,"2-14","female","2017-2018","more_than_1_to_less_than_2_cups",2,0
4,"2-14","female","2017-2018","2_metric_cups_or_more",2.6,1
4,"2-14","female","2017-2018","total",100,0
4,"15-17","female","2017-2018","did_not_consume",52,1
4,"15-17","female","2017-2018","1_metric_cup_or_less",53.6,1
4,"15-17","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
4,"15-17","female","2017-2018","2_metric_cups_or_more",14,1
4,"15-17","female","2017-2018","total",100,0
5,"2-3","female","2017-2018","did_not_consume",45.6,1
5,"2-3","female","2017-2018","1_metric_cup_or_less",19.8,1
5,"2-3","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
5,"2-3","female","2017-2018","2_metric_cups_or_more",0,0
5,"2-3","female","2017-2018","total",100,0
5,"4-8","female","2017-2018","did_not_consume",69,1
