"SA2_CODE16","age_group","sex","calendar_year","n_children_attending_preschool","SA3_CODE16"
"128011528","3-6","male","2017",318,NA
"128011528","3-6","female","2017",325,NA
"128011528","3-6",NA,"2017",0,NA
"128021532","3-6","male","2017",446,NA
"128021532","3-6","female","2017",392,NA
"128021532","3-6",NA,"2017",0,NA
"199999919","3-6","male","2017",0,NA
"199999919","3-6","female","2017",0,NA
"199999919","3-6",NA,"2017",0,NA
"199999989","3-6","male","2017",5,NA
"199999989","3-6","female","2017",0,NA
"199999989","3-6",NA,"2017",0,NA
"207021158","3-6","male","2017",345,NA
"207021158","3-6","female","2017",275,NA
"207021158","3-6",NA,"2017",0,NA
"208021175","3-6","male","2017",427,NA
"208021175","3-6","female","2017",350,NA
"208021175","3-6",NA,"2017",0,NA
"209021206","3-6","male","2017",344,NA
"209021206","3-6","female","2017",316,NA
"209021206","3-6",NA,"2017",0,NA
"209041218","3-6","male","2017",678,NA
"209041218","3-6","female","2017",574,NA
"209041218","3-6",NA,"2017",0,NA
"209041222","3-6","male","2017",1202,NA
"209041222","3-6","female","2017",1017,NA
"209041222","3-6",NA,"2017",0,NA
"210031238","3-6","male","2017",369,NA
"210031238","3-6","female","2017",331,NA
"210031238","3-6",NA,"2017",0,NA
"210051244","3-6","male","2017",846,NA
"210051244","3-6","female","2017",758,NA
"210051244","3-6",NA,"2017",0,NA
"211011252","3-6","male","2017",316,NA
"211011252","3-6","female","2017",260,NA
"211011252","3-6",NA,"2017",0,NA
"211011253","3-6","male","2017",323,NA
"211011253","3-6","female","2017",296,NA
"211011253","3-6",NA,"2017",0,NA
"211031264","3-6","male","2017",399,NA
"211031264","3-6","female","2017",376,NA
"211031264","3-6",NA,"2017",0,NA
"212021296","3-6","male","2017",241,NA
"212021296","3-6","female","2017",209,NA
"212021296","3-6",NA,"2017",0,NA
"212021298","3-6","male","2017",334,NA
"212021298","3-6","female","2017",255,NA
"212021298","3-6",NA,"2017",0,NA
"212031307","3-6","male","2017",331,NA
"212031307","3-6","female","2017",326,NA
"212031307","3-6",NA,"2017",0,NA
"212041315","3-6","male","2017",279,NA
"212041315","3-6","female","2017",269,NA
"212041315","3-6",NA,"2017",0,NA
"213041354","3-6","male","2017",472,NA
"213041354","3-6","female","2017",401,NA
"213041354","3-6",NA,"2017",0,NA
"213051364","3-6","male","2017",1097,NA
"213051364","3-6","female","2017",971,NA
"213051364","3-6",NA,"2017",0,NA
"213051367","3-6","male","2017",360,NA
"213051367","3-6","female","2017",378,NA
"213051367","3-6",NA,"2017",0,NA
"215021397","3-6","male","2017",372,NA
"215021397","3-6","female","2017",352,NA
"215021397","3-6",NA,"2017",0,NA
"217021424","3-6","male","2017",32,NA
"217021424","3-6","female","2017",35,NA
"217021424","3-6",NA,"2017",0,NA
"217021425","3-6","male","2017",152,NA
"217021425","3-6","female","2017",121,NA
"217021425","3-6",NA,"2017",0,NA
"217021426","3-6","male","2017",56,NA
"217021426","3-6","female","2017",44,NA
"217021426","3-6",NA,"2017",0,NA
"217021427","3-6","male","2017",58,NA
"217021427","3-6","female","2017",40,NA
"217021427","3-6",NA,"2017",0,NA
"217021428","3-6","male","2017",75,NA
"217021428","3-6","female","2017",62,NA
"217021428","3-6",NA,"2017",0,NA
"217021429","3-6","male","2017",61,NA
"217021429","3-6","female","2017",73,NA
"217021429","3-6",NA,"2017",0,NA
"217021430","3-6","male","2017",104,NA
"217021430","3-6","female","2017",88,NA
"217021430","3-6",NA,"2017",0,NA
"217021431","3-6","male","2017",18,NA
"217021431","3-6","female","2017",24,NA
"217021431","3-6",NA,"2017",0,NA
"217021432","3-6","male","2017",268,NA
"217021432","3-6","female","2017",239,NA
"217021432","3-6",NA,"2017",0,NA
"217021433","3-6","male","2017",145,NA
"217021433","3-6","female","2017",95,NA
"217021433","3-6",NA,"2017",0,NA
"299999919","3-6","male","2017",0,NA
"299999919","3-6","female","2017",0,NA
"299999919","3-6",NA,"2017",0,NA
"299999989","3-6","male","2017",13,NA
